R	rómv. taltekn fyri 80
r	(málfr.)hjáljóðsstavur (nevndur[ɛr:])
rabarba	(plfr.)nýtsluplanta í slektiniRheum(við tjúkkum etandi stelki)
rabarbugarður	garður við rabarbum
rabarbugreytur	greytur av rabarbum
rabarbusuppa	suppa av rabarbum
rabarbusúltutoy	súltutoy av rabarbum
rabarbuvín	vín gjørt úr rabarbum
rabbassi	(fisk.,Nóls.)lítil steinbítur
rabbini	(átr.)prestur og lærari í sýnagogu
radar	radari
radari	(alisfr.)tól sum varpar út ljóð ið endurvarpast frá lutumo.tíl.og ger mynd av teimum
radarstøð	støð ið nýtir radara til eftirlit við skipa- og flogferðslu
raddaður	(málfr.)við darrandi málbondum(tá ið ávís ljóð verða framborin)
raddloysi	(málfr.)tað at málljóð er óraddað
radiatorur	ovnur (2)
radikalur	ið virkar fyri stórum og víðfevndum broytingum(serst.í politiskum viðurskiftum),sum so mangt ungmenni tá kom Karl Marx upp í politiskt lív sum borgarliga radikalur
radio	1(alisfr.)ljóðflutningur við ravsigulmagnaðum bylgjum, útvarp2útvarpssendari og -móttakari,Tórshavnar radio3(tlm.)útvarpstól, útvarpslurt,tendra/sløkkja radio;eg hoyrdi tað í radionum
radisa	(plfr.)slag av grønmetisplantu við reyðari og hvítari rót(Raphanus sativus);sbr.reðka
radium	(evnafr.)geislavirkið frumevni(nýtt t.d. til krabbameinsviðgerð, teknRa)
radius	(støddfr.)bein linja úr miðdepli á kringiel.kúlu út til umhvørviel.yvirborð, hálvt tvørmát
rað	1fólk, lutirel.tíl.skipað soleiðis at myndað verður ein (bein) linja, e-t ið er skipað hvørt eftir annað í beina linju(í rúmi el. tíð),røð (3), hali (6), riðil,fólk stóðu í longum røðum;trý ár á rað(upp í slag, hvørt eftir annað)2beinarað, ræ;sms. t.d.bíði-,bókstava-,deyða-,hand-,húsa-,lit-,mið-,orða-,rúna-,seym-
raða1	kv1eí osb. sumsigla beina raðu(undangongu);strongurin stevnir haðani í beina raðu móti Skælingi(beina leið)
raða2	1standa framel.uppundan, peiggja framel.upp,standa og raða;byrsumúlin stendur og raðar upp í loft;bert mastrarnar og skorsteinurin raðaðu undan;hømiliurnar frá í fjør standa og raða upp millum steinarnar2seta á rað, skipa 2(2),ørindini eru raðað og skipað eftir frásøgn3í osb. sumraða umsnúgva seg um, vera um;tá ið tað raðar um tað;tað raðaði ikki um stavn millum bátarnar(í kappróðri)bátarnir komu á mál í senn;raða avhava øll segl á (skip),teir raðaðu hana av;sms. t.d.stav-
raðan	1raðfylgi, rað2raða 1,sigla beina raðansigla undan
raðbinda	(alisfr.)binda saman í rað(t.d.ravmagnstól)[da.serieforbinde]
raðfesta	seta í raðfylgi, raða 2(2), raðseta(t.d. eftir ynski, fíggjarorkuo.tíl.),raðfesta arbeiði;raðfesta íløgur;raðfesta útbúgvingarynski í umsókn
raðfesting	tað at raðfesta, raðfylgi
raðfylgi	raðfylgja,í raðfylgi
raðfylgja	tað at koma hvør eftir annan, raðfylgi,í raðfylgju
raðhald	rekkverk
raðhalt	hjí osb.saga raðhalt(beint eftir strikuni men skeivt í benið)
raðhús	(einbýlis)hús sambygd við fleiri (lík) hús í eini røð
raðið	uttan steðgel.íhald, uttan honk 2,lesa raðið;tala fremmandamál raðið;kunnael.duga e-t raðið(orðarætt);tað lá raðið fyri hjá honum(greitt)
raðsáa	(bún.)sáa í røð við ávísum millumbili
raðsending	røð av sjónvarpssendingum(send í pørtum)
raðseta	seta á rað, raða 2(2), skipa 2(2)
raðskipan	rað (1), røð (3), skipan
raðtal	tal ið sýnir støðu í røð(numerus ordinalis),móts.grundtal,raðtøl eru fyrsti, annar, triðio.s.fr.
rafsast	refsast, ressast,hann hoyrdist rafsast og skava inni í koyggjuni
raft	long mjá træstong
ragg	gjálv, slups, rupul,fitt ragg í sjónum, tó at tað er toluliga kyrt inni á gjónni
ragga1	ganga fót fyri fót, spáka, dagga (1),ragga sær aftur at húsum;øll, ið ragga kundu, komu á støðna;lomvigin fer raggandi eftir rókini
ragga2	1(um eggjarn)gera óhvassan, óhvessa, doyva (3),knívurin er raggaður(bítur einki);illa raggaðursera óhvassur;líggin fer at raggast(óhvessast)2gera skørðel.skurðir á skák í bolt, nagla, spíkarao.tíl.(at halda ímóti),ragga seym;ragga tanga(á knívi)
raggari	(stb.)hali á kópi, saks 2, dirðil (3)
raggutur	drabbutur, gjálvutur, kjøkrutur (1),raggutur sjógvur;raggut í sjónum
ragla	vingla, støpla, reyla (3)(Sv)
raglan1	tað at ragla, vinglan(Sv)
raglan2	serligt snið á ermu í bundnum troyggjum har ið erman verður bundin saman við bulinum sum ein kíli frá handarkullu til háls,ein raglanerma er bundin saman við bulinum við avtøku ið nevnist raglan
ragna	banna (2), svørja (2),blóta og ragna
ragnarøk	1(gudal.)stóri bardagin millum gudar og jatnir tá ið heimurin ferst2(flutt m.)ræðulig vanlukka, undirgangur, týning,ótálmað vápnadubbing elvir til ragnarøk
rak1	veikur 1(1), grasveikur(í kertiljósiel.kolu),kolan brann við tveimum rakum í
rak2	tað at vera rak, tað at vera illa í holdum,koma upp í rakgerast diddarak;bláur í rakisera soltin;tað bláa raktussarak;fáa raksírossa-;eitt ross fekk rak um várið;doyggja í raki;gløða í rakivera diddarak;sms. t.d.rossa-,slóttu-,tussa-,vár-
rak3	(sera) soltin, kjøtleysur;sms. t.d.av-,deyða-,didda-,háls-,hora-,kalda-,kar-,snora-,spilla-,turra-,tussa-
rak4	síreka
raka1	bera við, hitta (við), ráma,raka e-nel.e-t;blakið rakti hann á hálsin;hann rakti í hvørjum kasti;raka beintvera beinrakin;raka ábera við rættan stað;vit rakaðu at koma beint í Heygsstøð;raka við (e-t)1bera við, koma fram á, ráma, hitta2verða varur við, ansa eftir (1), varnast, uppdaga
raka2	1skava saman(við fingrum, rívuo.tíl.),rakael.raka hoyggj;raka saman (hoyggj)(í sátu);raka upp(stb.)venda grasi fyrstu ferð eftir at tað er rist;raka hógv,síhógvur 22leita íðin, grópa 2(2), róta,raka í øskuni;raka sær við stokkinum uppi undir turriklæðinum(eftir lúsum)3taka burtur skegg við kníviel.rakimaskinu,raka sær;raka skinntaka burtur ullina við knívi;raka húðarskøði;skógvar av rakaðum roð;sbr.rakaroð4(flutt m.)krøkja, kradda,raka til sín;raka inn undir seg
rakan	leðran (1), leðrari, skortfleingja, toyggj,tað verður ein rakan, tú fært, tá ið pápi tín kemur aftur
rakarastova	arbeiðshøli hjá rakara, rakistova
rakari	hárskeri, klippari;sbr.bartskeri
rakaroð	seyðaskinn sum ullin er rakað av, roð,móts.roturoð
rakaroðskógvur	rotuskógvur úr rakaroði
rakaskógvur	rakaroðskógvur
rakár	vána(ligt) ár 2, soltið ár 2,(orðt.)ravnur er feitastur rakár
rakbeist	(niðr.)fátækur ódugnakroppur, rakbendil
rakbendil	1ein ið er sera rak, rakdirðil2fátækur ódugnakroppur, rakbeist
rakbóndi	fátækur bóndi, knæbóndi,ikki hevur tað verið rakbóndi, ið her hevur búð;ein slíkur rakbóndi átti ikki annað enn vrakvørur í sínum goymslum
rakbýlingur	(í stórbýi)býarpartur við nógvum fátækafólki, býlingur merktur av fátækdømi
rakdeyði	(um seyð)tað at rakdoyggja,einki er eftir av gróðri, og rakdeyði spyrst tí víða hvar;tá ið rakdeyði kemur í seyð, man tað koma av yvirskipan
rakdirðil	(niðr.)ein ið er sera rak, rakbendil (1)
rakdoyggja	doyggja í raki, doyggja í hungri
rakdropanøs	nøs við rakdropum, nøs ið dryppar úr(Sv)
rakdropi	dropi (1) úr nøs, nasadropi
rakdýr	1dýr ið er rak2(um fólk)rakdirðil, vesalavætti,fara ikki til sovorðin rakdýr at fáa sær nakað
rakdæmi	dæmi av at vera rak
rakett	1loftfar drivið við gosi aftanúr(sum vápn løtt við spreingievni),flogsnælda, loftsnælda2(fýrverk)hylki við skreyteldi at senda upp í loft
rakfallin	(Suð.)deyðarak, kaldarak,móti síðstu tíðum skulu føroyingar verða so rakfalnir, at teir skulu vera sjey um hømiliuna
rakflettari	(stb.)(í fletting)ein ið ikki tekur tálgina nóg væl av krovi og avroðum, ein ið ikki flettir feitt,nú mást tú ikki vera rakflettari
rakfuglur	fuglur ið er (kalda)rak,rakfuglur er loftskotin
rakføddur	hungraður, undirføddur(serst. um neyt),leiddi við sær eitt lítið rakføtt tarvaskapilsi
rakhagi	ringur hagi, harðskøltur hagi, vánaligt bit 1(3)(við lítlum grasi og seyði)
rakhola	fátækt hús(helst til jørð)
rakhosa	1burturkastaðel.vrakað hosa2(flutt m.)ein ið er burturkveistraðurel.vrakaður,so tað er ætlanin, at Tobia skal koma heim aftur higar sum ein rakhosa
rakhundur	(skemt.)ein ið er rak og klantrasligur
rakhøna	høna ið er rak, visalig høna,ein fjaðursár rakhøna
rakiblað	tunt hvast tvíeggjað stálblað(at raka 2(3) við),blað (6)
rakigreiður	greiður at raka 2(3) (sær) við, tól til rakingar;sbr.greiða 1(2)
rakijarn	(stb.)rakiknívur,hava munn sum eitt rakijarnvera hvassorðaður, vera hvassur í munninum
rakiknívur	knívur at raka skegg við;(flutt m.)hava munn sum ein rakiknívurhava hvassa tungu;hann hevði munn sum ein rakiknívur og var ikki at teppa;seta upp rakiknív(brýna (1))
rakikustur	lítil kustur(at bera sápu á skeggið við undan raking),rakingarkustur
rakimaskina	tól at raka sær við, rakingarmaskina(drivin við ravmagni)
-rakin	síbein-,skeiv-
raking	tað at raka 2(3) sær
rakingarblað	rakiblað
rakingarkustur	rakikustur
rakingarmaskina	rakimaskina
rakingartól	rakitól
rakisápa	sápa at bera á skeggið undan raking(at bloyta skeggið),sápa nýtt til rakingar
rakiskúm	skúm til rakingar(í dós)
rakispegl	spegl nýtt við raking(ofta holspegl)
rakispritt	spritt at bera á holdið eftir raking
rakistova	rakarastova
rakitól	tólel.amboð at raka (sær) við
rakivatn	(heitt) vatn at nýta til rakingar
rakjørð	jørð ið lítla og onga frukt ber, vánalig jørð, fruktaleys jørð
rakk	sírøkka
rakkaband	(bát.)1band til at draga rakkan niður við2(stb.)band tvørtur um mastrina í staðin fyri rakka
rakkahorn	(bát.)hálv hornheld ið heldur ránni at mastrini;sbr.rakki 1
rakkali	sina 1(3) á kópi, sin (3)
