S	rómv. taltekn fyri 70
s	(málfr.)hjáljóðsstavur (nevndur[ɛs:]);(tilt.)ikki kenna s fyri kikki kenna bókstavirnar, vera ein sibbi
SA	kenningarstavir á skipum skrásettum í Sandoy(stytting avSandø)
sabbatur	halgi- og hvíludagur hjá jødum,sabbatin skulu tit halda!
saddukeari	(bíbl.)gýðingur í ávísum trúarflokki á Jesu døgum(trúðit.d.ikki á uppreisn frá deyðum)
saðil	1sæti á hestbakiel.súkklu2(stb.)bugur í rygginum (á neyti, seyðio.tíl.),neyt, seyður o.a., ið hevur nóg niðurboygdan rygg, hevur saðil í rygginum(eru saðilbogin)3lægd í mønuni á des4(seyðal.)dimmur litur á bakinum á hvítum seyði
saðilband	(kvæð.)(á hesti)band(niður um búkin)at festa saðil við, saðilgjørð, kviðgerð, gjørð (4)
saðilbogi	(kvæð.)bogi á saðli(til at halda sær í),hann studdist við saðilboga
saðilbogin	1(um ross)við nógv niðurboygdum ryggi, saðilboygdur2(um fólk)(lenda)fattur
saðilborin	(sj.,stb.)saðilbogin (1)
saðilboygdur	(um ross)saðilbogin
saðildýr	(kvæð.)hestur, ross,stíga til saðildýra
saðilgjørð	(kvæð.)saðilband, kviðgerð
saðilkertil	(lívfr.)kertil undir stórheilanum sum skilur úr sær vakstrarhormono.a.(hypophysis)
saðilreim	(kvæð.)reim sum ísporarnir hanga í
saðilslittur	(seyðal.)hvítur við dimmum saðli (4) (t.e.liti á bakinum),saðilslittur verður mest sagt um hvítan seyð við svørtum saðli
saðilsmiður	maður ið ger saðlar
saðiltóvi	(kvæð.)tóvi undir saðli(at verja bakið á rossinum)
saðla	1leggja saðil á,saðla hest;(kvæð.)Grani úti saðlaður stóð;(tilt.)hann ríður ikki sama dag, hann saðlarhann fremur ikki sínar ætlanir í verki beinanvegin2(stb.)leggja týggi á(til reiðingar),saðla ross;tú hevur saðlað tíðliga í morgun3(um rokk)leggja strong á,saðla rokkin
saðlingur	(stb.)(líðandi) bugur niðurí(t.d. um snór el. bretti),tað er saðlingur í;sbr.saðil (2),saðil (3)
safirur	slag av (serst.bláum) gimsteini
saft	1sevja (íel.úr plantumel.fruktum)2saftvatn
saftarleysur	(Sa.)kensluleysur, hjartaleysur,tað var saftarleys gerð at koyra mammuna út
saftarlítil	við lítlari saft
saftarloysi	(Sa.)tað at vera saftarleysur, kensluloysi
saftarmikil	við nógvari saft, saftmikil, sevjumikil
saftigur	saftmikil
saftmikil	saftarmikil,saftmikið gras;plantur við saftmiklum bløðum
saftugur	saftigur(Sv)
saftvatn	leskidrykkur av fruktsaft og vatni
sag	amboð við tentari egg til at kappa, klúgvael.skera (serst.træ) við;sms. t.d.band-,boga-,borð-,jarn-,kamba-,lang-,leyv-,rund-,stikk-
saga	1skera við sag2(um fiskserst.longu)bíta (teymin) tvørturav,longan sagaði teymin av3(um sigling, róður í hørðum mótráki)stremba (t.d.um ein streymtanga),tað var so vit sagaðu (tað);teir lógu og sagaðu stavn um stavn(um bátar sum vóru javnir í kappsigling)
sagan	(um sigling, róður móti hørðum ráki)tað at berja seg framel.vinna tungliga á,tað var ein sagan at koma aftur til lands
sagarbjálki	(handv.)langa stykkið á bogasag
sagarblað	tent blað (6) á sag
sagarbonkur	(stb.)sagulað
sagargron	(stb.)sagingargron
sagarkjaftur	k6/8í osb. sumlíggin er sum ein sagarkjaftur(raggaður og hevur fingið skørð í eggina)
sagarknabbi	(handv.)knabbi at snara sagarblaði við(á bogasag),sagknappur
sagarlað	sagulað
sagarmaður	sagumaður,hatta stendur sum ein sagarmaður(um mann sum stendur og fílar langafíl og einki fær)
sagarsnórur	snórur at saga eftir
sagartonn	tonn (2) á sagarblaði
sagbjálki	sagarbjálki
sagblað	sagarblað
sagdi	sísiga
sagdur	sísiga
saggi	(sj.)væta, slav, slag, rái
sagilað	sagulað
sagingargron	(stb.)trægrind við rúti(evnað til eftir andlitinum á niðara manni)at hava upp fyri eyguni tá ið sagað varð við langsag
sagispønir	(stb.)saguspønir
sagknappur	sagarknabbi
sagmaður	(stb.)sagumaður
sagnareykasetningur	(málfr.)slag av eykasetningi (iðvanl.byrjar viðat),í setninginum "eg veit, at hann kemur" er "at hann kemur" sagnareykasetningur
sagnaringur	(bókm.)bólkur av evnisskyldum søgnum,Sjúrðarkvæði hava evni sítt úr samgermanska sagnaringinum um nivlungar
sagnarnavnorð	(málfr.)navnorð avleitt av sagnorði(ið lýsir gerð el. støðu),"lestur" er sagnarnavnorð av "lesa"(verbalsubstantivum)
sagnir	sísøgn
sagnkendur	líkur søgn(um), óveruligur, ævintýrkendur
sagnliður	(málfr.)umsøgn,í setninginum "hann hevði vaskað bilin" er "hevði vaskað" sagnliður[da.verbal]
sagnorð	(málfr.)orð(í ávísum orðaflokki)sum bendist í tíð og virkar sum umsøgn, lýsir gerð, støðuel.broyting í støðu(bendist eis. í persónum, tali og hátti)(verbum),"liva", "heingja", "rodna"o.s.fr.eru sagnorð;sterkt bend/veikt bend sagnorð;ávirkandi/óávirkandi sagnorð;hjálparsagnorð
sagogrýn	grýn av sagomjøli
sagomjøl	mjøl úr merginum á pálmanum sagopálmi
sagont	(fugl.)toppont
sagosuppa	suppa við sagogrýnum
sagosúpan	súpan við sagogrýnum
sagspenni	(handv.)(snúðrað) band at spenna bogasag við
sagtentur	(plfr.)(umt.d.blaðrond)við hvøssum tonnum ið allar horva sama veg(eins og á sag)
sagtonn	(dj.)tonn á rándýri lík tonn á sagarblaði(at skræða sundur við),jakslirnir eru hvassir og skørðutir í rondini, sovorðnar tenn eita sagtenn
sagulað	lað (1) at saga á við langsag(fýra grótstabbar við tveimum timburstokkum eftir longdini í erva),sagarlað
sagumaður	leika(lítil træmaður við langsag sum stendur og vigar á borðkantiel.bonkarenda),sagmaður, sagarmaður
saguskel	1(stb.)jákupsskel2(stb.)langfiskur
saguspønir	spønir ið koma frá tá ið sagað verður
sagverk	sagvirki
sagvirki	virki har ið timbur verður sagað til gagnvið (t.d.borðvið)
sak	1ósemja løgd fyri rættin, sakarmál, rættarmál,liggja í sak við e-n2mál 1(7),hann bað teir geva seg í Guds hond og fara, tí at teir høvdu eina góða sak;sbr.søk
-saka	sírann-
saka	1vera til ampael.at meini, bila, baga,honum sakar einki(bagir einki);tað man ongan saka;hon er eitt sindur brekað, men hvat sakar tað?;einkiel.ikki sakartað hevur einki at týða;(stb.)mannin sakti einki2leggja (e-n) undir (e-t), ásaka,saka e-n um e-t;sms. t.d.av-,or-
sakan	skuldseting, klaga 1, ákæra
sakarbót	(løgfr.,sj.)bót (5), sekt,menn komu ofta í stórar sakarbøtur
sakarkostnaður	(løgfr.)sakarmálskostnaður,skiparin skal gjalda sakarkostnaðin
sakarleysur	meinaleysur, góðvarin, einfaldur (3), sakleysur (2),eitt sakarleyst barn
sakarmál	(løgfr.)ákæra 1, klaga 1 ið løgd verður fyri rættin
sakarmálskostnaður	(løgfr.)kostnaður í sambandi við sakarmál, sakarkostnaður, málkostnaður
sakaroyri	(søg.)sekt at gjalda kongi
sakarpeningur	(søg.)sakaroyri
sakfella	(bíbl.)døma, dómfella
sakførari	(løgfr.)løgfrøðingur við rættindum at flyta mál fyri rætti, málførslumaður, advokatur;sms. t.d.hægstarættar-,landsrættar-,yvirrættar-
sakk	sísøkka
sakkarin	(evnafr.)evni at søta við og við lítlum og ongum føðsluvirði, sukurlíki
sakleysliga	í sakloysi
sakleysur	1uttan skyld, ósekur,tú hevur dripið hann sakleysan2meinaleysur, sakarleysur,leikur hennara var sakleysur og meinaleysur
sakligur	1sum heldur seg til evnið,hann verður hugtikin av hini sakligu frásøgnini2sum ikki loypur framav, hóvsamur, hóvligur,altíð var hann sakligur, leyp ongantíð framav
sakloysi	tað at vera sakleysur
sakna	1kenna sakn (eftir e-m), leingjast eftir (e-m),sakna e-n/e-t;sakna e-n burtursakna2sakna seg (burtur)dúra, durva, sova leysliga (eina løtu)
saknaður	saknur
saknaligur	(sj.)sum saknur er í,tað er so saknaligt at hava mist eyguni(síggja illa)
saknur	tað at sakna, missur, eftirsjón,tað er stórur saknur í tí;saknur er í honum
sakrament	(átr.)kirkjulig halgigerð,dópur og altargangur eru sakrament
sakramenti	(átr.)sakrament
saks1	fast skarn (í foyrum) í húðini(serst. á hondum og skøvningum)
saks2	hali á kópi, dirðil (3), raggari
saksa1	(bún.)amboð at saksa við, harva
saksa2	1høgga smátt sundurserst.bøkkar í veltu(við saksingarjarniel.haka, seinnieis.harvu og fresara)2skera við óhvøssum knívi(Sv)
saksagingin	saksalopin
saksaklovi	vánaligur saksur
saksalopin	við saksi 1 (t.e.føstum skarni), ógvuliga skitin, gravskitin(um hendur, skøvningaro.tíl.),saksagingin
saksapartur	annar partur av saksi
saksari	amboð at saksa við
sakshaki	saksingarhaki
saksi	sakslendingur
saksijarn	skeft tvíeggjað jarn at saksa við, saksingarjarn
saksing	1tað at saksa2tíðin tá ið saksað verður(Sv)
saksingardagur	dagur tá ið saksað verður,tann fyrsti saksingardagurin var hálvur hátíðardagur
saksingarhaki	haki at saksa við
saksingarjarn	saksijarn
saksingarmatur	matur saksingardagar,saksingarmatur var flatkøka og fótamørur til morgunmatar og kókað kjøt og súpan til døgurða
saksingarríva	ríva at saksa við
saksiskur	íel.úr Sakslandi
Saksland	(kvæð.)landslutur í Týsklandi(Sachsen)
sakslendingur	fólk íel.úr Sakslandi
saksofon	(tónl.)slag av blásturljóðføri
Saksun	(stn.)bygd í Norðstreymoy,í/úr Saksun,til Saksunar
saksunarsjúka	(lækn.,søg.)slag av beinkrími
saksuningur	fólk íel.úr Saksun
saksur	amboð(við tveimum bløðum og honkum)at klippa við, skærur;sms. t.d.ljósa-,seyða-,skraddara-,ullar-
sakta	1minka (spakuliga) ferðina,hon saktaði gonguna;(kvæð.)Ívar saktar síni ferð2(um klokku)ganga ov spakuliga, seinka, stíga aftur
saktans	uttan iva, vissuliga, sjálvsagt, trúliga,hetta er alt, ið eftir er, men her er saktans nóg mikið til tín við
sal	søla(Sv)
salamandra	(dj.)slag av paddu við longum hala(Urodela)
salat	1verður 1 av (ráum) fruktumog/el.grønmeti(vanl. við salatsós)2(plfr.)grønmetisslag í slektiniLactuca;sms. t.d.henti-,høvuð-
salatblað	blað av salati (2)
salathøvd	(plfr.)knøttur av salatbløðum ið liggja hvørt uttan á øðrum
salatolja	matolja til salat (1)
salatsós	kryddsós til salat (1)
salg	(tlm.)søla
saling1	rustblettir
saling2	(skip.)útbúningur við mastrartoppin sum rigningurin og toppstongin eru fest við
salingardropi	rustblettur á línklæði
salingur	saling 1
salla	(sjóm.)(um lítið hál)lata fiskin vera í til næsta hál,at salla eitt hál
salli	grovt mjøl ið eftir er tá ið sáldað verður,sallin verður givin høsnunum
sallur	(søg.)partur (ein triðingur) av mansbótum(FFÆ355)
salmiakk	(evnafr.)gulligt krystallað evnasamband(NH4Cl)
salmonella	slag av bakteriu sum kann elva til ígerðarsjúku við ringum lívsýki(serst.í flogfenaði)
salón	(skip.)(stórt) tilhaldsrúm hjá ferðafólki
salpetur	(evnafr.)heiti á ávísum nitratum(m.a. í handilstøðum)
salpetursýra	(evnafr.)litleys ólívrunnin sýra(við einum køvievnis-, einum vetnis- og trimum súrevnisatomum, teknHNO3)
