T	rómv. taltekn fyri 160
t	1(málfr.)hjáljóðsstavur (nevndur[te:])2stytting fyritons3stytting fyritummi
t.	stytting fyritími
ta	sítann
tabell	(støddfr.)talva (3), roknitalva
tabernakkul	(bíbl.)tjald ið virkaði sum halgidómur hjá ísraelsfólki(tá ið tey gingu í oyðimørkinisbrt.Gamla testamenti)
tablett	(lækn.)moli av grøðievni, telvi;sms. t.d.pínu-,sjóverks-,svøvn-,tuggu-
tadd	illa piðað kjøtbein,lat meg fáa hatta taddið at piða;nú liggur taddið eftir
tadda	(sj.)seta ímóti, halda eftir,tadda bátinum eitt sindur
taddatesk	h(stb.)í osb. sumhosurnar eru slitnar upp í taddatesk;tær eru í taddateski(ikki seilin heil, uppslitnar)
taddatugga	kv1(stb.)í osb. sumeg skuldi bukað teg, so ikki taddatuggan verður eftir í tær(smurt teg av)
taddi	(stb.)taddatesk,hosan er slitinel.komin upp í tadda
tadna	(um ullklæði)gerast leysari, fara úr tøvingini, tavna,móts.tódna,tadnael.tadna sundur;hatta er tadnað;tað tadnar (sundur) uppi á honum(ofta á gomlum fólki, tekin um afturferð);(tilt.)vøttur tadnar á stavi og tódnar á árarlummi
tað1	1(í staðin fyri navnorð í hvørkikyni í 3. pers.)skipið er komið, eg havi ikki sæð tað enn;tey fóru út at spæla(børnini);tey bæði;tey gomlu;(kvæð.)trøllini tey eru sterk;(tilt.)tá ið tvey ynnast, tey væl finnast;býráðið og fyriseting tess2(fyribils grundliður)tað er gott, at tú kemur;tað var eina náttina;tað hendi í gjár;tað var ein vakran summardag3(í osb. um veður o.tíl.)tað kavar;tað regnar;tað tornar4(nýtt sum hjáorð)prísurin er valla tað høgur;húsini standa tað høgt
tað2	sítann 2
taða1	(Suð.)tøða
taða2	breiða tøð á (t.d.bø, veltu, beð),jørðin var vorðin forn, og henni tørvaði at verða taðað
taðan	(sj.)taðing
taðfall	tøð,tá ið taðfallið bert er tari, verða eplini heldur bleyt;teir nýttu slógv, har ið taðfallið tvørraði
taðing	tað at taða 2,tað eru heldur ikki allar plantur, ið tola stórvegis taðing
tagað	sítiga
tagdi	sítiga
tagga	1e-t spískt, oddur, píkur, groddi,á fótinum hevur hanin hvassa taggu, vit nevna hekl;fram við rondini á nevinum standa smáar taggur av horni;kombikk er slag av smávaksnum fiski við spískum, hvøssum taggum2(lækn.)serst.fltgylliniæðr
taggutur	við taggum (1),ein taggutur koyril
tagl	long hár ytst á rossa- og neytahala,hann fekk í halan á tarvinum, men taglið slitnaði;(kvæð.)so var skeggið á risanum sítt sum síðasta tagl á hesti;flettael.tumma út av tagli(num)(um seyð)fletta skinnið av halanum so at eingin halakveistur er eftir;sms. t.d.hala-,ullar-
tagla	heingja upp eitt og eitt, heingja á rað,jólatrøll plagdu tey at tagla upp í skíggja;tagla (byrði) upp á seg;taglaðurel.avtaglaðurtætt settur (við e-m);húsið var taglað við smáfuglum;hvør knasti situr taglaður (av fugli)
tagna	1gevast at tala, gerast tigandi,hann tagnaði og sá ógvuliga hulur út;fyri at fáa barnið at tagna tók daddan nú eina ringlu;sjarrið av barninum tagnaði so líðandi;(tilt.)tagnar (el.tigur) ikki heldur enn ritan í berginumtosar uttan íhald, tigur aldri2(um ljóð)halda uppat, fjara burtur,ljóðið var tagnað;sms. t.d.bráð-,stein-
tagnar	sítøgn
tagnarbundin	við tagnarskyldu
tagnarheimur	(bíbl.)heimur har ið tøgn valdar,mín sál var í tagnarheimi
tagnarskylda	skylda til at tiga um e-t,hava tagnarskyldu
