u	(málfr.)sjálvljóðsstavur (nevndur[u:])
U-	(ítr.)(stytting fyri ungdóms-)U-16 landslið(upp til 16 ár);U-18 landslið(upp til 18 ár);U-21 landslið(upp til 21 ár)
uddi	síyðja
uff	(til at vísa møði, trega o.tíl.)huff,uff, uff
ugga	veita (e-m) ugga, troysta 2, sissa,ugga e-n;hann uggaði seg við, at...
uggabein	(fisk.)óstbein á fiski
uggablóð	storknað blóð í uggunum á saltfiski
uggabreiður	1(um flaktan fisk)breiður um uggarnar2(um mann)herðabreiður3ið erpar sær,hann ger seg so uggabreiðan
uggabrotin	(um fisk)við (endanum á) uggabeinum losnaðum frá rygginum,fara væl við saltfiskinum, tá ið hann verður landaður, so at hann verður ikki uggabrotin;uggabrotin fiskur
uggafiskur	1fiskur í ugganum2uggastykki
uggafjøður	(á fiski)fjøður (3) á ugganum(ein hvørjumegin);(tilt.)reisa uggafjaðrarnarel.láta við uggafjøðrinigerast illur
uggaleysur	ið ongan ugga gevur, troystarleysur,hesi uggaleysu orð
uggan	uggi 2,til ugganar;eg væntaði uggan, men onga eg fann
ugganarleysur	(bíbl.)uggaleysur
ugganarorð	orð søgd til ugganar,tað er ikki fiskimaður, ið ikki missir, vóru ugganarorðini, tá ið eg misti uppi í sjónum
uggari	(bíbl.)ein ið uggarel.troystar 2,uggari mín í lívi og deyða
uggaskera	(um fisk)skráskera
uggastykki	fremsta stykkið av sundurskornum fiski(har ið uggarnir eru),framstykki, hálsur (3), eljustykki
uggi1	(á fiski)tað tunna aftan fyri uggabeinið(frammi við hálsin),tunni (2)
uggi2	tað ið kann ugga, troyst, linni (3), lætti (2), uggan, uggilsi, ugguleiki,(orðt.)lítil er barnsins uggi
uggileiki	(Suð.)ugguleiki
uggilsi	uggi 2,e-t at geva børnum til uggilsi
uggingarsamur	ið ber ugga, uggandi,lagsmenn vilja vera uggingarsamir
ugguleiki	(Suð.)uggi 2,til ugguleika;hann hevði tað til ugguleika;tað er ein ugguleiki at hava tað (barnið) hjá sær
ugla	(fugl.)deild av ránfugli ið serliga veiðir um náttina, úla(Strigiformes);sms. t.d.horn-,katt-,snjó-
ugli	(sj.)ugla
uglubóndi	(kvæð.)ugla av kallkyni,har kom ugla og uglubóndi
uks	(stb.)ups
-ul	(eftirfesti),sí t.d.bøkul,jøkul
ulka	(fisk.)smátt fiskaslag við tindum á skræðuni(ikki matfiskur),krutt, ulkupill, kluftarpil, kuntupill, grottupil, kruttafyl(Myoxocephalus scorpius)
ulkufyl	(fisk.,stb.)ulka
ulkukrutt	(fisk.)ulka
ulkupil	(fisk.,stb.)ulkupill
ulkupill	(fisk.)lítil ulka, krutt
ulkusporl	(stb.)sporl á ulku,(tilt.)hatta er sum eitt ulkusporl(klænur og visaligur)
ull	hár áel.av dýriserst.seyði(m.a. at spinna til tógv),leita eftir ullhenta lesull í haganum;tann fínara ullin verður kallað rót og tann grovara broddur;(tilt.)(seyða) ull er Føroya gull(fyrr vóru ullpløgg fremsta útflutningsvøra);ein ullullel.pesja fallinel.roytt heil av seyði;sms. t.d.brodda-,bumm-,búk-,fóta-,háls-,hunda-,hvølpa-,høvda-,kota-,les-,los-,rættar-,vár-,ær-
ullaður	sms. t.d.síð-,mjúk-,rís-,snøgg-,tráð-
ullarband	band úr ull(t.d. at leiða seyð við),ullband, ulltog
ullarbeiði	tað at arbeiða ullt.d.karða, nappa og spinna
ullarbýti	tað at býta ull,seyðabýti og ullarbýti
ullardigla	digla (2)
ullardukka	1(plfr.,stb.)mýrifípa2(slang,stb.)mánasjúka,nú er ullardukkan komin
ullardøttur	(stb.)eitt sindur av ull, ein døttur (7) av ull, lítil ullarlagdur
ullarfakt	(Suð.)ullfakt
ullarfiti	gul fiti tálg í óvaskaðari seyðaull, ullartálg(lanolin)
ullarfløta	ull breidd út at turka,havið var sum ein hvít ullarfløta, brot í brot(um ringan sjógv)
ullarfólk	1(søg.)fólk ið gekk um landið at biðja ull2fólk ið leitar eftir lesull
ullargóður	við góðari ullferð,ullargott og trivaligt seyðaslag
ullarhár	(fín) hár (1) av seyðaull,hann sló ullarhárini av brókunum við hondunum
ullarhelsi	helsi (1) av ull
ullarhít	hít (1) tilel.við ull, ullarposi
