V	1rómv. taltekn fyri 52stytting fyrivolt
v	(málfr.)hjáljóðsstavur (nevndur[ve:]);sbr.vaff
VA	kenningarstavir á skipum skrásettum í Vágum(stytting avVaagø)
vadmal	vaðmal
vað1	grynka 1 har ið gongtel.vaðandi er um á,at leita sær vað at koma um ánna;vit hildu á vaðið
vað2	1fiskireiðskapur(snøri, vaðbein, vaðkallur, vaðsteinur),snørisvað,vaðið er snørið frá vaðsteini til vaðbein;tað fór ikki steinur um stokk, vaðið gjørdist ikki vátt(kastaðu ikki)2djúpshædd, snørislongd, fiskivað,eitt vað er 60 favnar
vað3	fiskatorva(oman á sjónum el. í vatnskorpuni),sildrekin eltir sildavaðini;leggja í vaðiðtaka dúgliga til sín av matiel.drekka;sms. t.d.fugla-,silda-
vaða	ganga í vatni, evjuel.bleytlendi, vassa,vaða yvir um ánna (sj.vaða ánna);vaða í kava;vaða ígjøgnum kavan;báturin veður um æsingarnar(setur djúpt);sólin vóð í havsbrúnnisólin var um at seta;sólin veður íel.á luftini(sæst av og á, glottir fram)
vaðagot	1streymrák á deyðavatni(rekur inn við øðrum og út aftur við hinum landinum),ein kvarði ið ofta gongur í ættina,sundini eru kyrrur sjógvur, har er deyðavatn, eingin streymur, men við hvørt so nógv vaðagot2(stb.)rák oman á sjónum og ikki við botninel.øvut(soleiðis at snørið ikki stendur niður),vaðagot kom gjarna í sjógvin um ólavsøkutíðina
vaðans	(gl.)gildi ið hann sum fyrstu ferð fær kalva helt fyri bátsmanningini, vaðansgildi
vaðansgildi	vaðans
vaðanskalvi	(gl.)fyrsti kalvi sum drongur veiddi, vaðhaldskalvi,fyrsti kalvi, sum drongur fiskaði, varð nevndur vaðanskalvi, og tá var gjørt gildi, sum kallað varð vaðans
vaðanslonga	(stb.)longa sum hvør av bátsmanningini gav dreinginum aftan á vaðans
vaðbein	(skip.,gl.)træ á lúnningini við skoru sum snørið verður drigið í,hann stendur við vaðbeinið(er fiskimaður);sbr.vaðkall(ur)
vaðbeinatíð	tíðin tá ið vaðbeinið var í nýtslu(tá ið fiskað varð við snøri),í vaðbeinatíðini
vaðblýggj	blýlodd til fiskisnøri;sbr.vaðsteinur
vaðbløðra	dráttrarbløðra
vaðfetil	band drigið í súlu 1(1) tvørtur yvir snørinum(at bera hana í og at forða fyri at buktirnar fara av)
vaðfiskur	(gl.)fiskur ið maður fekk framíhjá (t.e.av óbýttum),vaðfisk fingu ofta teir, ið hildu snøri
vaðfótur	(fugl.)fótur hóskandi til at vaða í grunnum vatni
vaðfuglur	(fugl.)fuglur við vaðfótum
vaðhald	(gl.)vaðans
vaðhaldskalvi	(sj.)vaðanskalvi
vaðhaldskjøt	(stb.)gott kjøt(til vaðans)
vaðhentur	(sj.)kvikur við snørinum
vaðhildin	(sj.)ið dugir at egna seg og kasta út og at kenna og draga so altíð stendur javnt á, kvikhentur, vaðhentur
vaðhorn	1hælbein á neyti (og seyði)2hornkendur knykil innan á beini á rossi
vaðhornsliður	(dj.)øklaliður(á kríatúri)
vaðhornslittur	(seyðal.)við liti um vaðhornið,ærin var vaðhornslitt
vaðhornssina	(dj.)hælsina
vaðkall	(bát.)vaðkallur
vaðkallur	(bát.)lítið træ við foyru sum snørið verður drigið í(á stokkinum í báðum skutum),vaðkall;sbr.vaðbein
vaðkrumma	troti og ilska av at fiska við snøri(Sv);sbr.gø 1
vaðmal	grovt, tjúkt vovið ullklæði, vadmal,kotini vóru úr sterkum vadmali
vaðmalsbummur	(í vevi)bummur (4)
vaðmalsklæddur	í vaðmalsklæðum
vaðmalsklæði(r)	(gl.)klæði av vaðmali
vaðmalskot	kot av vaðmali
vaðmalssegl	(gl.,bát.)segl av (sterkum) vaðmali
vaðsa	(upprfr.)->vassa
vaðskítadagur	(umborð á skipi)dagur tá ið maður drepur ikki livandi
vaðskítur	(sjóm.)1maður ið ongan fisk fær,vera vaðskíturvera krøktur, ongan fisk fáa2draga vaðskítdraga snørið upp við ongum fiski á;fiska vaðskítar(skemt.)ongan fisk fáa, ikki drepa livandi;teir munnu ikki ætla sær yvir hagar eftir vaðskíti
vaðskrín	(bát.)matskrín
vaðsnøri	(sj.)snøri (1)
vaðsteinagreytur	(stb.)hálvgreytur,vaðsteinagreytur var greytur, sum var so tjúkkur, at vaðsteinur (átta marka steinur) lá oman á honum
vaðsteinahella	(stb.,gl.)hella 1 at brýna vaðsteinar á
vaðsteinur	(bát.,gl.)árundur steinur í staðin fyri lodd til søkk á snøri,til søkk nýttu teir ein slættan, væl malnan, avlangan stein, sum teir høgdu foyrur í og so fatlaðu við einum snørisstubba;teir boraðu hol í endan á vaðsteininum og kílaðu eina stungu av neytahúð inní;vaðsteinur, sum teir brúktu á havi, vigaði 8 merkur, við land 4 merkur
vaðsúla	(stb.,bát.)súla 1(1), snørissúla
vaðvøttur	(bát.)vøttur at halda snøri við, dráttrarvøttur, snørisvøttur
vaff	(gl.)heiti á bókstavinumv, vavv
vafla	bakstur við rútutum mynstri eftir baking í vaflujarni,baka vaflur
vaflujarn	útbúnaður við tveimum jarnplátum við hongslum (við hjartaskapaðum formum) til at baka vaflur í
vagga	1rura,vagga barni;vaggaður í blund2rørael.flyta seg (varliga) frá síðu til síðu, rugga,sóljurnar stóðu og vaggaðu í lotinum
vagl	træel.biti sum høsn sita (og hvílast) á;(stn.)Vaglið(í miðbýnum í Havn)
vagnsveinur	(bíbl.)maður ið stýrir hestavogni
vagnur	vognur
vaka	1vera vakin, ikki sova, vakja,vaka alla náttina;vaka eyguni út á kinnvaka leingi,hann hevði brotið svøvn og vakt eyguni út á kinn2sita uppi um náttina(til at hjálpa),vaka uppi yvir e-m;vaka yvir e-m
vakhús	(gl.)hús úti í haganumel.uppi í fjøllunum har fólk var á varðhaldi eftir ófriðarskipum, vaktarhús
vakin	1sum vakir, sum ikki svevur2sum fylgir væl við, gáin, hyggin, skettin, gløggur,fólkið eigur at vera vakið og varið;sms. t.d.al-,ár-,klár-
vakja	(tlm.)1vaka,hann vakti alla náttina2vekja,kanst tú ikki vakja meg tíðliga í morgin ári?
vakka	(gl.)gangael.fara umkring, reika, vappa, fjakka
vakna	1gerast vakin, klárna (eftir svøvn),vakna við afturrakna við aftur;hon fall í óvit, men vaknaði skjótt við aftur(úr svímilsi);vakna (upp) við kaldan dreym,sídreymur2rakna við,hon vaknaði við, og tað var, sum hevði hon droymt;evnini í fólkinum vakna;sms. t.d.hálv-,klár-
vakning	tað at vakna (2),tjóðskaparlig vakning;eitt fólk í vakning
vaks	voks
vaksa	1gerast størri, økjast(í vavi, mongd, styrki, í tali, til longdar, hæddar, tjúkdar o.tíl.),leypa úr,veksa,børnini vaksa;hann er vaksin upp undir skýggj(sera nógv);tað kendist, sum vaks bitin í munninum(maturin fall ikki væl);(flutt m.)tá vuksu eyguni í honum(hann gjørdist ovfarin);alt sum dagurin vakssum leið út á dagin;herurin vaks skjótt;talið veksur støðugt;brimið vaks;vindurin vaksel.hann vaks vindin;hitin veksur2grógva, renna upp (av rót),gularøtur vaksa best í sandmold;plantan veksur bara her;skeggið var farið at vaksa;landið er vaksið við skógi(skógvaksið)viðfs/hjvaksa frammennast;vaksa frá:mamman læt hann í nakrar frávaksnar spjarrar(sum hann var vaksin úr);vaksa frá e-mgevast við e-m (spæli) sum ein veksur,hon var vaksin frá at spæla við dukkur;vaksa tilgerast vaksin (sum frá líður);vaksa umgera størriel.rúmligari;vaksa uppliva síni barnaár,hann vaks upp í einum tryggum heimi;vaksandi1eitt vaksandi brús2(stjfr.)vaksandi sólfyllandi sól;vaksin:ansurin er vaksin(er vorðin meiriel.størri)
vaksdúkur	voksdúkur
vakshattur	(plfr.)slekt av soppi (2)(Hygrocybe),sliputur vakshattur(H. unguinosa),spískur vakshattur(H. persistens),gulur vakshattur(H. chlorophana),bleikgulur vakshattur(H. citrinopallida),bláreyður vakshattur(H. lilacina),fagurligur vakshattur(H. splendidissima),reyður vakshattur(H. coccinea),døkkflusutur vakshattur(H. turunda),flusutur vakshattur(H. lepida);sms. t.d.anga-,brósk-,eingjar-,hunangs-,leður-,leyk-,lút-,moyggjar-,pappageyka-,skarlaks-,skarn-,topp-
vaksin	1komin til mans, tilkomin, mannkomin, fullvaksin,tey vaksnu;tað ert tú ikki nóg vaksin tiltí ert tú ikki maður fyri2avvaksin,tær flestu tekjurnar vóru vaksnar við lundasinu3skapaður, dánaður,hann er so lubbut vaksin;sms. t.d.al-,av-,bráð-,breið-,flat-,frá-,full-,gjar-,há-,høg-,klæn-,korka-,lág-,lyng-,mann-,ovur-,sein-,skarp-,skegg-,skóg-,slý-,stutt-,súlu-,tjúkk-,tunn-,upp-,vegg-,vigg-,yvir-
vaksingarbiti	(stb.)vakstrarbiti,til at fáa børn at eta upp verður sagt við tey, at seinasti bitin er vaksingarbiti
vakskøka	(bíbl.)pláta av voksi sum býflugur gera sær í býfluguhúsinum
vaksljós	voksljós
vaksmyndasavn	savn við voksmyndum í natúrligari stødd(ið avmynda kend fólk)
vaksnamanna-	viðv. vaksnum fólki
vaksnamannadópur	tað at doypa vaksin,móts.barnadópur (1)
vaksnamannatal	hí osb.koma upp í vaksnamannatalgerast vaksinel.tilkomin
vaksnamannatonn	(lívfr.)tonn ið kemur upp eftir mista barnatonn
vaksreyðflíggj	(plfr.)slag av reyðflíggi(Entoloma cetratum)
vakstar	sívøkstur
vakstramanna-	vaksnamanna-
vakstrar	sívøkstur
vakstraravtala	(búsk.)avtala millum partar um hvussu teir ætla at skapa búskaparvøkstur í einum øki,í Oulu varð avgerð tikin um eina vakstraravtalu, har ið elektronikkur var eitt vinnuligt tyssi, ið semja var um at leggja seg eftir
vakstrarbiti	(stb.)síðsti bitin í máltíð(sagt við børn til at fáa tey at eta upp),vaksingarbiti,vakstrarbitin er síðsti bitin, átst tú ikki hann, vakst tú ikki
vakstrargarður	urtagarður,rundan um húsini er stórur vakstrargarður
vakstrarhús	bygningur (ofta úr glasi) har ið plantur verða dyrkaðar, gróðrarhús
vakstrarhúsárin	tað at lofthavið verður ovhitað av stórídnaðio.tíl.;smb.vakstrarhúsgass,veðurlagsgass
vakstrarhúsgass	veðurlagsgass,aðalmálið við veðurlagssáttmálanum er at minka so mikið um vakstrarhúsgassini, at heimsveðurlagið ikki broytist munandi
vakstrarkista	kistael.kassi við glasloki til at dyrka plantur í
vakstrarkveikur	kveiking, eggjan(til vøkstur),har funnu teir tann vakstrarkveik, sum fólkaháskúlin er ætlaður at geva ungfólki
vakstrarlag	háttur sum kroppurin er bygdurel.vaksin, kropsbygnaður,langfiskurin er eyðkendur á vakstrarlagnum
vakstrarlendi	gróðrarlendi,gott/ringt vakstrarlendi
vakstrarlíkindi(r)	gróðrarlíkindi,sum hækkast upp á fjallið, versna vakstrarlíkindini
vakstrarlítil	lítil á vøkstri,sum barn var hann vakstrarlítil
vakstrarlop	(lívfr.)rond ið legst afturat hvørt ár,á skrubbinum eru vakstrarlop, ið vísa, hvussu gamal fiskurin er;sbr.lop (4)
vakstrarmáttur	mátturel.evni til at vaksa, vakstrarmegi
vakstrarmegi	vakstrarmáttur
vakstrarmunur	munur í vøkstri
vakstrarskifti	(bún.)tað at skifta ímillum ymsan gróður á sama øki,vakstrarskifti var á tí mesta av bønum, fyrsta árið var havri, annað árið røtur ella epli
vakstrarstaður	staður har ið e-t veksurel.er vaksið
vakstrartíð	tíðarbilel.árstíð tá ið plantur vaksa,alt má hava sína vakstrartíð
vakstrarvánir	gróðrarlíkindi, vakstrarlíkindi
vakstrarvón	vakstrarvánir
vakstrarøki	1(plfr.)øki har ið ávís djóra- og plantusløg vaksa og trívast,vakstrarøkið hjá toskinum inni við land eigur at verða friðað2vinnugrein sum er í stórari menning,kunningartøkni verður nógv umrøtt í hesi tíð, og tað verður roknað fyri at vera eitt vakstrarøki, ið føroysk vinna eigur at vera partur av
