y	1(málfr.)sjálvljóðsstavur (nevndurseinnael.sj.langa[i:])2[y:]1(støddfr.)heiti á ókendari stødd(t.d. á seinna ókenda í líkning)2tekin fyri virði á seinna liði (í krossskipan)3(stundum í tøkuorðum)
y-ás	(støddfr.)uppás
ydda	(handv.,Mikld.)gera odd á(serst. seym el. nagla),tá ið seymur varð smíðaður, var at ydda hann til seinast;bara rekseymur var yddaður;ydda knív(gera spískari)
yðja	vera til í nøgd,yðja avel.í (e-m)vera nógv til av,býurin yður av fólki;har yður í fólki;yðjandi lívlívligt virki;yðjandi fult av (e-m)murrandi fult av;tá vaskaðu fólk sær sjáldan og uddi tí í øllum livandi(lúsum);sbr.ýðja
yðjan	tað at yðja, ørgrynni
yksna-	(sj.,stn.)øksna-,Yksnagjógv
ylast	(sj.,stb.)orna,nú ylast hjá tær;sbr.ylna
ylblot	ylbloti
ylbloti	(stb.)væta av yli
ylheitur	1sum heldur leingi hita,hesar gløðurnar eru so ylheitar2sera heitur, glóðheitur, gløðandi,eg kendi blóðið ylheitt brenna mær í barmi;hann helt eina ylheita verjurøðu
ylja	(sj.)geva yl frá sær, fløva, verma
ylliniviður	(plfr.)stórvaksin runnur í slektiniSambucus, hyllitræ
ylmikil	(stb.)heitur í sær sjálvum, ið tolir væl kulda,smábørn eru so ylmikil
ylna	hitna, flóna, orna,nú er farið at ylnael.nú er ylnað inni(t.d. av hita frá ovni);ylna um oyrunigerast illa við, orna um skallan;hann ylnaði við(hitnaði um hjartað);(flutt m.)so ylnandi heit var hjartakenslan
ylsvarmi	(stb.)varmi av yli
ylur	1mildur hiti (sum heldur sær leingi), innigoymdur hiti,ylur er í hoynum;hoyggið tók ylylur kom í hoyggið;hamsalopið er korn, sum sáðurnar detta uttan av av roti og yli2kvalin, klumrutur hiti,ylur í luftini3í osb. sumylur rann at honumhann varð illa við, ræddist;tað dró ylur at honumhann ilskaðist4flógv góðkensla,ein ylur av gleði streymaði ígjøgnum hana;tað fer ylur gjøgnum ein at síggja konufólkaandlit aftur;(skaldsk.)ein ylur í barmi mær brann;sms. t.d.hjarta-,krops-,sátu-
ymis	ymissur
ymiseksingur	k6(plfr.)ymiseksingarbólkur av stør við kallblómum og kvennblómum hvørjum á sínum aksi(heterostachyae)
ymisháttaður	háttaður ymisliga,jørðin er ymisháttað innan
ymiska	mótgangur, mótgongd,hann hevur havt (liðiðel.tolað) manga ymisku;hann hevur so mangar ymiskurnar havt
ymiskur	1sum ikki er einsháttaður, skiftandi, ólíkur, ymissur,ymiskar útreiðslur;ymiskt innihald;hon hevur havt ymiskar dagarnar(ikki bara havt góðar dagar);nú kundi tað koma at verða so ymiskt við tí;(kvæð.)hvør sum siglir í Vesturhavi, ymiskum man hann møta2(gl.)ivasamur,tað er ógvuliga ymiskt(sera ivasamt);teir verða ymiskir at fáa(ivasamt um teir fáast);ymiskt var, hvør leikurin fór(hvussu);hava ymiskar tankarhava illgruna
ymisleiki	tað at vera ymiskurel.ymissur
ymisliga	á ymsan hátt, skiftandi,orðið er ymisliga stavað;ymisliga staddurymsastaðni, her og har,teir eru ymisliga staddir í skorini
ymisligur	ymist háttaður, ymiskur,ymisligt góðgæti;(skaldsk.)ymislig er eydnan(skiftandi)
ymislitaður	ymislittur,tú hoyrir nógv tungumál og sært ymislitað fólk
ymislittur	við ymsum liti, ymislitaður
ymissur	1ymiskur (1),á ymsan hátt;ymsar leiðir;av/úr ymsum ættum;streingir, ið hava ymiss ljóð2aðruhvørju ferð, til skiftis,hann vindur haftið um ymsar hendur(um báðar hendur til skiftis);hann kysti hana á ymsar kjálkar;tríggir brøður skiftust um, ymsir at fara til útróðrar og ymsir at vera heima;(kvæð.)Sigmundur gongur í ymsi borð;(kvæð.)hann ymsar litir fekk(rodnaði og bliknaði til skiftis);(kvæð.)hann snúðist til ymsa handa(til báðar síður til skiftis);ymsir undir og ymsir ábáðir undir og á til skiftis(í bardaga)
ymisvorðin	ymisháttaður
ymja	súsa, brúsa, dynja,(kvæð.)munnur og nasar umdu í blóði(blóðið fossaði)
ymsastaðna	(stb.)ymsastaðni,bátar komu ymsastaðna frá
ymsastaðni	á ymiskum støðum, her og har,børnini spæla ymsastaðni
ymsumegin	nú hesumegin nú hinumegin, báðumegin til skiftis,ymsumegin vegin
ynda	1kína,hon bispaði einum barni, yndaði tað og tosaði við tað2hava yndi til, vera góður við,hon yndar hann so;hann hevði ongantíð yndað dóttur sína nógv;yndastelskast, unnast
