á1	(málfr.)tví-el.einljóðsstavur (nevndur[ɔa])
á2	natúrlig lægd í lendinum við rennandi vatni, løkur,(skaldsk.)áir renna vakrar har;áirnar standa á svølgi(um stórt áarføri);áirnar ganga eftir bøkkum;um áir og gjáir(ferðast) langan veg;hann er komin bæði um áir og gjáir í morgun;tað rekur sum eftirel.í ánni(rekur hart);tað gekk sum eftir ánni(sera væl og lættliga);fara yvir um á;(flutt m.)fara yvir um á(nna) eftir vatnigera sær óneyðugt stríð;(orðt.)fyrr trýtur streymur í á, enn kvinnu tróta ráð;(Vágar)farael.ganga í áirfiska síl í vøtnum;(Vágar)standa í áumfiska síl;hann hevur verið í ánni;(sj.)fara fyri áirfiska síl har sum áir renna út;Við Áir(stn.)pláss millum Hvalvík og Hósvík,fyrr søgdu hósvíkingar inni at Áum
á3	1(um stað, lut, leið)legg bókina á borðið;bókin liggur á borðinum;hann fer umborð á skipið;hann er umborð á skipinum;skriva e-t á talvuna;tað stendur á talvuni;fara á fjall;vera á fjalli;á grønum vølli;hann sprakk á dyr;fara á ting;vera á tingi;báturin gekk á stýriborð;fara á fund;vera á fundi;á miðjuni;á vinstru hondtil vinstru2(í smb. við ávís bygdarnøvn, staðanøvn o.tíl.),móts.av,á Eiði;á Glyvrum;á Kirkju;á Skála;á Velbastað;á Sunnanágarði;á bygd3(um vág, fjørð, havno.tíl.)skipið kom á Vestmanna;skipið kom á Havnina;skipið lá á Havnini;sbr.av (3)4(um sjógvin út fyri ávísum stað á landi)tá var tann fyrsti báturin á Flesini;teir róðu norður á Nevið5(í smb. við vindætt)á landnyrðingi;á øllum ættum;á vestri (eystri, suðrio.tíl.)6(í smb. við streym)her er streymhart, helst á vestfallinum;far á vestfallið!7(í smb. við sjóvinnu)á dyrging (floti, saltfiskaveiðu, útróðrio.s.fr.)8um(viðv. tíð á samdøgrinum)tá ið liðið var á morgunin (dagin, kvøldið, náttinao.tíl.);á morgni (degi, degnum, kvøldi, nátt(ini)o.s.fr.)(um)9(viðv. tíð)nú á døgum;á jólum, páskumo.s.fr.;á fjørutá ið fjøra er;á flóð(ini)tá ið flóð er;á ólavsøku;á pætursmessu;á sumri10(viðv. aldri)á ungum árumel.á ungum aldri;á tólvta áriellivu ára gamal11(umskriving fyri hvsf)aldurin á roykstovuni;tromin á húsunum;tey hoyrdu málið á Harranum;hann rendi knívin í lærið á honum;hann róði til syðra endan á oynni12(um likamslutir)fóturin (beinini, armurin) á mær;halt munnin til á tær13(um eginleika, eyðkenni, viðv.el.við atliti at e-m)1(um fólk og dýr)fimur á fót(un)umfótfimur;fastur á hondinikargur;tungur á hondinitunghentur;kimilig og vøkur á kropp;dimmur á liti;hásur á málinum;lættur (tungur) á sær;vænur á útsjónd;tað sæst á øllum brøgdum2(um mát)á støddtil støddar3(um tungumál)á føroyskum;á fronskum14(viðv. sinni, kenslum, kærleika o.tíl.)hava hug á e-m;leggja ást á e-n;hon hevði einki álit á honum;vita á sær;tá kom illgruni á teir;ikki var friður á honum;ótti var á teimum;vera á gosi;nú var geylan á honum15fyri hvønn,eitt árið skar hann 36 á mørkina;teir komu ikki longri enn upp í 40 á bát;tríggir kassar á 15 kr.16í osb.á kroppiat kroppi(rennvátur, ígjøgnum);á lívi(livandi);á leistum;á odda(fremst);á tremur;maður á manniel.kropp á kropphvør í hølunum á øðrum;nevna á navni;bíta á kampi;bróta á háls;ganga á illum;gevast á hendur;hava á orðiel.munni(siga);hava barn á brósti;leggja á blik;standa á berum;sita eftir á berum;(vera) á fótumframmi, frá seingini(sísagnorðel. navnorð)17(saman við hjáorði)aftan á:Jógvan var bóndi aftan á Pætur;hann tók húsini aftan á pápan;aftur á:mala aftur á blóðið,síblóð;rógva aftur á mið(tá ið bátur er rikin av);fram á:koma fram áraka við,nú hann gongur, kemur hann fram á tveir tjóvar;inn á:trý turkaskip komu inn á Hvalbiarfjørð;teir eru komnir inn á Barmin;hetta er ikki tíð at koma inn á fólk;teir slitu inn á Selberg;vera óður inn á e-n;gera seg inn á e-n;ganga inn á e-n;inni á:einaferð vóru nógv hetlandsskip inni á Miðvági;liggja inni á øðrumvera øðrum til byrðu;niðan á:ganga niðan á heyggin;oman á:oman á bakkan;rómi legst oman á mjólk;hvat skulu vit hava oman á døgurða?;upp á1fyri hvønn,tvey epli upp á mannin2upp á seg[ʊˈpɔase:]:hava nógv/lítið upp á seg(stóran/lítlan týdning);upp á seg[ʊp:ɔaˈse:]lutfalsliga,leggjalangur verður sagt um ein, sum hevði styttri yvirpart upp á seg3í osb.bera upp á e-tfalla saman við,høgtíðisdagurin bar upp á sunnudag;bera upp á rím,sírím 2;bjóða e-m upp á máltala á e-n;ikki vilja taka e-t upp á tunguna;leggja upp á vev;lærael.rætta upp á e-nharta e-n;vera upp á sítt bestael.tað besta(í bestu árum);tá ið kópurin var upp á tað mestatá ið mest var til av kópi;lættur upp á sporiðlættur á fóti, fótlættur;uppi á:hava e-t uppi á særbera (í lummumo.ø.);vera uppi á gosi(østur);út á:gera út á(javna);byggmjøl varð havt út á súpan(havt til javning);úti á:ein dagin, sum teir vóru úti á havi;úti á sundinum;yvir á:hann kveitir yvir á Gunnhildhj:tað er áfiskur er á húkinum;tað er nógv (lítið) á(nógv/lítið gras)18í osb.ilt liggur ásama ger;ikki eiti á!hygga síggj!;leggja lívið ávága lívið;mær varð á at bróta tráðuna(var so óheppin);av og ástundum19(fs/hj saman við sagnorði)t.d.aftra sær á;berast á;bíta á;brenna á;bresta á;bretta sær á;díkja á;draga á;dríva á;falla á;gerast á;geva á;halda á;kenna (e-m) á;koma á;kasta sær á;koyra á;leggja á;leypa á;leika á;linna á;renna á;skjóta á;snara sær á;skyna á;spøkja á;standa(st) á;steðga á;taka á;venda sær á(sísagnorð);sms. t.d.aftan-,aftur-,eftir-,eystur-,framman-,har-,inn-,niðan-,niður-,norður-,oman-,tvørtur-,upp(i)-,uttan-,út(i)-
á4	1mðlv(til at vísa m.a. iva, ovfarni, spurningo.tíl.)á, heldur tú tað?;á, var tað ikki hon?;á, var tað bara tað?2ljóðh(um ljóð hjá lunda)lundin sigur á, á, á
á5	síeiga 2
áa	1(um lunda)láta, siga "á",lundin áaði2herma eftir lunda, láta sum lundi,drongurin áaði eftir lundapisuni
áararvi	(plfr.)slag av arva 1(Stellaria uliginosa)
áarbakki	bakki 1(3) á á 2
áarbotnur	botnur í á
áardalur	dalur sum á rennur ígjøgnum
áardun	dun ið hoyrist frá á
áarduni	áardun,áardunin hoyrist langan veg
áardúnurt	(plfr.)slag av dúnurt(Epilobium alsinifolium)
áareyrur	eyrur íel.úr á
áarfar	farvegur eftir upptornaðari á, áarrás
áarfiskur	(fisk.)fiskur ið livir í áum, vatnfiskur
áarfossur	fossur í á,skeggið hekk sum áarfossur niður á bringuna;tað var sum eftir áarfossi(um hart rák)
áarføri	1stórur áarvøkstur í nógvum regni, vatnføri2sera nógv regn, grimdarregn, áarstoytingur, grovregn, bermiligregn,áarføri í regni
áarførisdagur	dagur við áarføri
áargangur	(stb.)áarføri,tað er ein øgiligur áargangur í dag;tað var sum ein áargangur(um hart rák á sjónum)
áargil	gil sum á rennur í
áargrót	grót íel.úr á,grótið er runt eins og áargrót
