æ	(málfr.)tví-el.einljóðsstavur (nevndurseinna[ɛa])
æða	(fugl.)fuglaslag av antarætt(ið leitar sær føði í sjónum)(Somateria mollissima),vappa sum æða í eggrásel.sum æða vappar í eggrás(um e-n ið hevur nógv um at vera, ið titar títt);(gáta)æða fer eftir fjøllum við átta ungum(ættirnar)
æðr	1(lívfr.)pípael.rør (úr vøddum og bindivevnaði) ið leiðir blóð og gróðrarvatn um djóra- og mannakropp, æður,sláa upp æðr,sísláa;(lækn.)taka e-m blóð úr æðr(gl. læknaráð)2(plfr.)pípa ið leiðir vatn og føðslu til einstakar plantulutir;sms. t.d.blað-,blá-,blóð-,gyllini-,háls-,hár-,lív-,meginlív-,mið-,slag-
æðrablóð	blóð tikið úr æðr(Sv)
æðrabregd	(lækn.)band rubbað um lim at blóð skal ikki renna um æðrarnar
æðrabruni	(lækn.)bruni í bláæðr(phlebitis)
-æðraður	síbein-,bogin-,fjaður-,hand-,stjørnu-
æðrafløska	(brennivíns)fløska við skapi sum tímaglas(við 5 mjáum glaspípum millum ovara og niðara part)
æðragrovur	við sjónskum útrendum æðrum,æðragrovar hendur
æðrahinna	(lívfr.)hinna undir eygnahvítanum(har sum blóðæðrarnar í eyganum eru)(chorioidea)
æðrajarn	jarn at taka blóð úr æðr við, blóðtøkujarn, snella 1
æðrakálkaður	(lækn.,lívfr.)við æðrakálking, kálkaður (1)
æðrakálking	(lækn.,lívfr.)tað at lívæðrar leggast innan við kálki(so at tær gerast stívar og harðar),kálking (2)(arteriosclerosis)
æðraknútur	(lækn.)sjúklig víðkan av bláæðrserst.í leggi og læri(varix)
æðralag	(lívfr.)lagel.skipan av æðrum til blóðrensl í likami
æðralop	(lækn.)víðkað bláæðr í eistnastreingi(varicocele)
æðrasláttur	(lækn.,lívfr.)pulsur, lívæðrasláttur,æðraslátturin fjaraði burtur
æðrasoppur	(plfr.)slekt av soppi (2)(Arrhenia),flipputur æðrasoppur(A. lobata)
æðubliki	(Suð.,Sa.)æðublikur
æðublikur	(fugl.)æða av kallkyni, blikur, sótdirðil,(tilt.)hann er sum æðublikur(um mann ið ikki tekur sær av børnunum men letur konuna um tað);sbr.pumpuringur (1)
æðudún	dún av æðu,dýnur við fínasta æðudúni
æðudúnsdýna	dýna fylt við æðudúni
æðuflokkur	flokkur (1) av æðum
æðuhvalur	(dj.)bóghvítuhvalur
æðukongur	(fugl.)fuglur av æðuslag(steggin við gulum knópi á nevinum)(Somateria spectabilis)
æður	(Suð.)æðr
æðureiður	1reiður hjá æðu2(skemt.)føroysk húgva løgd niður so at miðjan er lægst
æðusetur	sjóvarklettur har ið æða vanl. situr
æðutur	(seyðal.,Suð.)hvítur upp undir øsið
æðuungi	(fugl.)ungi hjá æðu
æðuvarp	staður har ið nógv æða eigur,á summum hólmum eru so stór æðuvørp, at tað er ein heil innløga í dúninum
Æðuvík	(stn.)bygd í Eysturoynni,í/úr Æðuvík,til Æðuvíkar
æðuvíkingur	fólk íel.úr Æðuvík
ægir	(gl.)sjógvur, hav;(í tátti)á ægin bláá sjógvin;(bíbl.)hann ... sankaði ægin í goymslubúr;Ægirnorrønur havgudur,teir, ið sigldu yvir Ægis vað
ægr	(óregl.)->æðr
æl	avfall sum stendur stutt, skúrur,frekt æl;grumt æl;ringt æl;hann setur eitt ælel.grundar fyri einum ælihann dregur á luftina (fyri æli);hann setti eitt æl fyri norðan;hava mangt ælið køvt(havt manga ringa útiferð);betri er kalt æl á vári enn einki(kavaæl);fara ælanna millum(so stutt at fara til gongu);sms. t.d.brodda-,degnings-,flóðar-,grimdar-,heglings-,kava(roks)-,lýsingar-,menningar-,mjørka-,rennikava-,skarnings-,skýmingar-,toru-
æla	1regna (sj.hegla, kava) við íslitum ímillum,hannel.tað ælartað er ælaveður;mangan ælar hann grovliga;tað ælar úr honum2(skemt.)gráta (um einki)(serst. um børn)
ælabogalitur	ein av sjey høvuðslitunum í ælaboga,við øllum ælabogalitumvið alskyns litum
ælabogasíl	(fisk.)slag av litføgrum síli(Salmo gairdneri)
ælabogi	sjeylittur bogi á luftini av tí at sólin skínur á æl(sj. av mánalýsi),sæst ælabogi av mánalýsi, kemur illveður høgt
ælaleyst	við ongum ælum, íslit,nú er ælaleyst eina løtu;er tað ælaleyst í kvøld?
ælaligur	ið boðar frá æli,hann sær so ælaligur út
ælaluft	luft við ælingi
ælaslettingur	lítið æl
ælaslit	íslit millum æl,tað er ælaslit nú
ælaslot	(sj.)ælaslit
ælaveður	veður við ælingi,ringt ælaveður
ældrag	lítið tunt æl, ældráttur
ældráttur	(Suð.)ældrag
ældróg	ældrag(Sv)
æling	(sj.,stb.)ælingur,grov æling stóð í honum
ælingur	1æl,grovur ælingur;ælingur sæst í havsbrúnni;í dag verður eingin terri, ælingarnir ganga longu;so makaði hann aftur millum ælingarnar;hann etur ælingin aftur í seg(um æl ið dettur burtur, t.d. í hoyna)2ælaveður;sms. t.d.brodd-,heglings-,kava-,regn-,renni(kava)-,vendingar-
ælmeiting	ælmeitingur,tað var um ein árla morgun, ælmeiting stóð(í tátti)
ælmeitingur	lítið æl, ælmusk
ælmusk	lítið æl, driv, ældrag,hetta er bara eitt ælmusk
ælmuska	(stb.)seta eitt ælmusk, sirma,hann fer at ælmuska
ælnám	(Sa.)lítið æl
