í1	(málfr.)tvíljóðsstavur (nevndur[ʊi]el.fyrra[ʊi])
í2	1(um stað, lut, leið)fara í býin;vera í býnum;teir fóru í bátin;teir eru í bátinum;hon fór inn í stovuna;tey sótu í stovuni;hann skrivaði í bókina;tað stendur í bókini2(um likamslutir innvortis)hjartað (lunguni, nýruni, magin) í mær;hjartað tekur at uggast í teimum;eyguni í mær;fáa ilt í høvdið (magan, fótin);eg havi ilt í høvdinum (maganum, fótinum)3(um klæði o.tíl.)lata seg í klæði;vera í klæðum;fara í skógvar;vera í skóm4(í smb. við ávís bygdarnøvn, oyggjarnøvn, landsnøvn o.tíl.)í Kollafirði;í Havn;í Suðuroy;í Svínoy;í Føroyum;í Danmørk;í Svøríki;í Filipsoyggjum5(um tíð)í dag;í fjør;í fyrraárið;í fyrradagin;í fyrstuni,í gjár;í heyst;í kvøld;í morgin;í morgun;í nátt;í stundini;í summar;í vetur;í vikuni;í allan dag;í alt kvøld;í gomlum døgum;í hvørjum mánaði;í hvørjari viku;í teirri tíðini;í somu stund;í sama bili (viðfangi, bragdi);í tíí somu løtu;í heilum(alsamt, íðuliga);í hvørjum(støðugt);í tvær vikur;í seks ár;í eitt ár6(um gerðir, fyribrigdi o.tíl.)fara í grind;hann var í grind;koma í neyð;vera staddur í neyð;fara í sor (knús, smildur, spønir);í sori (knúsi, smildri, spónum);falla í óvit;liggja í óviti;húsini stóðu í gerð;standa í boði;standa í vøkstri;koma í skuld;vinna í talvi;vera í døpurhuga;vera í ørviti;standa í tungum stríði;vera í gildi7(um umstøður)viðhvmf:í dagslýsi:í kava;í loyndum;í mjørka;í myrkri;í óveðri;í vanda8(um hvørjum líki e-t er í)ogn í jørð;átta merkur í jørð;løn í peningi;nógv í viðføri;ódn í brimi;stormur í vindi9(um slag sum e-t er til av)hann er fullur í lúsum;bløða í fitivera spikafeitur;gólvið flýtur í óruddi;hann køvdi av í mjørka;har yður í fólki;hann luktaði so illa í fiskaroðslu10(um kenslur o.tíl.)teir bardust í góðum;hann segði tað í illsinni;vera í øðini11(um atvold)bláur í raki;doyggja í tosta (kuldao.ø.);skrædna í látri;stirðna í hel12við atliti at, viðvíkjandi,stórt í vavi;hon líktist honum í brún og brá;ringur í munninum;sterkur í hondunum;fimur í øllum leikum;bonskur í orðalag;kønur í gandi13í so, heldur(stórur, lítilo.s.fr.),báturin er í breiður;tøkini hava kanska verið í stór(heldur enn ikki ógvislig)14(saman við hj)burtur í:vera burtur í haga;inn í:inn í húsið;inni í:inni í húsinum;upp í:upp í seingina;uppi í:uppi í seingini;fram í:fram í ljósið;frammi í:frammi í ljósinum;niðan í:teir fóru niðan í gerðið at sláa;niðri í:niðri í fjøruni;niðri í berginum;niður í:niður í bergið;oman í:oman í fjøruna;upp í:skeinkja e-m upp í glasið;hann klintraði upp í hamarin;út í:vit fóru út í Hest;koma út í orð;yvir í:e-m tykir yvir í,sítykja15í osb.einki hava í at hoyra,síhoyra;(ikki) leggja lag í (e-t),sílag;vera kringur í e-m;vera ivaleysur í e-m;ivast í e-mhj:hann setti hakan í(í jørðina);festa sær í(t.d. sigarett, pípu);eldur er í;vera (nakað) nógv í1(um ílat, kopp o.tíl.)heldur fullur2(um haga)(yvirskipaður);so mikið, sum í gekk(t.d. í lastina);illa stóð í(t.e. í fiskinum),væl tekur í hjá honum(t.e. húkin);í soheldur nógv, í meira lagi;hatta er í so nógv avgjørt;tað er ikki undarligt íikki løgið;aftur í aftur:rópið ljóðaði aftur í aftur í berginum;gaman íalt í lagi, lag á manni,tað er gaman í16(fs/hj saman við sagnorði)t.d.anda í;festa í;helma í;klára í;koma í;leika í;leggja í;ríkja í;seta í;skjóta í;slíta í;spinna í;taka í;vita í(sísagnorð);sms. t.d.aftan-,aftur-,eftir-,fram-,framman-,har-,innan-,inn-,niður-,uppi-,upp-,úti-,út-,tar-
ía	(barn.)lata í (klæði),ía seg;sbr.úra
ían	(óregl.)->íðan
íbeiskur	eitt sindur beiskur
íbindi	(stb.)1(um fleygastong)bandið sum armarnir verða bundnir við um stangartræið2tol, bindindi,hon hevur so gott íbindi
íbinding	1tað at binda í(vatnleiðing, ravmagno.tíl.í hús)2samankoming,Flatarvegurin verður stongdur við íbindingina til Vegin Langa3(bjarg.)tey bond sum sigmaður verður bundin við í línuna(snar, herðaband og lærband)
íbindingarband	band til at binda sigmann í línu við,íbindingarbondini vóru altíð spunnin úr ull, nakað til tjúktar sum neytahøft
íbindingargjald	gjald fyri íbinding (1)
íbinviður	harður, tungur og (oftast) svartur viður(úr hitalondum),svartviður(Ebenus)
íbirta	birta í
íbirtari	ein ið birtir í, upphavsmaður, stovnari
íbirting	tað at kyndast, ífesting,omman kallaði tað vátaroyk, sum reyk úr brondunum, áðrenn íbirtingin kom
íbland1	e-t blandað uppí,har er málið enn óspilt av fremmandum íblandi;men eisini tær løturnar vóru fyltar við beiskum íblandi
íbland2	(stb.)ímillum, uppií,nógvir vóru staddir í túninum, har íbland brøður hansara
íblástur1	andligt árin sum fremur skapandi evni, innblástur 1, andkoma, andkveiking, innskot,eg fekk íblástur frá henni, tá ið eg yrkti hetta kvæðið[da.inspiration]
íblástur2	sum andin er komin yvir, andborin, innblástur 2, eldhugaður,hann helt eina íblásta røðu
íbláur	sum ber á blátt, bláligur
íbogin	eitt sindur bogin
íborin	viðføddur,íborið dreymalyndi;við tí kviklyndi í hugsan og gerðum, sum er oyggjabúgvum íborið
íbregðiligur	sum bregður til, arviligur,tað er so íbregðiligt(t.d.um sjúku)
íbundin	síbinda í
íbúð	bústaður við í minsta lagi einum rúmi og køki,ein íbúð var á hvørjari hædd;sms.kjallara-,lofts-
íbúðahús	stórt hús við íbúðum
íbúðarhús	sethús
íbúgvanavn	(málfr.)navn á íbúgvum(t.d. í bygdel.landi)[da.inkolentnavn]
íbúgvi	ein sum býr á ávísum øki(t.d. bygd, oyggjel.landi),borgari
íbygdur	1(fólktr.)sum forniskir(t.d.huldufólk og dvørgar)búgva í,steinurin er íbygdur;har er íbygt uttanum;náttúran og tilveranin vóru øll íbygd av óndum og góðum kreftum2(um reiður)sum fuglur eigur í,sama reiðrið hevur verið íbygt í meir enn hundrað ár(hjá storki)3(skemt.)har man vera íbygthon man vera við barn
ídna	búgva til ídnaðar[da.industrialisere]
ídnaðarfelag	felag sum virkar fyri at fremja ídnað
