ó-	(forfesti ið lýsir mótsetning, noktano.tíl.til seinna orðlið)
ó1	(málfr.)tvíljóðs-el.einljóðsstavur (nevndur[ɔu]el.[əu]el.stb.[au])
ó2	(stb.)tó (at), hóast,ó tað hevur tolulig hold;sbr.óast
óalmennur	ikki almennur
óampaður	ótarnaður, óttaleysur,ein og hvør fiskimaður kann óampaður fara við suðuroyarskipum
óansaður	ið eingin ansar eftirel.varnast, ósæddur,tað ringasta er at sleppa hiðani óansaður
óansin	óvarin, óskettin,óansið spæl við eld
óansni	tað at vera óansin, ósketni, óhyggja
óarbeiðsføri	tað at vera óarbeiðsførur
óarbeiðsførur	ikki førur fyri at arbeiða,grunnurin fyri óarbeiðsførar fiskimenn
óarbeiðsligt	ólagaligt at arbeiða,tað er so óarbeiðsligt í hesum veðrinum
óargadjór	óargadýr(Sv)
óargadýr	1búrbeist, búrhundur, skarnsvætti2(stb.)illsinnavætti
óargagerð	skálkabragd, skálkagerð, óflýggjaskapur,hann øsir hana upp til synd og óndskap við sínum óargagerðum
óargakroppur	skarnsvætti, bartrog,óargakroppur var hann
óargaligur	óflýggjaligur, ódællur,óargaligur drongur
óargaskapur	tað at vera óargaligur
óargaungi	forherðingur, ótangi,tey vóru bara óargaungar
óast	(Suð.)hóast
óatfinnandi	ikki at finnast at, ólastandi,ein umsjónarmaður eigur at vera óatfinnandi
óatkomandi	sum ikki kemst at,Gud býr í einum óatkomandi ljósi
óatkomiligur	1óatkomandi,óatkomiligt stað2stútutur, svinnur (1)
óavgjørdur	sum endar við sama úrsliti fyri báðar partar, sum stendur á jøvnum, ikki avgjørdur,óavgjørt spæl(t.d. kortspæl, talv);sbr.javnleikur
óavhøvdaður	(fisk.)ikki avhøvdaður, við høvdi
óavmarkaður	uttan mark, markleysur, óskerdur,óavmarkað álit
óavvitandi	uttan at vita av (e-m), ikki avvitandi, óvitandi, ótilvitaður,mær óavvitandi
óálítandi	ikki at líta á, ódyggur, svikaligur, lítarleysur
óár	út av lagi ringt ár 2(1) til grøðiel.skurð, ógvár,menninir sóu óárið beint fyri eygunum: ræ og ravnaleik um allar hagar og tálgartóman skurð til heystar
óárligur	(um veður)sum ikki hóskar til árstíðina(t.d. lýtt veður um veturin og kalt um summarið),veðrið er so óárligt
óártímiligur	óárligur,óártímiligt veður
óásettur	ikki ásettur, heilur,óásettur hálsur;fløskan er óásett
óát	e-t sum ikki er etandi,tað er so nógv óát í gomlum neytakjøti(sinaro.tíl.)
óáta	(stb.)óát
óátalaður	snikkaleysur
óátuligur	sum smakkar illa, smakkringur, ógagnsamligur
óávinniligur	sum ikki vinst á, óvinnandi, ósigrandi
óávirkandi	(málfr.)sum ikki tekur ávirki,óávirkandi sagnorð(verbum intransitivum);sbr.ávirkandi
óbarkaður	ikki barkaður (1)
óbati	ógagn, skaði,tað var mær til óbata
óbeinamaður	óbeinasamur maður, malsjø(n)skur maður
óbeinasamur	óvilligur, meinskur, malsjø(n)skur,óbeinasamir og tvørir vóru teir
