ø	(málfr.)sjálvljóðsstavur (nevndur[ø:])
ødla	(dj.)edla
øða1	(dj.)slag av skeldýri sum livir í sjónum(havd til matar og agns)(Modiola),fjørumatur og øða o.a.tíl. er altíð holdmeiri í fyllandi sól;øðan varð fyrst holað, og var tað ein miðaløða til støddar, vórðu fýra øgn skorin úr henni;sbr.hvítrygna,reyðrygna
øða2	(sj.)1gera óðan,øða e-n;øðastgerast óður, verða frá sær sjálvum2øtla,hann øðar veðrið;sbr.øga
øði	1uppøstur sinnisstandur(t.d. av at kenna seg órættaðan),vreiði, sinni, sinnismunur, ilska, bræði (2), yvri,øði er í honum;nú er øði í monnum;dansa av øðivera dansandi óður;gera e-t í øði(í sinnismuni);loypael.fáa øði í e-ngera e-n óðan, øsa e-n,stuttligt hevði verið at fingið øði í læraran;tá spannel.kom øði í hanntá gjørdist hann brádliga óður;í øðinifrá sær sjálvum, í luftini, óður;koma í øðinagerast óður;knappliga gekk øðin úr honum(sissaðist hann)2skundur, bræði (1),hon leyp heim aftur í slíkari øði, at hon mundi sorað seg sundur;hann heldur so á av øði og fær brotið seg ígjøgnum skalvin;(skaldsk.)hjarta mítt titar í øði;í somu øðiniuttan at hugsa seg um, í bráðskundi;sms. t.d.hunda-,brenni-,neyta-
øðibardagi	øgiligur samanbrestur, orrusta
øðiligur1	øðisligur
øðiligur2	(óregl.)->øgiligur
øðimikil	óður, øgiligur, ógvuligur,øðimikið fjalladun;øðimiklir logar
øðisligur	merktur av øði (1), ógvuligur, óstýriligur
øðismikil	øðimikil
øðrum	síannar
øðrumegin	1hjá aðrari síðuniel.liðini,doyggja niður øðrumegingerast lamin í helmingi av kroppinum (av slag, heilabløðing);vera burtur øðrumeginvera burtur eina løtu (eini ørindi);sita og grína burtur øðrumegin(flenna fyri seg sjálvan, flenna spotskliga);øðrumegin við1fram við aðrari síðuni,bólturin fór øðrumegin við(málstongini);(flutt m.)syngja øðrumegin við(ikki reint, falskt)2hálvtápuligur, býttligur,hann er øðrumegin við2fsá aðrari síðuni á,øðrumegin vegin
øðruminni	(tlm.)øðrumegin
øðrvísi	á ein annan hátt, annarleiðis,sonurin var heilt øðrvísi, spakførur, hevði lyndi av mammuni(ikki sum faðirin);øll halda kongin vera øðrvísi vorðnan nú enn fyrr(broyttan);ikki øðrvísi ennnóg illa,tað var ikki øðrvísi enn, at teir kendu lívsbragd í honum;eg eri ikki øðrvísi enn haggongdur(nóg illa førur fyri at fara burtur í haga)
øðrvísini	(tlm.)øðrvísi,kundi tað verið øðrvísini?;leiðini eru ikki øðrvísini at síggja enn aðrar langar túgvur
