ý	(málfr.)tvíljóðsstavur (nevndurseinnael.sj.langa[ʊi])
ýðja	yðja,her ýður í skordýrum
ýl	1brøl frá kríatúri(serst. tarvi),ýlini hoyrast frá teimum(t.e. vatnhestum)2snjalt róp, geyl, brøl,hann gjørdi eitt ýl3hart og langdrigið ljóð,ýlið frá hvirluni minkaði
ýla	1(um kríatúr)geva ýl frá sær,ein hundur stóð uttanfyri og ýldi fyri líki;(kvæð.)drekar tóku at ýla hart2túta við skipsfloytu,tá hoyrdi eg eimskipið ýla3geva snjalt ljóð frá sær,tað ýlir av stormi;tað ýlir í streinginum(dunar, dynur);bilurin fór við ýlandi ferð;ýlandi vetrarstormur4(sjóm.)aftur at ýlaaftur til arbeiðis(serst. um leiðiligt arbeiði)
ýlan	tað at ýla,tað hoyrist ýlan frá streinginum
ýling	ýl, brøl,tá ið Røstin var uppi - ýlingarnar frá henni
ýlingur	ljóð frá viljunum (el.tarmunum)(Sv)
ýsopsleggur	(bíbl.)leggur av ýsopi,teir settu ein svamp fullan av ediki á ein ýsopslegg og bóru honum at munni
ýsopur	(plfr.)slag av runni(Hyssopus officinalis)
ýta1	útsíða, yvirflati
ýta2	(á sjónum)hava (sær) merki á landi at miða seg eftir(til at finna mið, plink, strát o.tíl.),ýta (eitt mið) avfinnael.seta ýtini,hann ýtaði av nakað upp í rákið;teir ýtaðu plinkin av, sum hann sat á
ýtar	(kvæð.)menn,vil eg fyri ýtum greina
ýti	staður á landi ið verður havdur at miða seg eftir(til at finna mið, plink o.tíl.),hann tók tað til ýti;aðrir bátar royndu at fáa ýtini av teimum(ýta teir av);so fell hann á við roki og tók øll ýti burtur;sigla inn eftir ýtum;(tilt.)krákan hevur skýggini til ýti(um ein ið krógvar og finnur ikki aftur),sbr.kráka;sms. t.d.bak-,bakka-,fram-,undirstøðu-
-ýting	síav-
ýva	sbr.ývna
ývin	1ið rúgvar nógv upp, ið skroyvir nógv upp, rísin (1),hava ývið hárel.skegg;mítt hár var so ývið sum ein fjøs(stóð í andarisi);hann toygdi sítt ývna høvur út í koyggjukarmin;himmalin var ímgráur av ývnum regnskýggjum;dýnan hekk har so ývin og líktist einari hálvtømdari seyðavomb2uppblásturel.upptúsnaður (t.d.av illsinni), rísin (3),ývin tarvur;hann var ývin og ilskur;hann gjørdi seg ývnan og rópti: "Still børn!"
ývna	1(um hár, ull)gerast ývin,hárið ývnaði á høvdinum;tað tunna hárið ývnaðist sum í vindi2bólgna, túsna, trútna,knubbarnir ývna dag undan degi, inntil teir ein góðan sólarmorgun bresta av innibyrgdari megi;hon ývnaði av errinskapi3versna,bágin ývnaði í hvørjum;veturin ývnaði í hvørjum;veðrið ývnaðist í hvørjum
