Absalon	(Absalon, Absaloni, Absalons)
Adolf	(Adolf, Adolfi, Adolfs)
Adrian	(Adrian, Adriani, Adrians)
Adriel	(Adriel, Adrieli, Adriels)
Aðalbjørg	(Aðalbjørg, Aðalbjørg, Aðalbjargar)
Aðalborg	(Aðalborg, Aðalborg, Aðalborgar)
Aðalgeir	(Aðalgeir, Aðalgeiri, Aðalgeirs)
Aðalgunn	(Aðalgunn, Aðalgunn, Aðalgunnar)
Aðalheiður	(Aðalheiður/Aðalheiði, Aðalheiður/Aðalheiði, Aðalheiðar)
Aðallín	(Aðallín, Aðallín, Aðallínar)
Aðalstein	(Aðalstein, Aðalsteini, Aðalsteins)
Agda	(Agdu, Agdu, Agdu)
Aggusteinus	(Aggusteinus, Aggusteinusi, Aggusteinusar*)
Agnar	(Agnar, Agnari, Agnars)
Agnas	(Agnas, Agnas, Agnasar)
Aksal	(Aksal, Aksali, Aksals)
Aksel	(Aksel, Akseli, Aksels)
Albert	(Albert, Alberti, Alberts)
Alberta	(Albertu, Albertu, Albertu)
Albin	(Albin, Albini, Albins)
Albjørg	(Albjørg, Albjørg, Albjargar)
Alborg	(Alborg, Alborg, Alborgar)
Alda	(Aldu, Aldu, Aldu)
Aldis	(Aldis, Aldis, Aldisar)
Aleks	(Aleks, Aleksi, Aleks)
Aleksandra	(Aleksandru, Aleksandru, Aleksandru)
Aleksandur	(Aleksandur, Aleksanduri, Aleksandurs)
Alfred	(Alfred, Alfredi, Alfreds)
Alfríð	(Alfríð, Alfríð, Alfríðar)
Alisa	(Alisu, Alisu, Alisu)
Allan	(Allan, Allani, Allans)
Alma	(Almu, Almu, Almu)
Alrún	(Alrún, Alrún, Alrúnar)
Alvi	(Alva, Alva, Alva)
Amadeus	(Amadeus, Amadeusi, Amadeusar*)
Amalia	(Amaliu, Amaliu, Amaliu)
Amalja	(Amalju, Amalju, Amalju)
Amanda	(Amandu, Amandu, Amandu)
Amos	(Amos, Amosi, Amosar*)
Andras	(Andras, Andrasi, Andrasar*)
Andrea	(Andreu, Andreu, Andreu)
Andri	(Andra, Andra, Andra)
Andrias	(Andrias, Andriasi, Andriasar*)
Angela	(Angelu, Angelu, Angelu)
Angelika	(Angeliku, Angeliku, Angeliku)
Anita	(Anitu, Anitu, Anitu)
Anja	(Anju, Anju, Anju)
Anna	(Onnu/Annu, Onnu/Annu, Onnu/Annu)
Annika	(Anniku, Anniku, Anniku)
Anný	(Anný, Anný, Annýar)
Ansgar	(Ansgar, Ansgari, Ansgars)
Antines	(Antines, Antinesi, Antinesar*)
Antinis	(Antinis, Antinisi, Antinisar*)
Anton	(Anton, Antoni, Antons)
Antonia	(Antoniu, Antoniu, Antoniu)
Apollonia	(Apolloniu, Apolloniu, Apolloniu)
Aranja	(Aranju, Aranju, Aranju)
Ari	(Ara, Ara, Ara)
Arina	(Arinu, Arinu, Arinu)
Arinbjørn	(Arinbjørn, Arinbjørn/Arinbirni, Arinbjarnar/Arinbjørns)
Armgarð	(Armgarð, Armgarð, Armgarðar)
Arna	(Arnu, Arnu, Arnu)
Arnaldur	(Arnald, Arnaldi, Arnalds)
Arnar	(Arnar, Arnari, Arnars)
Arnbjørg	(Arnbjørg, Arnbjørg, Arnbjargar)
Arnbjørn	(Arnbjørn, Arnbjørn/Arnbirni, Arnbjarnar/Arnbjørns)
Arnborg	(Arnborg, Arnborg, Arnborgar)
Arndis	(Arndis, Arndis, Arndisar)
Arndór	(Arndór, Arndóri, Arndórs)
Arnfinnur	(Arnfinn, Arnfinni, Arnfins)
Arnfríð	(Arnfríð, Arnfríð, Arnfríðar)
Arnfríður	(Arnfríð, Arnfríði, Arnfríðs)
Arngerð	(Arngerð, Arngerð, Arngerðar)
Arngrímur	(Arngrím, Arngrími, Arngríms)
Arngunn	(Arngunn, Arngunn, Arngunnar)
Arnheiður	(Arnheiður/Arnheiði, Arnheiður/Arnheiði, Arnheiðar)
Arnhild	(Arnhild, Arnhild, Arnhildar)
Arni	(Arna, Arna, Arna)
Arnina	(Arninu, Arninu, Arninu)
Arnleyg	(Arnleyg, Arnleyg, Arnleygar)
Arnleygur	(Arnleyg, Arnleygi, Arnleygs)
Arnljót	(Arnljót, Arnljót, Arnljótar)
Arnljótur	(Arnljót, Arnljóti, Arnljóts)
Arnoddur	(Arnodd, Arnoddi, Arnods)
Arnold	(Arnold, Arnoldi, Arnolds)
Arnór	(Arnór, Arnóri, Arnórs)
Arnóra	(Arnóru, Arnóru, Arnóru)
Arnstein	(Arnstein, Arnsteini, Arnsteins)
Arnsvein	(Arnsvein, Arnsveini, Arnsveins)
Arnvør	(Arnvør, Arnvør, Arnvarar)
Aron	(Aron, Aroni, Arons)
Artan	(Artan, Artani, Artans)
Artur	(Artur, Arturi, Arturs)
Askur	(Ask, Aski, Asks)
Asta	(Astu, Astu, Astu)
Astrið	(Astrið, Astrið, Astriðar)
Ata	(Atu, Atu, Atu)
Atli	(Atla, Atla, Atla)
August	(August, Augusti, Augusts)
Augusta	(Augustu, Augustu, Augustu)
Augustinus	(Augustinus, Augustinusi, Augustinusar*)
Aura	(Auru, Auru, Auru)
Aurora	(Auroru, Auroru, Auroru)
