Baldur	(Baldur, Balduri, Baldurs)
Baldvin	(Baldvin, Baldvini, Baldvins)
Baltasar	(Baltasar, Baltasari, Baltasars)
Baraldur	(Barald, Baraldi, Baralds)
Barba	(Barbu, Barbu, Barbu)
Barbara	(Barbaru, Barbaru, Barbaru)
Bartal	(Bartal, Bartali, Bartals)
Bastian	(Bastian, Bastiani, Bastians)
Bára	(Báru, Báru, Báru)
Báraldur	(Bárald, Báraldi, Báralds)
Bárður	(Bárð, Bárði, Bárðar)
Beata	(Beatu, Beatu, Beatu)
Bedda	(Beddu, Beddu, Beddu)
Beinar	(Beinar, Beinari, Beinars)
Beini	(Beina, Beina, Beina)
Beinir	(Beinir, Beini, Beinis)
Beinta	(Beintu, Beintu, Beintu)
Belinda	(Belindu, Belindu, Belindu)
Benadikt	(Benadikt, Benadikti, Benadikts)
Benadikta	(Benadiktu, Benadiktu, Benadiktu)
Benita	(Benitu, Benitu, Benitu)
Benjamin	(Benjamin, Benjamini, Benjamins)
Bera	(Beru, Beru, Beru)
Bergar	(Bergar, Bergari, Bergars)
Bergdis	(Bergdis, Bergdis, Bergdisar)
Bergfinnur	(Bergfinn, Bergfinni, Bergfins)
Bergfríð	(Bergfríð, Bergfríð, Bergfríðar)
Bergfríður	(Bergfríð, Bergfríði, Bergfríðs)
Berghild	(Berghild, Berghild, Berghildar)
Bergitta	(Bergittu, Bergittu, Bergittu)
Bergleivur	(Bergleiv, Bergleivi, Bergleivs)
Bergljót	(Bergljót, Bergljót, Bergljótar)
Bergný	(Bergný, Bergný, Bergnýar)
Bergsvein	(Bergsvein, Bergsveini, Bergsveins)
Bergtór	(Bergtór, Bergtóri, Bergtórs)
Bergtóra	(Bergtóru, Bergtóru, Bergtóru)
Bergunn	(Bergunn, Bergunn, Bergunnar)
Bergur	(Berg, Bergi, Bergs)
Beri	t (Berit, Berit, Beritar)
Berint	(Berint, Berinti, Berints)
Bernar	(Bernar, Bernari, Bernars)
Bernhard	(Bernhard, Bernhardi, Bernhards)
Bersi	(Bersa, Bersa, Bersa)
Berta	(Bertu, Bertu, Bertu)
Bessi	(Bessa, Bessa, Bessa)
Betta	(Bettu, Bettu, Bettu)
Bettý	(Bettý, Bettý, Bettýar)
Betuel	(Betuel, Betueli, Betuels)
Billa	(Billu, Billu, Billu)
Bina	(Binu, Binu, Binu)
Birgar	(Birgar, Birgari, Birgars)
Birgir	(Birgir, Birgi, Birgis)
Birgit	(Birgit, Birgit, Birgitar)
Birgitta	(Birgittu, Birgittu, Birgittu)
Birita	(Biritu, Biritu, Biritu)
Birna	(Birnu, Birnu, Birnu)
Birni	(Birna, Birna, Birna)
Birta	(Birtu, Birtu, Birtu)
Birtir	(Birtir, Birti, Birtis)
Bjalla	(Bjallu, Bjallu, Bjallu)
Bjarki	(Bjarka, Bjarka, Bjarka)
Bjarma	(Bjarmu, Bjarmu, Bjarmu)
Bjarndis	(Bjarndis, Bjarndis, Bjarndisar)
Bjarnfríð	(Bjarnfríð, Bjarnfríð, Bjarnfríðar)
Bjarngrímur	(Bjarngrím, Bjarngrími, Bjarngríms)
Bjarnheðin	(Bjarnheðin, Bjarnheðini, Bjarnheðins)
Bjarnhild	(Bjarnhild, Bjarnhild, Bjarnhildar)
Bjarni	(Bjarna, Bjarna, Bjarna)
Bjarnvarður	(Bjarnvarð, Bjarnvarði, Bjarnvarðs/Bjarnvarðar)
Bjarta	(Bjartu, Bjartu, Bjartu)
Bjarti	(Bjarta, Bjarta, Bjarta)
Bjartmar	(Bjartmar, Bjartmari, Bjartmars)
Bjartur	(Bjart, Bjarti, Bjarts)
Bjølla	(Bjøllu, Bjøllu, Bjøllu)
Bjørg	(Bjørg, Bjørg, Bjargar)
Bjørgfinnur	(Bjørgfinn, Bjørgfinni, Bjørgfins)
Bjørgfríð	(Bjørgfríð, Bjørgfríð, Bjørgfríðar)
Bjørgheðin	(Bjørgheðin, Bjørgheðini, Bjørgheðins)
Bjørghild	(Bjørghild, Bjørghild, Bjørghildar)
Bjørgolvur	(Bjørgolv, Bjørgolvi, Bjørgolvs)
Bjørgúlvur	(Bjørgúlv, Bjørgúlvi, Bjørgúlvs)
Bjørk	(Bjørk, Bjørk, Bjarkar)
Bjørn	(Bjørn, Bjørn/Birni, Bjarnar/Bjørns)
Bjørt	(Bjørt, Bjørt, Bjartar)
Blásius	Blásius, Blásiusi, Blásiusar*)
Boas	(Boas, Boasi, Boasar*)
Bogi	(Boga, Boga, Boga)
Borgar	(Borgar, Borgari, Borgars)
Borgfríð	(Borgfríð, Borgfríð, Borgfríðar)
Borghild	(Borghild, Borghild, Borghildar)
Borgný	(Borgný, Borgný, Borgnýar)
Bóas	(Bóas, Bóasi, Bóasar*)
Bóthild	(Bóthild, Bóthild, Bóthildar)
