Dagbjartur	(Dagbjart, Dagbjarti, Dagbjarts)
Dagbjørg	(Dagbjørg, Dagbjørg, Dagbjargar)
Dagbjørn	(Dagbjørn, Dagbjørn/Dagbirni, Dagbjarnar/Dagbjørns)
Dagbjørt	(Dagbjørt, Dagbjørt, Dagbjartar)
Dagfinnur	(Dagfinn, Dagfinni, Dagfins)
Dagfríð	(Dagfríð, Dagfríð, Dagfríðar)
Dagmar	(Dagmar, Dagmar, Dagmarar)
Dagný	(Dagný, Dagný, Dagnýar)
Dagrún	(Dagrún, Dagrún, Dagrúnar)
Dagunn	(Dagunn, Dagunn, Dagunnar)
Dagur	(Dag, Degi, Dags)
Dan	(Dan, Dani, Dans)
Dania	(da:n-] (Daniu, Daniu, Daniu)
Daniella	(Daniellu, Daniellu, Daniellu)
Danjal	(Danjal, Danjali, Danjals)
Dann	(Dann, Danni, Dans)
Danvør	(Danvør, Danvør, Danvarar)
Dánial	(Dánial, Dániali, Dánials)
Dánjal	(Dánjal, Dánjali, Dánjals)
Dávi	(Dáva, Dáva, Dáva)
Dávid	(Dávid, Dávidi, Dávids)
Dávið	(Dávið, Dáviði, Dáviðs)
Dávur	(Dáva, Dáva, Dáva)
Debora	(Deboru, Deboru, Deboru)
Demmus	(Demmus, Demmusi, Demmusar*)
Dennis	(Dennis, Dennisi, Dennisar*)
Diana	(Dianu, Dianu, Dianu)
Dina	(Dinu, Dinu, Dinu)
Dinna	(Dinnu, Dinnu, Dinnu)
Dion	(Dion, Dioni, Dions)
Ditleivur	(Ditleiv, Ditleivi, Ditleivs)
Díðrikur	(Díðrik, Díðriki, Díðriks)
Dís	(Dís, Dís, Dísar)
Djóni	(Djóna, Djóna, Djóna)
Dora	(Doru, Doru, Doru)
Doris	(Doris, Doris, Dorisar)
Dorotea	(Doroteu, Doroteu, Doroteu)
Dortea	(Dorteu, Dorteu, Dorteu)
Dóra	(Dóru, Dóru, Dóru)
Dropleyg	(Dropleyg, Dropleyg, Dropleygar)
Drós	(Drós, Drós, Drósar)
Dunaldur	(Dunald, Dunaldi, Dunalds)
Durið	(Durið, Durið, Duriðar)
Durita	(Duritu, Duritu, Duritu)
Duruta	(Durutu, Durutu, Durutu)
Døgg	(Døgg, Døgg, Døggar)
