Ebba	(Ebbu, Ebbu, Ebbu)
Ebbi	(Ebba, Ebba, Ebba)
Edda	(Eddu, Eddu, Eddu)
Edit	(Edit, Edit, Editar)
Edmundur	(Edmund, Edmundi, Edmundar/Edmunds)
Edna	(Ednu, Ednu, Ednu)
Edvard	(Edvard, Edvardi, Edvards)
Edvin	(Edvin, Edvini, Edvins)
Egi	(Ega, Ega, Ega)
Egil	(Egil, Egili, Egils)
Egin	(Egin, Egini, Egins)
Eik	(Eik, Eik, Eikar)
Eilin	(Eilin, Eilin, Eilinar)
Eilívur	(Eilív, Eilívi, Eilívs)
Eina	(Einu, Einu, Einu)
Einar	(Einar, Einari, Einars)
Eindri	(Eindra, Eindra, Eindra)
Eir	(Eir, Eir, Eirar)
Eiri	(Eira, Eira, Eira)
Eirika	(Eiriku, Eiriku, Eiriku)
Eirikur	(Eirik, Eiriki, Eiriks)
Eivindur	(Eivind, Eivindi, Eivindar)
Eldbjørg	(Eldbjørg, Eldbjørg, Eldbjargar)
Eldbjørn	(Eldbjørn, Eldbjørn/Eldbirni, Eldbjarnar/Eldbjørns)
Eldrið	(Eldrið, Eldrið, Eldriðar)
Eleonora	(Eleonoru, Eleonoru, Eleonoru)
Eli	(Eli, Eli, Elis)
Elia	(Eliu, Eliu, Eliu)
Elian	(Elian, Eliani, Elians)
Elias	(Elias, Eliasi, Eliasar*)
Eliesar	(Eliesar, Eliesari, Eliesars)
Elin	(Elina, Elini, Elinar)
Elinbjørg	(Elinbjørg, Elinbjørg, Elinbjargar)
Elinborg	(Elinborg, Elinborg, Elinborgar)
Elis	(Elis, Elisi, Elisar*)
Elisa	(Elisu, Elisu, Elisu)
Elisabet	(Elisabet, Elisabet, Elisabetar)
Ella	(Ellu, Ellu, Ellu)
Ellindur	(Ellind, Ellindi, Ellinds)
Elma	(Elmu, Elmu, Elmu)
Elmar	(Elmar, Elmari, Elmars)
Elna	(Elnu, Elnu, Elnu)
Elsa	(Elsu, Elsu, Elsu)
Elsba	(Elsbu, Elsbu, Elsbu)
Elsbet	(Elsbet, Elsbet, Elsbetar)
Elspa	(Elspu, Elspu, Elspu)
Elsuba	(Elsubu, Elsubu, Elsubu)
Elsubet	(Elsubet, Elsubet, Elsubetar)
Elsý	(Elsý, Elsý, Elsýar)
Elvar	(Elvar, Elvari, Elvars)
Elvina	(Elvinu, Elvinu, Elvinu)
Elvira	(Elviru, Elviru, Elviru)
Embla	(Emblu, Emblu, Emblu)
Emil	(Emil, Emili, Emils)
Emilia	(Emiliu, Emiliu, Emiliu)
Emilý	(Emilý, Emilý, Emilýar)
Emma	(Emmu, Emmu, Emmu)
Enna	(Ennu, Ennu, Ennu)
Enokur	(Enok, Enoki, Enoks)
Erhard	(Erhard, Erhardi, Erhards)
Erika	(Eriku, Eriku, Eriku)
Erla	(Erlu, Erlu, Erlu)
Erlendur	(Erlend, Erlendi, Erlends)
Erlingur	(Erling, Erlingi, Erlings)
Erna	(Ernu, Ernu, Ernu)
Ernst	(Ernst, Ernsti, Ernsts)
Esbern	(Esbern, Esberni, Esberns)
Esekiel	(Esekiel, Esekieli, Esekiels)
Eskil	(Eskil, Eskili, Eskils)
Esmar	(Esmar, Esmari, Esmars)
Esmundur	(Esmund, Esmundi, Esmundar/Esmunds)
Esra	(Esra, Esra, Esra)
Esta	(Estu, Estu, Estu)
Ester	(Ester, Ester, Esterar)
Estrið	(Estrið, Estrið, Estriðar)
Estur	(Estur, Estur, Esturar)
Eva	(Evu, Evu, Evu)
Evald	(Evald, Evaldi, Evalds)
Eydna	(Eydnu, Eydnu, Eydnu)
Eyð	(Eyð, Eyð, Eyðar)
Eyðálvur	(Eyðálv, Eyðálvi, Eyðálvs)
Eyðbjartur	(Eyðbjart, Eyðbjarti, Eyðbjarts)
Eyðbjørg	(Eyðbjørg, Eyðbjørg, Eyðbjargar)
Eyðbjørn	(Eyðbjørn, Eyðbjørn/Eyðbirni, Eyðbjarnar/Eyðbjørns)
Eyðbjørt	(Eyðbjørt, Eyðbjørt, Eyðbjartar)
Eyðdis	(Eyðdis, Eyðdis, Eyðdisar)
Eyðfinnur	(Eyðfinn, Eyðfinni, Eyðfins)
Eyðfríð	(Eyðfríð, Eyðfríð, Eyðfríðar)
Eyðgerð	(Eyðgerð, Eyðgerð, Eyðgerðar)
Eyðgrímur	(Eyðgrím, Eyðgrími, Eyðgríms)
Eyðgunn	(Eyðgunn, Eyðgunn, Eyðgunnar)
Eyðhild	(Eyðhild, Eyðhild, Eyðhildar)
Eyði	(Eyða, Eyða, Eyða)
Eyðleivur	(Eyðleiv, Eyðleivi, Eyðleivs)
Eyðleyg	(Eyðleyg, Eyðleyg, Eyðleygar)
Eyðmar	(Eyðmar, Eyðmari, Eyðmars)
Eyðmundur	(Eyðmund, Eyðmundi, Eyðmundar/Eyðmunds)
Eyðolvur	(Eyðolv, Eyðolvi, Eyðolvs)
Eyðrið	(Eyðrið, Eyðrið, Eyðriðar)
Eyðrun	(Eyðrun, Eyðrun, Eyðrunar)
Eyðstein	(Eyðstein, Eyðsteini, Eyðsteins)
Eyðsvein	(Eyðsvein, Eyðsveini, Eyðsveins)
Eyðtór	(Eyðtór, Eyðtóri, Eyðtórs)
Eyðun	(Eyðun, Eyðuni, Eyðunar/Eyðuns)
Eyður	(Eyður/Eyði, Eyður/Eyði, Eyðar)
Eyðvarður	(Eyðvarð, Eyðvarði, Eyðvarðs/Eyðvarðar)
Eyðvør	(Eyðvør, Eyðvør, Eyðvarar)
