Fabian	(Fabian, Fabiani, Fabians)
Fanný	(Fanný, Fanný, Fannýar)
Fálgeir	(Fálgeir, Fálgeiri, Fálgeirs)
Felisia	(Felisiu, Felisiu, Felisiu)
Femja	(Femju, Femju, Femju)
Ferdinand	(Ferdinand, Ferdinandi, Ferdinands)
Filip	(Filip, Filipi, Filips)
Filippa	(Filippu, Filippu, Filippu)
Filippus	(Filippus, Filippusi, Filippusar*)
Finnbjørg	(Finnbjørg, Finnbjørg, Finnbjargar)
Finnbjørn	(Finnbjørn, Finnbjørn/Finnbirni, Finnbjarnar/Finnbjørns)
Finnbogi	(Finnboga, Finnboga, Finnboga)
Finnfríði	(Finnfríða, Finnfríða, Finnfríða)
Finngeir	(Finngeir, Finngeiri, Finngeirs)
Finngerð	(Finngerð, Finngerð, Finngerðar)
Finnleivur	(Finnleiv, Finnleivi, Finnleivs)
Finnleyg	(Finnleyg, Finnleyg, Finnleygar)
Finnur	(Finn, Finni, Fins)
Fía	(Fíu, Fíu, Fíu)
Fípa	(Fípu, Fípu, Fípu)
Fjóla	(Fjólu, Fjólu, Fjólu)
Flemmingur	(Flemming, Flemmingi, Flemmings)
Flosi	(Flosa, Flosa, Flosa)
Flóki	(Flóka, Flóka, Flóka)
Flóvin	(Flóvin, Flóvini, Flóvins)
Flykra	(Flykru, Flykru, Flykru)
Flæmingur	(Flæming, Flæmingi, Flæmings)
Frank	(Frank, Frank, Franks)
Frans	(Frans, Fransi, Frans)
Frida	(Fridu, Fridu, Fridu)
Fridleivur	(Fridleiv, Fridleivi, Fridleivs)
Friðgerð	(Friðgerð, Friðgerð, Friðgerðar)
Frits	(Frits, Fritsi, Frits)
Fríða	(Fríðu, Fríðu, Fríðu)
Fríðálvur	(Fríðálv, Fríðálvi, Fríðálvs)
Fríðbjartur	(Fríðbjart, Fríðbjarti, Fríðbjarts)
Fríðbjørg	(Fríðbjørg, Fríðbjørg, Fríðbjargar)
Fríðbjørn	(Fríðbjørn, Fríðbjørn/Fríðbirni, Fríðbjarnar/Fríðbjørns)
Fríðborg	(Fríðborg, Fríðborg, Fríðborgar)
Fríðfinnur	(Fríðfinn, Fríðfinni, Fríðfins)
Fríðgerð	(Fríðgerð, Fríðgerð, Fríðgerðar)
Fríðhild	(Fríðhild, Fríðhild, Fríðhildar)
Fríði	(Fríða, Fríða, Fríða)
Fríðmundur	(Fríðmund, Fríðmundi, Fríðmundar/Fríðmunds)
Fríðolvur	(Fríðolv, Fríðolvi, Fríðolvs)
Fríðrika	(Fríðriku, Fríðriku, Fríðriku)
Fríðrikur	(Fríðrik, Fríðriki, Fríðriks)
Fríðrun	(Fríðrun, Fríðrun, Fríðrunar)
Fríðrún	(Fríðrún, Fríðrún, Fríðrúnar)
Fríðunn	(Fríðunn, Fríðunn, Fríðunnar)
Fríður	(Fríð, Fríði, Fríðs)
Fríðvør	(Fríðvør, Fríðvør, Fríðvarar)
Frímann	(Frímann, Frímanni, Frímans)
Froya	(Froyu, Froyu, Froyu)
Froydis	(Froydis, Froydis, Froydisar)
Froygerð	(Froygerð, Froygerð, Froygerðar)
Fróða	(Fróðu, Fróðu, Fróðu)
Fróðar	(Fróðar, Fróðari, Fróðars)
Fróði	(Fróða, Fróða, Fróða)
Følva	(Følvu, Følvu, Følvu)
