Gabrial	(Gabrial, Gabriali, Gabrials)
Gabriel	(Gabriel, Gabrieli, Gabriels)
Gabriella	(Gabriellu, Gabriellu, Gabriellu)
Gaprial	(Gaprial, Gapriali, Gaprials)
Garðar	(Garðar, Garðari, Garðars)
Geir	(Geir, Geiri, Geirs)
Geira	(Geiru, Geiru, Geiru)
Geirbjørn	(Geirbjørn, Geirbjørn/Geirbirni, Geirbjarnar/Geirbjørns)
Geirbrandur	(Geirbrand, Geirbrandi, Geirbrands)
Geirfinnur	(Geirfinn, Geirfinni, Geirfins)
Geirhild	(Geirhild, Geirhild, Geirhildar)
Geiri	(Geira, Geira, Geira)
Geirmundur	(Geirmund, Geirmundi, Geirmundar/Geirmunds)
Geirolvur	(Geirolv, Geirolvi, Geirolvs)
Geirtrúð	(Geirtrúð, Geirtrúð, Geirtrúðar)
Geirur	(Geir, Geiri, Geirs)
Georg	(Georg, Georg(i), Georgs)
Gerda	(Gerdu, Gerdu, Gerdu)
Gerð	(Gerð, Gerð, Gerðar)
Gestur	(Gest, Gesti, Gests)
Geythild	(Geythild, Geythild, Geythildar)
Geyti	(Geyta, Geyta, Geyta)
Gilbert	(Gilbert, Gilberti, Gilberts)
Giljanna	(Giljonnu/Giljannu, Giljonnu/Giljannu, Giljonnu/Giljannu)
Gilli	(Gilla, Gilla, Gilla)
Gilstein	(Gilstein, Gilsteini, Gilsteins)
Gisleyg	(Gisleyg, Gisleyg, Gisleygar)
Gissur	(Gissur, Gissuri, Gissurs)
Gíslar	(Gíslar, Gíslari, Gíslars)
Gísleyg	(Gísleyg, Gísleyg, Gísleygar)
Gísli	(Gísla, Gisla, Gísla)
Gloria	(Gloriu, Gloriu, Gloriu)
Glóa	(Glóu, Glóu, Glóu)
Glúmur	(Glúm, Glúmi, Glúms)
Glæma	(Glæmu, Glæmu, Glæmu)
Gormundur	(Gormund, Gormundi, Gormundar/Gormunds)
Gormur	(Gorm, Gormi, Gorms)
Gortra	(Gortru, Gortru, Gortru)
Greipur	(Greip, Greipi, Greips)
Greta	(Gretu, Gretu, Gretu)
Grettir	(Grettir, Gretti, Grettis)
Grias	(Grias, Griasi, Griasar*)
Grimhild	(Grimhild, Grimhild, Grimhildar)
Gripur	(Grip, Gripi, Grips)
Grímolvur	(Grímolv, Grímolvi, Grímolvs)
Grímur	(Grím, Grími, Gríms)
Gróa	(Gróu, Gróu, Gróu)
Grækaris	(Grækaris, Grækarisi, Grækarisar*)
Gudbjørg	(Gudbjørg, Gudbjørg, Gudbjargar)
Gudfinna	(Gudfinnu, Gudfinnu, Gudfinnu)
Gudfinnur	(Gudfinn, Gudfinni, Gudfins)
Gudjón	(Gudjón, Gudjóni, Gudjóns)
Gudleyg	(Gudleyg, Gudleyg, Gudleygar)
Gudleygur	(Gudleyg, Gudleygi, Gudleygs)
Gudmar	(Gudmar, Gudmari, Gudmars)
Gudmundur	Gudmund, Gudmundi, Gudmunds)
Gudný	(Gudný, Gudný, Gudnýar)
Gudrun	(Gudrun/Gudruna, Gudrun/Gudruni, Gudrunar)
Gudvør	(Gudvør, Gudvør, Gudvarar)
Guðbjartur	(Guðbjart, Guðbjarti, Guðbjarts)
Guðbjørg	(Guðbjørg, Guðbjørg, Guðbjargar)
Guðbrandur	(Guðbrand, Guðbrandi, Guðbrands)
Guðlakur	(Guðlak, Guðlaki, Guðlaks)
Guðrið	(Guðrið, Guðrið, Guðriðar)
Guðrun	(Guðrun/Guðruna, Guðrun/Guðruni, Guðrunar)
Gulakur	(Gulak, Gulaki, Gulaks)
Gullbjørg	(Gullbjørg, Gullbjørg, Gullbjargar)
Gullborg	(Gullborg, Gullborg, Gullborgar)
Gullbrandur	(Gullbrand, Gullbrandi, Gullbrands)
Gundur	(Gund, Gundi, Gundar)
Gunn	(Gunn, Gunn, Gunnar)
Gunna	(Gunnu, Gunnu, Gunnu)
Gunnar	(Gunnar, Gunnari, Gunnars)
Gunnálvur	(Gunnálv, Gunnálvi, Gunnálvs)
Gunnbjørg	(Gunnbjørg, Gunnbjørg, Gunnbjargar)
Gunnbjørn	(Gunnbjørn, Gunnbjørn/Gunnbirni, Gunnbjarnar/Gunnbjørns)
Gunnbrit	(Gunnbrit, Gunnbrit, Gunnbritar)
Gunnfríð	(Gunnfríð, Gunnfríð, Gunnfríðar)
Gunngerð	(Gunngerð, Gunngerð, Gunngerðar)
