Hagbarður	(Hagbarð, Hagbarði, Hagbarðs)
Halda	(Haldu, Haldu, Haldu)
Halgir	(Halgir, Halgiri, Halgirs)
Halla	(Hallu, Hallu, Hallu)
Hallbera	(Hallberu, Hallberu, Hallberu)
Hallbergur	(Hallberg, Hallbergi, Hallbergs)
Hallbjørg	(Hallbjørg, Hallbjørg, Hallbjargar)
Hallbjørn	(Hallbjørm, Hallbjørn/Hallbirni, Hallbjarnar/Hallbjørns)
Halldis	(Halldis, Halldis, Halldisar)
Halldór	(Halldór, Halldóri, Halldórs)
Halldóra	(Halldóru, Halldóru, Halldóru)
Hallfríð	(Hallfríð, Hallfríð, Hallfríðar)
Hallfríður	(Hallfríð, Hallfríði, Hallfríðs)
Hallgeir	(Hallgeir, Hallgeiri, Hallgeirs)
Hallgerð	(Hallgerð, Hallgerð, Hallgerðar)
Hallgrímur	(Hallgrím, Hallgrími, Hallgríms)
Hallgunn	(Hallgunn, Hallgunn, Hallgunnar)
Hallmar	(Hallmar, Hallmari, Hallmars)
Hallmundur	(Hallmund, Hallmundi, Hallmundar/Hallmunds)
Hallormur	(Hallorm, Hallormi, Hallorms)
Hallstein	(Hallstein, Hallsteini, Hallsteins)
Hallur	(Hall, Halli, Hals)
Hallvarður	(Hallvarð, Hallvarði, Hallvarðs/Hallvarðar)
Hallveig	(Hallveig, Hallveig, Hallveigar)
Hallvør	(Hallvør, Hallvør, Hallvarar)
Hanna	(Honnu/Hannu, Honnu/Hannu, Honnu/Hannu)
Hannes	(Hannes, Hannesi, Hannesar*)
Hannis	(Hannis, Hannisi, Hannisar*)
Hannus	(Hannus, Hannusi, Hannusar*)
Hans	(Hans, Hansi, Hans)
Hansa	(Hansu, Hansu, Hansu)
Hansina	(Hansinu, Hansinu, Hansinu)
Hanus	(Hanus, Hanusi, Hanusar*)
Haraldur	(Harald, Haraldi, Haralds)
Havdis	(Havdis, Havdis, Havdisar)
Havgerð	(Havgerð, Havgerð, Havgerðar)
Havgrímur	(Havgrím, Havgrími, Havgríms)
Havliði	(Havliða, Havliða, Havliða)
Havstein	(Havstein, Havsteini, Havsteins)
Hábarður	(Hábarð, Hábarði, Hábarðs)
Hákun	(Hákun, Hákuni, Hákunar)
Hálvdan	(Hálvdan, Hálvdani, Hálvdanar/Hálvdans)
Hámundur	(Hámund, Hámundi, Hámundar/Hámunds)
Hárikur	(Hárik, Háriki, Háriks)
Hástein	(Hástein, Hásteini, Hásteins)
Hávar	(Hávar, Hávari, Hávars)
Hávarður	(Hávarð, Hávarði, Hávarðs/Hávarðar)
Heðin	(Heðin, Heðini, Heðins)
Heidi	(Heidi, Heidi, Heidiar)
Heiða	(Heiðu, Heiðu, Heiðu)
Heiðdis	(Heiðdis, Heiðdis, Heiðdisar)
Heiðrikur	(Heiðrik, Heiðriki, Heiðriks)
Heiðrun	(Heiðrun, Heiðrun, Heiðrunar)
Heiðrún	(Heiðrún, Heiðrún, Heiðrúnar)
Heiðveig	(Heiðveig, Heiðveig, Heiðveigar)
Heiðvík	(Heiðvík, Heiðvík, Heiðvíkar)
Heiðvør	(Heiðvør, Heiðvør, Heiðvarar)
Heimir	(Heimir, Heimi, Heimis)
Heindrikur	(Heindrik, Heindriki, Heindriks)
Heini	(Heina, Heina, Heina)
Heinina	(Heininu, Heininu, Heininu)
Heinrikur	(Heinrik, Heinriki, Heinriks)
Helena	(Helenu, Helenu, Helenu)
Helga	(Helgu, Helgu, Helgu)
Helgi	(Helga, Helga, Helga)
Helma	(Helmu, Helmu, Helmu)
Hemingur	(Heming, Hemingi, Hemings)
Hemmingur	(Hemming, Hemmingi, Hemmings)
Hendrikur	(Hendrik, Hendriki, Hendriks)
Henningur	(Henning, Henningi, Hennings)
Henný	(Henný, Henný, Hennýar)
Henrietta	(Henriettu, Henriettu, Henriettu)
Henrikka	(Henrikku, Henrikku, Henrikku)
Hensar	(Hensar, Hensari, Hensars)
Hera	(Heru, Heru, Heru)
Herálvur	(Herálv, Herálvi, Herálvs)
Herbert	(Herbert, Herberti, Herberts)
Herbjartur	(Herbjart, Herbjarti, Herbjarts)
Herbjørg	(Herbjørg, Herbjørg, Herbjargar)
Herbjørn	(Herbjørn, Herbjørn/Herbirni, Herbjarnar/Herbjørns)
Herborg	(Herborg, Herborg, Herborgar)
