Ida	(Idu, Idu, Idu)
Iðunn	(Iðunn, Iðunn, Iðunnar)
Immanuel	(Immanuel, Immanueli, Immanuels)
Ina	(Inu, Inu, Inu)
Inga	(Ingu, Ingu, Ingu)
Ingálvur	(Ingálv, Ingálvi, Ingálvs)
Ingi	(Inga, Inga, Inga)
Ingibjartur	(Ingibjart, Ingibjarti, Ingibjarts)
Ingibjørg	(Ingibjørg, Ingibjørg, Ingibjargar)
Ingibjørn	(Ingibjørn, Ingibjørn/Ingibirni, Ingibjarnar/Ingibjørns)
Ingibjørt	(Ingibjørt, Ingibjørt, Ingibjartar)
Ingigerð	(Ingigerð, Ingigerð, Ingigerðar)
Ingileivur	(Ingileiv, Ingileivi, Ingileivs)
Ingileyg	(Ingileyg, Ingileyg, Ingileygar)
Ingilín	(Ingilín, Ingilín, Ingilínar)
Ingimar	(Ingimar, Ingimari, Ingimars)
Ingimundur	(Ingimund, Ingimundi, Ingimundar/Ingimunds)
Ingirið	(Ingirið, Ingirið, Ingiriðar)
Ingivaldur	(Ingivald, Ingivaldi, Ingivalds)
Ingjaldur	(Ingjald, Ingjaldi, Ingjalds)
Ingmar	(Ingmar, Ingmari, Ingmars)
Ingolvur	(Ingolv, Ingolvi, Ingolvs)
Ingrið	(Ingrið, Ingrið, Ingriðar)
Ingrún	(Ingrún, Ingrún, Ingrúnar)
Ingunn	(Ingunn, Ingunn, Ingunnar)
Ingvaldur	(Ingvald, Ingvaldi, Ingvalds)
Ingvar	(Ingvar, Ingvari, Ingvars)
Ingvá	(Ingvá, Ingvá, Ingváar)
Ingvør	(Ingvør, Ingvør, Ingvarar)
Inna	(Innu, Innu, Innu)
Irena	(Irenu, Irenu, Irenu)
Iris	(Iris, Iris, Irisar)
Irma	(Irmu, Irmu, Irmu)
Isabella	(Isabellu, Isabellu, Isabellu)
Ivan	(Ivan, Ivani, Ivans)
