Jafet	(Jafet, Jafeti, Jafets)
Jakoba	(Jakobu, Jakobu, Jakobu)
Jakobina	(Jakobinu, Jakobinu, Jakobinu)
Jallgrímur	(Jallgrím, Jallgrími, Jallgríms)
Jan	(Jan, Jani, Jans)
Jana	(Janu, Janu, Janu)
Janhild	(Janhild, Janhild, Janhildar)
Janita	(Janitu, Janitu, Janitu)
Jann	(Jann, Janni, Jans)
Janna	(Jannu, Jannu, Jannu)
Jansý	(Jansý, Jansý, Jansýar)
Janus	(Janus, Janusi, Janusar*)
Jarleivur	(Jarleiv, Jarleivi, Jarleivs)
Jarmundur	(Jarmund, Jarmundi, Jarmundar/Jarmunds)
Jason	(Jason, Jasoni, Jasonar/Jasons)
Jaspur	(Jaspur, Jaspuri, Jaspurs)
Jastrið	(Jastrið, Jastrið, Jastriðar)
Jatmundur	(Jatmund, Jatmundi, Jatmundar/Jatmunds)
Jatvarður	(Jatvarð, Jatvarði, Jatvarðs/Jatvarðar)
Jákup	(Jákup, Jákupi, Jákups)
Játmundur	(Játmund, Játmundi, Játmundar/Játmunds)
Jemima	(Jemimu, Jemimu, Jemimu)
Jenis	(Jenis, Jenisi, Jenisar*)
Jennhild	(Jennhild, Jennhild, Jennhildar)
Jenný	(Jenný, Jenný, Jennýar)
Jens	(Jens, Jensi, Jens)
Jensa	(Jensu, Jensu, Jensu)
Jensia	(Jensiu, Jensiu, Jensiu)
Jensina	(Jensinu, Jensinu, Jensinu)
Jesar	(Jesar, Jesari, Jesars)
Jetta	(Jettu, Jettu, Jettu)
John	(John, Johni, Johns)
Jona	(Jonu, Jonu, Jonu)
Jonn	(Jonn, Jonni, Jons)
Jonn	hild (Jonnhild, Jonnhild, Jonnhildar)
Jonna	(Jonnu, Jonnu, Jonnu)
Josefina	(Josefinu, Josefinu, Josefinu)
Josva	(Josva, Josva, Josva)
Jovina	(Jovinu, Jovinu, Jovinu)
Jóal	(Jóal, Jóali, Jóals)
Jóan	(Jóan, Jóani, Jóans)
Jóanes	(Jóanes, Jóanesi, Jóanesar*)
Jóanis	(Jóanis, Jóanisi, Jóanisar*)
Jóanna	(Jóonnu/Jóannu, Jóonnu/Jóannu, Jóonnu/Jóannu)
Jóannes	(Jóannes, Jóannesi, Jóannesar*)
Jóannis	(Jóannis, Jóannisi, Jóannisar*)
Jóas	(Jóas, Jóasi, Jóasar*)
Jódis	(Jódis, Jódis, Jódisar)
Jóel	(Jóel, Jóeli, Jóels)
Jófríð	(Jófríð, Jófríð, Jófríðar)
Jófríður	(Jófríð, Jófríði, Jófríðs)
Jógvan	(Jógvan, Jógvani, Jógvans)
Jóhan	(Jóhan, Jóhani, Jóhans)
Jóhann	(Jóhann, Jóhanni, Jóhans)
Jóhanna	(Jóhonnu/Jóhannu, Jóhonnu/Jóhannu, Jóhonnu/Jóhannu)
Jóhannes	(Jóhannes, Jóhannesi, Jóhannesar*)
Jóhannis	(Jóhannis, Jóhannisi, Jóhannisar*)
Jóhannus	(Jóhannus, Jóhannusi, Jóhannusar*)
Jóhild	(Jóhild, Jóhild, Jóhildar)
Jón	(Jón, Jóni, Jóns)
Jóna	(Jónu, Jónu, Jónu)
Jónar	(Jónar, Jónari, Jónars)
Jónas	(Jónas, Jónasi, Jónasar*)
Jónatan	(Jónatan, Jónatani, Jónatans)
Jónbjørg	(Jónbjørg, Jónbjørg, Jónbjargar)
Jónfinnur	(Jónfinn, Jónfinni, Jónfins)
Jónfríð	(Jónfríð, Jónfríð, Jónfríðar)
Jóngerð	(Jóngerð, Jóngerð, Jóngerðar)
Jónhard	(Jónhard, Jónhardi, Jónhards)
Jónheðin	(Jónheðin, Jónheðini, Jónheðins)
Jónhild	(Jónhild, Jónhild, Jónhildar)
Jóni	(Jóna, Jóna, Jóna)
Jónleivur	(Jónleiv, Jónleivi, Jónleivs)
Jónleyg	(Jónleyg, Jónleyg, Jónleygar)
Jónrið	(Jónrið, Jónrið, Jónriðar)
Jónstein	(Jónstein, Jónsteini, Jónsteins)
Jónsvein	(Jónsvein, Jónsveini, Jónsveins)
Jónvá	(Jónvá, Jónvá, Jónváar)
