Kai	(Kai, Kai, Kais)
Kaia	(Kaiu, Kaiu, Kaiu)
Kaleb	(Kaleb, Kalebi, Kalebs)
Kamilla	(Kamillu, Kamillu, Kamillu)
Kamma	(Kammu, Kammu, Kammu)
Karin	(Karina, Karini, Karinar)
Karina	(Karinu, Karinu, Karinu)
Karita	(Karitu, Karitu, Karitu)
Karl	(Karl, Karli, Karls)
Karla	(Karlu, Karlu, Karlu)
Karlina	(Karlinu, Karlinu, Karlinu)
Karolina	(Karolinu, Karolinu, Karolinu)
Karstin	(Karstin, Karstini, Karstins)
Kartni	(Kartna, Kartna, Kartna)
Kaspar	(Kaspar, Kaspari, Kaspars)
Kassandra	(Kassandru, Kassandru, Kassandru)
Katarina	(Katarinu, Katarinu, Katarinu)
Katja	(Katju, Katju, Katju)
Katla	(Katlu, Katlu, Katlu)
Katrin	(Katrina, Katrini, Katrinar)
Katrina	(Katrinu, Katrinu, Katrinu)
Kálvur	(Kálv, Kálvi, Kálvs)
Kára	(Káru, Káru, Káru)
Kári	(Kára, Kára, Kára)
Kárunn	(Kárunn, Kárunn, Kárunnar)
Ketil	(Ketil, Ketli, Ketils)
Kirstin	(Kirstina, Kirstini, Kirstinar)
Kjartan	(Kjartan, Kjartani, Kjartans)
Klara	(Klaru, Klaru, Klaru)
Klára	(Kláru, Kláru, Kláru)
Kláus	(Kláus, Kláusi, Kláusar*)
Klæmint	(Klæmint, Klæminti, Klæmints)
Knútur	(Knút, Knúti, Knúts)
Kolbein	(Kolbein, Kolbeini, Kolbeins)
Kolbjørn	(Kolbjørn, Kolbjørn/Kolbirni, Kolbjarnar/Kolbjørns
Kolbrún	(Kolbrún, Kolbrún, Kolbrúnar)
Kolfinna	(Kolfinnu, Kolfinnu, Kolfinnu)
Kolfinnur	(Kolfinn, Kolfinni, Kolfins)
Kolgrímur	(Kolgrím, Kolgrími, Kolgríms)
Kolmundur	(Kolmund, Kolmundi, Kolmundar/Kolmunds)
Konrad	(Konrad, Konradi, Konrads)
Koraldur	(Korald, Koraldi, Koralds)
Kornelia	(Korneliu, Korneliu, Korneliu)
Kornelius	(Kornelius, Korneliusi, Korneliusar*)
Kornus	(Kornus, Kornusi, Kornusar*)
Krista	(Kristu, Kristu, Kristu)
Kristafár	(Kristafár, Kristafári, Kristafárs)
Kristbjørg	(Kristbjørg, Kristbjørg, Kristbjargar)
Kristensa	(Kristensu, Kristensu, Kristensu)
Kristfríð	(Kristfríð, Kristfríð, Kristfríðar)
Kristhild	(Kristhild, Kristhild, Kristhildar)
Kristian	(Kristian, Kristiani, Kristians)
Kristianna	(Kristionnu/Kristiannu, Kristionnu/Kristiannu, Kristionnu/Kristiannu)
Kristin	(Kristin, Kristini, Kristins)
Kristin	(Kristina, Kristini, Kristinar)
Kristina	(Kristinu, Kristinu, Kristinu)
Kristinbjørg	(Kristinbjørg, Kristinbjørg, Kristinbjargar)
Kristjan	(Kristjan, Kristjani, Kristjans)
Kristjanna	(Kristjonnu/Kristjannu, Kristjonnu/Kristjannu, Kristjonnu/Kristjannu)
Kristleivur	(Kristleiv, Kristleivi, Kristleivs)
Kristmar	(Kristmar, Kristmari, Kristmars)
Kristmundur	(Kristmund, Kristmundi, Kristmundar/Kristmunds)
Kristoffur	(Kristoffur, Kristoffuri, Kristoffurs)
Kristrun	(Kristrun, Kristrun, Kristrunar)
Kristrún	(Kristrún, Kristrún, Kristrúnar)
Kristtór	(Kristtór, Kristtóri, Kristtórs)
Kristvar	(Kristvar, Kristvari, Kristvars)
Kristvør	(Kristvør, Kristvør, Kristvarar)
Kurt	(Kurt, Kurti, Kurts)
Kyrri	(Kyrra, Kyrra, Kyrra)
