Laars	(Laars, Laarsi, Laars)
Laila	(Lailu, Lailu, Lailu)
Lars	(Lars, Larsi, Lars)
Larvas	(Larvas, Larvasi, Larvasar*)
Lassi	(Lassa, Lassa, Lassa)
Laura	(Lauru, Lauru, Lauru)
Laurina	(Laurinu, Laurinu, Laurinu)
Laurus	(Laurus, Laurusi, Laurusar*)
Lavars	(Lavars, Lavarsi, Lavars)
Lavrans	(Lavrans, Lavransi, Lavrans)
Lávus	(Lávus, Lávusi, Lávusar*)
Lea	(Leu, Leu, Leu)
Leiki	(Leika, Leika, Leika)
Leivur	(Leiv, Leivi, Leivs)
Lena	(Lenu, Lenu, Lenu)
Leo	(Leo, Leo, Leos)
Leon	(Leon, Leoni, Leons)
Levi	(Levi, Levi, Levis)
Leyvoy	(Leyvoy, Leyvoy, Leyvoyar)
Liam	(Liam, Liami, Liams)
Lilja	(Lilju, Lilju, Lilju)
Lillý	(Lillý, Lillý, Lillýar)
Lina	(Linu, Linu, Linu)
Lind	(Lind, Lind, Lindar)
Linda	(Lindu, Lindu, Lindu)
Lisa	(Lisu, Lisu, Lisu)
Lisabet	(Lisabet, Lisabet, Lisabetar)
Lisbet	(Lisbet, Lisbet, Lisbetar)
Liss	(Liss, Liss, Lissar)
Liva	(Livu, Livu, Livu)
Líggjas	(Líggjas, Líggjasi, Líggjasar*)
Lín	(Lín, Lín, Línar)
Lísbita	(Lísbitu, Lísbitu, Lísbitu)
Lív	(Lív, Lív, Lívar)
Loðin	(Loðin, Loðini, Loðins)
Loftur	(Loft, Lofti, Lofts)
Lona	(Lonu, Lonu, Lonu)
Lotta	(Lottu, Lottu, Lottu)
Lovisa	(Lovisu, Lovisu, Lovisu)
Lóa	(Lóu, Lóu, Lóu)
Ludvík	(Ludvík, Ludvíki, Ludvíks)
Lukas	(Lukas, Lukasi, Lukasar*)
Lula	(Lulu, Lulu, Lulu)
Lusia	(Lusiu, Lusiu, Lusiu)
Lykkir	(Lykkir, Lykkiri, Lykkirs)
Lý	(Lý, Lý, Lýar)
Lýdia	(Lýdiu, Lýdiu, Lýdiu)
Lýðar	(Lýðar, Lýðari, Lýðars)
Lýður	(Lýður, Lýðuri, Lýðurs)
Løðar	(Løðar, Løðari, Løðars)
