Magda	(Magdu, Magdu, Magdu)
Magdalena	(Magdalenu, Magdalenu, Magdalenu)
Magga	(Maggu/Møggu, Maggu/Møggu, Maggu/Møggu)
Magna	(Magnu, Magnu, Magnu)
Magnar	(Magnar, Magnari, Magnars)
Magnhild	(Magnhild, Magnhild, Magnhildar)
Magni	(Magna, Magna, Magna)
Magnus	(Magnus, Magnusi, Magnusar*)
Maia	(Maiu, Maiu, Maiu)
Maibrit	(Maibrit, Maibrit, Maibritar)
Maifríð	(Maifríð, Maifríð, Maifríðar)
Maika	(Maiku, Maiku, Maiku)
Maisól	(Maisól, Maisól, Maisólar)
Maks	(Maks, Maksi, Maks)
Malan	(Maluna, Maluni, Malunar)
Malena	(Malenu, Malenu, Malenu)
Malfríð	(Malfríð, Malfríð, Malfríðar)
Malja	(Malju, Malju, Malju)
Malla	(Mallu, Mallu, Mallu)
Malvina	(Malvinu, Malvinu, Malvinu)
Malvinus	(Malvinus, Malvinusi, Malvinusar*)
Mannbjørn	(Mannbjørn, Mannbjørn/Mannbirni, Mannbjarnar/Mannbjørns)
Manni	(Manna, Manna, Manna)
Margeir	(Margeir, Margeiri, Margeirs)
Margit	(Margit, Margit, Margitar)
Margret	(Margret, Margret, Margretar)
Margreta	(Margretu, Margretu, Margretu)
Margunn	(Margunn, Margunn, Margunnar)
Maria	(Mariu, Mariu, Mariu)
Marianna	(Marionnu/Mariannu, Marionnu/Mariannu, Marionnu/Mariannu)
Marið	(Marið, Marið, Mariðar)
Marin	(Marina, Marini, Marinar)
Marit	(Marit, Marit, Maritar)
Marita	(Maritu, Maritu, Maritu)
Marius	(Marius, Mariusi, Mariusar*)
Marja	(Marju, Marju, Marju)
Marjun	(Marjuna, Marjuni, Marjunar)
Marjus	(Marjus, Marjusi, Marjusar*)
Markus	(Markus, Markusi, Markusar*)
Marlena	(Marlenu, Marlenu, Marlenu)
Marna	(Marnu, Marnu, Marnu)
Marnar	(Marnar, Marnari, Marnars)
Marnhild	(Marnhild, Marnhild, Marnhildar)
Marni	(Marna, Marna, Marna)
Marta	(Martu, Martu, Martu)
Martin	(Martin, Martini, Martins)
Martina	(Martinu, Martinu, Martinu)
Marý	(Marý, Marý, Marýar)
Masa	(Masu, Masu, Masu)
Mass	(Mass, Massi, Mass)
Matilda	(Matildu, Matildu, Matildu)
Mats	(Mats, Matsi, Mats)
Mattas	(Mattas, Mattasi, Mattasar*)
Matteus	(Matteus, Matteusi, Matteusar*)
Matthild	(Matthild, Matthild, Matthildar)
Mattias	(Mattias, Mattiasi, Mattiasar*)
Maud	(Maud, Maud, Maudar)
Málfríð	(Málfríð, Málfríð, Málfríðar)
Máur	(Má, Mái, Más)
Meinar	(Meinar, Meinari, Meinars)
Meinhard	(Meinhard, Meinhardi, Meinhards)
Melania	(Melaniu, Melaniu, Melaniu)
Melkir	(Melkir, Melkiri, Melkirs)
Melkjor	(Melkjor, Melkjori, Melkjors)
Merrý	(Merrý, Merrý, Merrýar)
Metta	(Mettu, Mettu, Mettu)
Mia	(Miu, Miu, Miu)
Mika	(Mika, Mika, Mika)
Mikal	(Mikal, Mikali, Mikals)
Mikala	(Mikalu, Mikalu, Mikalu)
Mikkjal	(Mikkjal, Mikkjali, Mikkjals)
Milan	(Milan, Milani, Milans)
Mildrið	(Mildrið, Mildrið, Mildriðar)
Milja	(Milju, Milju, Milju)
Mina	(Minu, Minu, Minu)
Minna	(Minnu, Minnu, Minnu)
Mira	(Miru, Miru, Miru)
Miriam	(Miriam, Miriam, Miriamar)
Mirja	(Mirju, Mirju, Mirju)
Mirjam	(Mirjam, Mirjam, Mirjamar)
Mona	(Monu, Monu, Monu)
Monika	(Moniku, Moniku, Moniku)
Morið	(Morið, Morið, Moriðar)
Mortan	(Mortan, Mortani, Mortans)
Mórits	(Mórits, Móritsi, Móritsar*)
Mórus	(Mórus, Mórusi, Mórusar*)
Móses	(Móses, Mósesi, Mósesar*)
Myrna	(Myrnu, Myrnu, Myrnu)
Mækir	(Mækir, Mæki, Mækis)
