Naddoddur	(Naddodd, Naddoddi, Naddods)
Naina	(Nainu, Nainu, Nainu)
Nanna	(Nannu, Nannu, Nannu)
Nanný	(Nanný, Nanný, Nannýar)
Nansý	(Nansý, Nansý, Nansýar)
Naomi	(Naomi, Naomi, Naomiar)
Napoleon	(Napoleon, Napoleoni, Napoleons)
Narvi	(Narva, Narva, Narva)
Natalia	(Nataliu, Nataliu, Nataliu)
Natanael	(Natanael, Natanaeli, Natanaels)
Natasja	(Natasju, Natasju, Natasju)
Nátan	(Nátan, Nátani, Nátans)
Nemus	(Nemus, Nemusi, Nemusar*)
Niels	(Niels, Nielsi, Niels)
Niklas	(Niklas, Niklasi, Niklasar*)
Niklái	(Nikláa, Nikláa, Nikláa)
Nikodemus	(Nikodemus, Nikodemusi, Nikodemusar*)
Nikolas	(Nikolas, Nikolasi, Nikolasar*)
Nikolina	(Nikolinu, Nikolinu, Nikolinu)
Nils	(Nils, Nilsi, Nils)
Nina	(Ninu, Ninu, Ninu)
Ninna	(Ninnu, Ninnu, Ninnu)
Nita	(Nitu, Nitu, Nitu)
Njál	(Njál, Njáli, Njáls)
Njálur	(Njál, Njáli, Njáls)
Nomi	(Nomi, Nomi, Nomiar)
Noomi	(Noomi, Noomi, Noomiar)
Nora	(Noru, Noru, Noru)
Norðbjørt	(Norðbjørt, Norðbjørt, Norðbjartar)
Norðleivur	(Norðleiv, Norðleivi, Norðleivs)
Norma	(Normu, Normu, Normu)
Nóam	(Nóam, Nóami, Nóams)
Nóel	(Nóel, Nóeli, Nóels)
Nói	(Nóa, Nóa, Nóa)
Nóra	(Nóru, Nóru, Nóru)
