Oda	(Odu, Odu, Odu)
Oddbjørg	(Oddbjørg, Oddbjørg, Oddbjargar)
Oddbjørn	(Oddbjørn, Oddbjørn/Oddbirni, Oddbjarnar/Oddbjørns)
Oddfinnur	(Oddfinn, Oddfinni, Oddfins)
Oddfríð	(Oddfríð, Oddfríð, Oddfríðar)
Oddfríður	(Oddfríð, Oddfríði, Oddfríðs)
Oddgeir	(Oddgeir, Oddgeiri, Oddgeirs)
Oddgerð	(Oddgerð, Oddgerð, Oddgerðar)
Oddleivur	(Oddleiv, Oddleivi, Oddleivs)
Oddleyg	(Oddleyg, Oddleyg, Oddleygar)
Oddmar	(Oddmar, Oddmari, Oddmars)
Oddmundur	(Oddmund, Oddmundi, Oddmundar/Oddmunds)
Oddný	(Oddný, Oddný, Oddnýar)
Oddrún	(Oddrún, Oddrún, Oddrúnar)
Oddur	(Odd, Oddi, Ods)
Oddvaldur	(Oddvald, Oddvaldi, Oddvalds)
Oddvar	(Oddvar, Oddvari, Oddvars)
Oddvá	(Oddvá, Oddvá, Oddváar)
Oddveig	(Oddveig, Oddveig, Oddveigar)
Oddvør	(Oddvør, Oddvør, Oddvarar)
Olga	(Olgu, Olgu, Olgu)
Olgar	(Olgar, Olgari, Olgars)
Olivia	(Oliviu, Oliviu, Oliviu)
Olivina	(Olivinu, Olivinu, Olivinu)
Olivur	(Olivur, Olivuri, Olivurs)
Oluffa	(Oluffu, Oluffu, Oluffu)
Onundur	(Onund, Onundi, Onundar)
Ormar	(Ormar, Ormari, Ormars)
Ormstein	(Ormstein, Ormsteini, Ormsteins)
Ormur	(Orm, Ormi, Orms)
Orri	(Orra, Orra, Orra)
Oskar	(Oskar, Oskari, Oskars)
Ottar	(Ottar, Ottari, Ottars)
Otto	(Otto, Otto, Ottos)
Ovi	(Ova, Ova, Ova)
Oydis	(Oydis, Oydis, Oydisar)
Oygerð	(Oygerð, Oygerð, Oygerðar)
Oygló	(Oygló, Oygló, Oyglóar)
Oygrímur	(Oygrím, Oygrími, Oygríms)
Oyleivur	(Oyleiv, Oyleivi, Oyleivs)
Oyleyg	(Oyleyg, Oyleyg, Oyleygar)
Oymundur	(Oymund, Oymundi, Oymundar/Oymunds)
Oyolvur	(Oyolv, Oyolvi, Oyolvs)
Oystein	(Oystein, Oysteini, Oysteins)
Oyvindur	(Oyvind, Oyvindi, Oyvindar)
Oyvør	(Oyvør, Oyvør, Oyvarar)
