Palli	(Palla, Palla, Palla)
Palma	(Palmu, Palmu, Palmu)
Paula	(Paulu, Paulu, Paulu)
Pauli	(Paula, Paula, Paula)
Paulina	(Paulinu, Paulinu, Paulinu)
Pavla	(Pavlu, Pavlu, Pavlu)
Pál	(Pál, Páli, Páls)
Páll	(Páll, Pálli, Páls)
Pálma	(Pálmu, Pálmu, Pálmu)
Pátrikur	(Pátrik, Pátriki, Pátriks)
Per	(Per, Peri, Pers)
Petra	(Petru, Petru, Petru)
Petrina	(Petrinu, Petrinu, Petrinu)
Petur	(Petur, Peturi, Peturs)
Píl	(Píl, Píl, Pílar)
Poli	(Pola, Pola, Pola)
Poul	(Poul, Pouli, Pouls)
Poula	(Poulu, Poulu, Poulu)
Poulina	(Poulinu, Poulinu, Poulinu)
Pól	(Pól, Póli, Póls)
Póla	(Pólu, Pólu, Pólu)
Pólina	(Pólinu, Pólinu, Pólinu)
Pætur	(Pætur, Pæturi, Pæturs)
