Rafael	(Rafael, Rafaeli, Rafaels)
Ragna	(Ragnu, Ragnu, Ragnu)
Ragnar	(Ragnar, Ragnari, Ragnars)
Ragnfríð	(Ragnfríð, Ragnfríð, Ragnfríðar)
Ragnheiður	(Ragnheiður/Ragnheiði, Ragnheiður/Ragnheiði, Ragnheiðar)
Ragnhild	(Ragnhild, Ragnhild, Ragnhildar)
Ragnvaldur	(Ragnvald, Ragnvaldi, Ragnvalds)
Ragnvør	(Ragnvør, Ragnvør, Ragnvarar)
Rakul	(Rakul, Rakul, Rakular)
Randarsól	(Randarsól, Randarsól, Randarsólar)
Randfríð	(Randfríð, Randfríð, Randfríðar)
Randi	(Randi, Randi, Randiar)
Randið	(Randið, Randið, Randiðar)
Randver	(Randver, Randveri, Randvers)
Rani	(Rana, Rana, Rana)
Ranja	(Ranju, Ranju, Ranju)
Rannfríð	(Rannfríð, Rannfríð, Rannfríðar)
Rannvá	(Rannvá, Rannvá, Rannváar)
Rannveig	(Rannveig, Rannveig, Rannveigar)
Rannvør	(Rannvør, Rannvør, Rannvarar)
Rasmus	(Rasmus, Rasmusi, Rasmusar*)
Ravnhild	(Ravnhild, Ravnhild, Ravnhildar)
Ravnur	(Ravn, Ravni, Ravns)
Rebekka	(Rebekku, Rebekku, Rebekku)
Regin	(Regin, Regini, Regins)
Reiðar	(Reiðar, Reiðari, Reiðars)
Reiðgunn	(Reiðgunn, Reiðgunn, Reiðgunnar)
Reiðunn	(Reiðunn, Reiðunn, Reiðunnar)
Reimar	(Reimar, Reimari, Reimars)
Reinaldur	(Reinald, Reinaldi, Reinalds)
Reinar	(Reinar, Reinari, Reinars)
Renata	(Renatu, Renatu, Renatu)
Revna	(Revnu, Revnu, Revnu)
Ria	(Riu, Riu, Riu)
Rikard	(Rikard, Rikardi, Rikards)
Rikka	(Rikku, Rikku, Rikku)
Rita	(Ritu, Ritu, Ritu)
Ritva	(Ritvu, Ritvu, Ritvu)
Ríkaldur	(Ríkald, Ríkaldi, Ríkalds)
Ríkin	(Ríkin, Ríkini, Ríkins)
Robert	(Robert, Roberti, Roberts)
Roda	(Rodu, Rodu, Rodu)
Rodleivur	(Rodleiv, Rodleivi, Rodleivs)
Rodmar	(Rodmar, Rodmari, Rodmars)
Rodmundur	(Rodmund, Rodmundi, Rodmundar/Rodmunds)
Roði	(Roða, Roða, Roða)
Ronja	(Ronju, Ronju, Ronju)
Ronni	(Ronna, Ronna, Ronna)
Royða	(Royðu, Royðu, Royðu)
Ró	(Ró, Ró, Róar)
Róa	(Róu, Róu, Róu)
Róaldur	(Róald, Róaldi, Róalds)
Róar	(Róar, Róari, Róars)
Róða	(Róðu, Róðu, Róðu)
Róðbjartur	(Róðbjart, Róðbjarti, Róðbjarts)
Róðolvur	(Róðolv, Róðolvi, Róðolvs)
Rógvi	(Rógva, Rógva, Rógva)
Róhild	(Róhild, Róhild, Róhildar)
Rói	(Róa, Róa, Róa)
Rókur	(Rók, Róki, Róks)
Róland	(Róland, Rólandi, Rólands)
Rólant	(Rólant, Rólanti, Rólants)
Rólvur	(Rólv, Rólvi, Rólvs)
Rómundur	(Rómund, Rómundi, Rómundar/Rómunds)
Rósa	(Rósu, Rósu, Rósu)
Rósingur	(Rósing, Rósingi, Rósings)
Rubekur	(Rubek, Rubeki, Rubeks)
Ruben	(Ruben, Rubeni, Rubens)
Rut	(Rut, Rut, Rutar)
Rutt	(Rutt, Rutt, Ruttar)
Rún	(Rún, Rún, Rúnar)
Rúna	(Rúnu, Rúnu, Rúnu)
Rúnar	(Rúnar, Rúnari, Rúnars)
Rúni	(Rúna, Rúna, Rúna)
Rúnolvur	(Rúnolv, Rúnolvi, Rúnolvs)
Røgnvaldur	(Røgnvald, Røgnvaldi, Røgnvalds)
Røskva	(Røskvu, Røskvu, Røskvu)
