Sakarias	(Sakarias, Sakariasi, Sakariasar*)
Sakaris	(Sakaris, Sakarisi, Sakarisar*)
Sakir	(Sakir, Sakiri, Sakirs)
Saksi	(Saksa, Saksa, Saksa)
Salbjørg	(Salbjørg, Salbjørg, Salbjargar)
Saldis	(Saldis, Saldis, Saldisar)
Salgerð	(Salgerð, Salgerð, Salgerðar)
Salmundur	(Salmund, Salmundi, Salmundar/Salmunds)
Salný	(Salný, Salný, Salnýar)
Saloma	(Salomu, Salomu, Salomu)
Salvør	(Salvør, Salvør, Salvarar)
Samson	(Samson, Samsoni, Samsons)
Sandra	(Sandru, Sandru, Sandru)
Sandur	(Sandur, Sanduri, Sandurs)
Sanna	(Sonnu/Sannu, Sonnu/Sannu, Sonnu/Sannu)
Saranja	(Saranju, Saranju, Saranju)
Sarita	(Saritu, Saritu, Saritu)
Sálamon	(Sálamon, Sálamoni, Sálamons)
Sálomon	(Sálomon, Sálomoni, Sálomons)
Sámal	(Sámal, Sámali, Sámals)
Sámuel	(Sámuel, Sámueli, Sámuels)
Sámur	(Sám, Sámi, Sáms)
Sára	(Sáru, Sáru, Sáru)
Sebastian	(Sebastian, Sebastiani, Sebastians)
Selena	(Selenu, Selenu, Selenu)
Selinda	(Selindu, Selindu, Selindu)
Selma	(Selmu, Selmu, Selmu)
Selmar	(Selmar, Selmari, Selmars)
Senita	(Senitu, Senitu, Senitu)
Servin	(Servin, Servini, Servinar)
Sesilia	(Sesiliu, Sesiliu, Sesiliu)
Set	(Set, Seti, Sets)
Sevrin	(Sevrin, Sevrini, Sevrinar)
Sigbjartur	(Sigbjart, Sigbjarti, Sigbjarts)
Sigbjørg	(Sigbjørg, Sigbjørg, Sigbjargar)
Sigbjørn	(Sigbjørn, Sigbjørn/Sigbirni, Sigbjarnar/Sigbjørns)
Sigborg	(Sigborg, Sigborg, Sigborgar)
Sigbrandur	(Sigbrand, Sigbrandi, Sigbrands)
Sigbrit	(Sigbrit, Sigbrit, Sigbritar)
Sigfríð	(Sigfríð, Sigfríð, Sigfríðar)
Sigfríður	(Sigfríð, Sigfríði, Sigfríðs)
Sigfús	(Sigfús, Sigfúsi, Sigfús)
Sigga	(Siggu, Siggu, Siggu)
Sighvatur	(Sighvat, Sighvati, Sighvats)
Sigmar	(Sigmar, Sigmari, Sigmars)
Sigmundur	(Sigmund, Sigmundi, Sigmundar/Sigmunds)
Signa	(Signu, Signu, Signu)
Signar	(Signar, Signari, Signars)
Signhard	(Signhard, Signhardi, Signhards)
Signheðin	(Signheðin, Signheðini, Signheðins)
Signhild	(Signhild, Signhild, Signhildar)
Signild	(Signild, Signild, Signildar)
Signuva	(Signuvu, Signuvu, Signuvu)
Signý	(Signý, Signý, Signýar)
Sigrið	(Sigrið, Sigrið, Sigriðar)
Sigrun	(Sigrun, Sigrun, Sigrunar)
Sigtór	(Sigtór, Sigtóri, Sigtórs)
Sigurbjørg	(Sigurbjørg, Sigurbjørg, Sigurbjargar)
Sigurd	(Sigurd, Sigurdi, Sigurdar/Sigurds)
Sigurð	(Sigurð, Sigurði, Sigurðar/Sigurðs)
Sigurgunn	(Sigurgunn, Sigurgunn, Sigurgunnar)
Sigurleyg	(Sigurleyg, Sigurleyg, Sigurleygar)
Sigursól	(Sigursól, Sigursól, Sigursólar)
Sigvaldur	(Sigvald, Sigvaldi, Sigvalds)
Sigvar	(Sigvar, Sigvari, Sigvars)
Sigvør	(Sigvør, Sigvør, Sigvarar)
Silas	(Silas, Silasi, Silasar*)
Silja	(Silju, Silju, Silju)
Silrið	(Silrið, Silrið, Silriðar)
Silvia	(Silviu, Silviu, Silviu)
Silvurlín	(Silvurlín, Silvurlín, Silvurlínar)
Simona	(Simonu, Simonu, Simonu)
Sirið	(Sirið, Sirið, Siriðar)
Sirius	(Sirius, Siriusi, Siriusar*)
Sissal	(Sissal, Sissal, Sissalar)
Siv	(Siv, Siv, Sivjar)
Símeon	(Símeon, Símeoni, Símeons)
Símun	(Símun, Símuni, Símunar)
Sívar	(Sívar, Sívari, Sívars)
Sjúrði	(Sjúrða, Sjúrða, Sjúrða)
Sjúrður	(Sjúrð, Sjúrði, Sjúrðar)
Skeggi	(Skeggja, Skeggja, Skeggja)
Skofti	(Skofta, Skofta, Skofta)
Skúvur	(Skúv, Skúvi, Skúvs)
Smæra	(Smæru, Smæru, Smæru)
Sniolvur	(Sniolv, Sniolvi, Sniolvs)
Snjófríð	(Snjófríð, Snjófríð, Snjófríðar)
Snorri	(Snorra, Snorra, Snorra)
Snæbjørg	(Snæbjørg, Snæbjørg, Snæbjargar)
Snæbjørn	(Snæbjørn, Snæbjørn/Snæbirni, Snæbjarnar/Snæbjørns)
Snæfríð	(Snæfríð, Snæfríð, Snæfríðar)
Snæleyg	(Snæleyg, Snæleyg, Snæleygar)
Snæúlvur	(Snæúlv, Snæúlvi, Snæúlvs)
Snævar	(Snævar, Snævari, Snævars)
Sofía	(Sofíu, Sofíu, Sofíu)
Sofus	(Sofus, Sofusi, Sofusar*)
Solveig	(Solveig, Solveig, Solveigar)
Sonja	(Sonju, Sonju, Sonju)
Sonnhard	(Sonnhard, Sonnhardi, Sonnhards)
Sonni	(Sonna, Sonna, Sonna)
Sól	(Sól, Sól, Sólar)
Sólbirta	(Sólbirtu, Sólbirtu, Sólbirtu)
Sólbjartur	(Sólbjart, Sólbjarti, Sólbjarts)
Sólbjørg	(Sólbjørg, Sólbjørg, Sólbjargar)
Sólbjørn	(Sólbjørn, Sólbjørn/Sólbirni, Sólbjarnar/Sólbjørns)
Sólbjørt	(Sólbjørt, Sólbjørt, Sólbjartar)
Sólborg	(Sólborg, Sólborg, Sólborgar)
Sólbrá	(Sólbrá, Sólbrá, Sólbráar)
Sólbrit	(Sólbrit, Sólbrit, Sólbritar)
Sólbrún	(Sólbrún, Sólbrún, Sólbrúnar)
Sóldís	(Sóldís, Sóldís, Sóldísar)
Sóleyð	(Sóleyð, Sóleyð, Sóleyðar)
Sólfinnur	(Sólfinn, Sólfinni, Sólfins)
Sólfríð	(Sólfríð, Sólfríð, Sólfríðar)
Sólgerð	(Sólgerð, Sólgerð, Sólgerðar)
Sólja	(Sólju, Sólju, Sólju)
Sólmundur	(Sólmund, Sólmundi, Sólmundar/Sólmunds)
Sólrið	(Sólrið, Sólrið, Sólriðar)
Sólrun	(Sólrun, Sólrun, Sólrunar)
Sólvá	(Sólvá, Sólvá, Sólváar)
Sólveig	(Sólveig, Sólveig, Sólveigar)
Sólvør	(Sólvør, Sólvør, Sólvarar)
Sproti	(Sprota, Sprota, Sprota)
Stefan	(Stefan, Stefani, Stefans)
Stefania	(Stefaniu, Stefaniu, Stefaniu)
Steffan	(Steffan, Steffani, Steffans)
