Tabita	(Tabitu, Tabitu, Tabitu)
Talita	(Talitu, Talitu, Talitu)
Tamara	(Tamaru, Tamaru, Tamaru)
Tanja	(Tanju, Tanju, Tanju)
Tea	(Teu, Teu, Teu)
Teinar	(Teinar, Teinari, Teinars)
Teitrun	(Teitrun, Teitrun, Teitrunar)
Teitur	(Teit, Teiti, Teits)
Tekla	(Teklu, Teklu, Teklu)
Teodor	(Teodor, Teodori, Teodors)
Teresa	(Teresu, Teresu, Teresu)
Terji	(Terja, Terja, Terja)
Tina	(Tinu, Tinu, Tinu)
Tinna	(Tinnu, Tinnu, Tinnu)
Tita	(Titu, Titu, Titu)
Tíðrikur	(Tíðrik, Tíðriki, Tíðriks)
Tístram	(Tístram, Tístrami, Tístrams)
Tjálvi	(Tjálva, Tjálva, Tjálva)
Tjóðhild	(Tjóðhild, Tjóðhild, Tjóðhildar)
Tjóðolvur	(Tjóðolv, Tjóðolvi, Tjóðolvs)
Tobias	(Tobias, Tobiasi, Tobiasar*)
Tollakur	(Tollak, Tollaki, Tollaks)
Tomasia	(Tomasiu, Tomasiu, Tomasiu)
Tonni	(Tonna, Tonna, Tonna)
Torbera	(Torberu, Torberu, Torberu)
Torbergur	(Torberg, Torbergi, Torbergs)
Torbjørg	(Torbjørg, Torbjørg, Torbjargar)
Torbjørn	(Torbjørn, Torbjørn/Torbirni, Torbjarnar/Torbjørns)
Torbjørt	(Torbjørt, Torbjørt, Torbjartar)
Torborg	(Torborg, Torborg, Torborgar)
Torbrandur	(Torbrand, Torbrandi, Torbrands)
Tordis	(Tordis, Tordis, Tordisar)
Torfinna	(Torfinnu, Torfinnu, Torfinnu)
Torfinnur	(Torfinn, Torfinni, Torfins)
Torfríð	(Torfríð, Torfríð, Torfríðar)
Torfríður	(Torfríð, Torfríði, Torfríðs)
Torgeir	(Torgeir, Torgeiri, Torgeirs)
Torgerð	(Torgerð, Torgerð, Torgerðar)
Torgestur	(Torgest, Torgesti, Torgests)
Torgrímur	(Torgrím, Torgrími, Torgríms)
Torgunn	(Torgunn, Torgunn, Torgunnar)
Torgunna	(Torgunnu, Torgunnu, Torgunnu)
Torkil	(Torkil, Torkili, Torkils)
Torleivur	(Torleiv, Torleivi, Torleivs)
Torleyg	(Torleyg, Torleyg, Torleygar)
Torleygur	(Torleyg, Torleygi, Torleygs)
Tormann	(Tormann, Tormanni, Tormans)
Tormar	(Tormar, Tormari, Tormars)
Tormóður	(Tormóð, Tormóði, Tormóðs/Tormóðar)
Tormundur	(Tormund, Tormundi, Tormundar/Tormunds)
Torný	(Torný, Torný, Tornýar)
Torri	(Torra, Torra, Torra)
Torstein	(Torstein, Torsteini, Torsteins)
Torvaldur	(Torvald, Torvaldi, Torvalds)
Torvør	(Torvør, Torvør, Torvarar)
Tova	(Tovu, Tovu, Tovu)
Tóki	(Tóka, Tóka, Tóka)
Tóna	(Tónu, Tónu, Tónu)
Tóra	(Tóru, Tóru, Tóru)
Tóraldur	(Tórald, Tóraldi, Tóralds)
Tórarin	(Tórarin, Tórarini, Tórarins)
Tórálvur	(Tórálv, Tórálvi, Tórálvs)
Tórður	(Tórð, Tórði, Tórðar)
Tórhalla	(Tórhallu, Tórhallu, Tórhallu)
Tórhallur	(Tórhall, Tórhalli, Tórhals)
Tórheðin	(Tórheðin, Tórheðini, Tórheðins)
Tórhild	(Tórhild, Tórhild, Tórhildar)
Tóri	(Tóra, Tóra, Tóra)
Tórir	(Tórir, Tóri, Tóris)
Tóroddur	(Tórodd, Tóroddi, Tórods)
Tórolvur	(Tórolv, Tórolvi, Tórolvs)
Tórunn	(Tórunn, Tórunn, Tórunnar)
Tórur	(Tór, Tóri, Tórs)
Tóta	(Tótu, Tótu, Tótu)
Tóti	(Tóta, Tóta, Tóta)
Tóva	(Tóvu, Tóvu, Tóvu)
Tráin	(Tráin, Tráini, Tráins)
Treysti	(Treysta, Treysta, Treysta)
Trina	(Trinu, Trinu, Trinu)
Tristan	(Tristan, Tristani, Tristans)
Tróndur	(Trónd, Tróndi, Tróndar)
Trygvi	(Trygva, Trygva, Trygva)
Trøstur	(Trøst, Trøsti, Trastar)
Tummas	(Tummas, Tummasi, Tummasar*)
Turið	(Turið, Turið, Turiðar)
Tyrni	(Tyrna, Tyrna, Tyrna)
Tyrnir	(Tyrnir, Tyrni, Tyrnis)
Týra	(Týru, Týru, Týru)
Týrur	(Týr, Týri, Týrs)
