Vagna	(Vagnu, Vagnu, Vagnu)
Vagnar	(Vagnar, Vagnari, Vagnars)
Vagnur	(Vagn, Vagni, Vagns)
Valbergur	(Valberg, Valbergi, Valbergs)
Valbjørg	(Valbjørg, Valbjørg, Valbjargar)
Valbjørn	(Valbjørn, Valbjørn/Valbirni, Valbjarnar/Valbjørns)
Valborg	(Valborg, Valborg, Valborgar)
Valbrandur	(Valbrand, Valbrandi, Valbrands)
Valdi	(Valda, Valda, Valda)
Valdimar	(Valdimar, Valdimari, Valdimars)
Valdis	(Valdis, Valdis, Valdisar)
Valgerð	(Valgerð, Valgerð, Valgerðar)
Vár	(Vár, Vár, Várar)
Várdis	(Várdis, Várdis, Várdisar)
Váreyð	(Váreyð, Váreyð, Váreyðar)
Vensil	(Vensil, Vensili, Vensils)
Vera	(Veru, Veru, Veru)
Vermundur	(Vermund, Vermundi, Vermundar/Vermunds)
Vernar	(Vernar, Vernari, Vernars)
Vestar	(Vestar, Vestari, Vestars)
Veturliði	(Veturliða, Veturliða, Veturliða)
Vigdis	(Vigdis, Vigdis, Vigdisar)
Vigfús	(Vigfús, Vigfúsi, Vigfús)
Viggo	(Viggo, Viggo, Viggos)
Viktor	(Viktor, Viktori, Viktors)
Viktoria	(Viktoriu, Viktoriu, Viktoriu)
Vilbergur	(Vilberg, Vilbergi, Vilbergs)
Vilbjørg	(Vilbjørg, Vilbjørg, Vilbjargar)
Vilbjørt	(Vilbjørt, Vilbjørt, Vilbjartar)
Vilborg	(Vilborg, Vilborg, Vilborgar)
Vilgerð	(Vilgerð, Vilgerð, Vilgerðar)
Vilhelm	(Vilhelm, Vilhelmi, Vilhelms)
Vilhjálmur	(Vilhjálm, Vilhjálmi, Vilhjálms)
Viljam	(Viljam, Viljami, Viljams)
Viljormur	(Viljorm, Viljormi, Viljorms)
Villi	(Villa, Villa, Villa)
Villiam	(Villiam, Villiami, Villiams)
Vilmar	(Vilmar, Vilmari, Vilmars)
Vilmundur	(Vilmund, Vilmundi, Vilmundar/Vilmunds)
Vinjar	(Vinjar, Vinjari, Vinjars)
Vinný	(Vinný, Vinný, Vinnýar)
Vinsi	(Vinsa, Vinsa, Vinsa)
Vióla	(Viólu, Viólu, Viólu)
Virgar	(Virgar, Virgari, Virgars)
Vitus	(Vitus, Vitusi, Vitusar*)
Vivia	(Viviu, Viviu, Viviu)
Vígbaldur	(Vígbald, Vígbaldi, Vígbalds)
Vígbrandur	(Vígbrand, Vígbrandi, Vígbrands)
Vígdis	(Vígdis, Vígdis, Vígdisar)
Víggrímur	(Víggrím, Víggrími, Víggríms)
Vígúlvur	(Vígúlv, Vígúlvi, Vígúlvs)
Vívil	(Vívil, Vívili, Vívils)
Volmar	(Volmar, Volmari, Volmars)
Vón	(Vón, Vón, Vónar)
Vónbjartur	(Vónbjart, Vónbjarti, Vónbjarts)
Vónbjørt	(Vónbjørt, Vónbjørt, Vónbjartar)
Væna	(Vænu, Vænu, Vænu)
Vøggur	(Vøgg, Vøggi, Vøgs)
Vølundur	(Vølund, Vølundi, Vølundar/Vølunds)
