Ábal	(Ábal, Ábali, Ábals)
Ábraham	(Ábraham, Ábrahami, Ábrahams)
Ábram	(Ábram, Ábrami, Ábrams)
Ábria	(Ábriu, Ábriu, Ábriu)
Ádam	(Ádam, Ádami, Ádams)
Áki	(Áka, Áka, Áka)
Álvdis	(Álvdis, Álvdis, Álvdisar)
Álvfinnur	(Álvfinn, Álvfinni, Álvfins)
Álvgeir	(Álvgeir, Álvgeiri, Álvgeirs)
Álvgerð	(Álvgerð, Álvgerð, Álvgerðar)
Álvheðin	(Álvheðin, Álvheðini, Álvheðins)
Álvheiður	(Álvheiður/Álvheiði, Álvheiður/Álvheiði, Álvheiðar)
Álvhild	(Álvhild, Álvhild, Álvhildar)
Álvur	(Álv, Álvi, Álvs)
Ámundur	(Ámund, Ámundi, Ámundar/Ámunds)
Ánan	ia (Ánaniu, Ánaniu, Ánaniu)
Ánanias	(Ánanias, Ánaniasi, Ánaniasar*)
Ánias	(Ánias, Ániasi, Ániasar*)
Ápraham	(Ápraham, Áprahami, Áprahams)
Ápram	(Ápram, Áprami, Áprams)
Árant	(Árant, Áranti, Árants)
Ári	(Ára, Ára, Ára)
Árna	(Árnu, Árnu, Árnu)
Árni	(Árna, Árna, Árna)
Áron	(Áron, Ároni, Árons)
Ása	(Ásu, Ásu, Ásu)
Ásar	(Ásar, Ásari, Ásars)
Ásbera	(Ásberu, Ásberu, Ásberu)
Ásbergur	(Ásberg, Ásbergi, Ásbergs)
Ásbjørg	(Ásbjørg, Ásbjørg, Ásbjargar)
Ásbjørn	(Ásbjørn, Ásbjørn/Ásbirni, Ásbjarnar/Ásbjørns)
Ásbrandur	(Ásbrand, Ásbrandi, Ásbrands)
Ásdis	(Ásdis, Ásdis, Ásdisar)
Ásfinnur	(Ásfinn, Ásfinni, Ásfins)
Ásfríð	(Ásfríð, Ásfríð, Ásfríðar)
Ásgeir	(Ásgeir, Ásgeiri, Ásgeirs)
Ásgerð	(Ásgerð, Ásgerð, Ásgerðar)
Ásgrímur	(Ásgrím, Ásgrími, Ásgríms)
Áshild	(Áshild, Áshild, Áshildar)
Ási	(Ása, Ása, Ása)
Áskil	(Áskil, Áskili, Áskils)
Ásla	(Áslu, Áslu, Áslu)
Áslakur	(Áslak, Áslaki, Áslaks)
Ásleivur	(Ásleiv, Ásleivi, Ásleivs)
Ásleyg	(Ásleyg, Ásleyg, Ásleygar)
Ásmóður	(Ásmóð, Ásmóði, Ásmóðs/Ásmóðar)
Ásmundur	(Ásmund, Ásmundi, Ásmundar/Ásmunds)
Ássvein	(Ássvein, Ássveini, Ássveins)
Ásta	(Ástu, Ástu, Ástu)
Ásthild	(Ásthild, Ásthild, Ásthildar)
Ástrið	(Ástrið, Ástrið, Ástriðar)
Ásvaldur	(Ásvald, Ásvaldi, Ásvalds)
Ásvar	(Ásvar, Ásvari, Ásvars)
Ásvarður	(Ásvarð, Ásvarði, Ásvarðs)
Ásvør	(Ásvør, Ásvør, Ásvarar)
Ávaldur	(Ávald, Ávaldi, Ávalds)
