а...	framman fyri sjálvljóðiан...,forskoyti í fremmandum orðum, gevur mótsettan týdninga-, ó-t.d.асимметри́ческий asymmetriskur [asʏm-]; амора́льный ómoralskur [-raː-]
а1	Iconj1.adversmen, harafturímóti [-aʰtː-], og; он пое́хал, a я оста́лся hann fór (avstað [aꞋstεa]), men eg varð verandi; ты́ мо́лод, а он стар tú ert ungur, men hann er gamal; tú ert ungur, og hann er gamal; пиши́ ру́чкой, а не карандашо́м skriva við penni og ikki við blýanti; она́ всё рабо́тает, а он ничего́ не де́лает hon arbeiðir í heilum, men hann ger einki2.conceskortini, allíkavæl [aꞋlʊi-]ннк;tó at; хотя́ я о́чень за́нят, а туда́ я всё же пое́ду sjálvt [ʃɔl̥t] um eg havi nógv um at vera, (so) fari eg kortini hagar; расхвали́те его́ как хоти́те, а я с ним рабо́тать не бу́ду tit kunnu rósa honum, sum tit vilja, (men) eg fari (so) ikki at arbeiða saman við honum3.(однако, тем не менее) og, men; уже́ де́вять часо́в, а ты ещё не встал klokkan er longu níggju, og tú ert ikki uppi enn4.conjunog; она́ улыбну́лась, а э́то был нехоро́ший при́знак hon smíltist, og tað var ikki gott tekn [tʰεkn]; на горе́ дом, а под горо́й ре́чка á heygnum [hεin-] standa eini hús, og undir heygnum [hεin-] er ein á; а потому́ {поэ́тому} og tí, tessvegnaкн.,офиц.; а сле́довательно sostatt, tískil, altso [al̥so]5.(aftan á noktan) men; не я, а мой брат tað er ikki eg, men beiggi mín; не похвала́, а насме́шка tað er ikki rós, men heldur spott6.(если) um, vissннкили переводится при помощи обратного порядка слов; а не понима́ешь, так и не говори́ viss(i)ннкtú ikki forstendur [-Ꞌstε-]ннкtað, so lat vera við at siga nakað; forstendur [-Ꞌstε-]ннкtú tað ikki, so lat vera við at siga nakað; skilur tú tað ikki, so lat vera við at siga nakað@а не тоsíа то a);а тоa)eis.а не то (иначе) annars; переста́нь, а (не) то уйду́ halt uppat [ʊꞋpʰεat] við tær, annars rými eg; она́ попроси́ла нас помо́чь ей, а то, мол, опозда́ет hon bað okkum hjálpa sær, annars kom hon ov [ɔ] seint; b) (на самом деле) í roynd og veru, tá samanum [-Ꞌʊmː] kemur; е́сли бы бы́ло так, a то всё наоборо́т hevði tað verið so væl, men tað er beint tvørturímóti; c)tlm.(потому что) tí atella tað verður ikki umsett; откро́й окно́, a то жа́рко lat vindeygað upp, (tí) tað er so heitt;а то́! {а то ка́к же!}óvkm.ikki um at tala, sjálvandi; замёрз? - А то́! Моро́з на дворе́ ert tú kaldur? - Um eg eri! Tað frystir uttanfyri; он пойдёт? - А то́! Дожида́йся! fer hann? - Um hann fer! Bíða bara; =>и́менно@
а2	IIpart1.intens, skal ofta ikki umsetast/часто не переводитсяog, hvussuvið Дат; а как его́ зову́т? (og) hvussu eitur hann (so)?; Лю́да пое́хала в Москву́. - А Ни́на? Ljuda er farin til Moskva. - Og hvussu við Ninu?; Э́то Бе́рков. - А кто э́то? Hetta er Berkov, - (Og) hvør er hetta (so)?; а тебе́ како́е де́ло? hvat kemur tað tær við?; отку́да вы э́то зна́ете? а мне сестра́ сказа́ла hvar vita tygum hetta frá? Hvussu vita tygum hetta?- Systir mín fortaldi [-Ꞌtʰa-]ннкmær tað; а тепе́рь - спать! og nú er at fara í koyggjurnar!2.interrogtlm.ha, hvussuella verður ikki umsett; так э́то бы́ло, а? Var tað soleiðis, ella [εtla] hvussu?; пойдём гуля́ть, а? skulu vit ikki fara út at spasera [-Ꞌseː-]ннк(, ha)?; kom [kʰɔmː] út og spasera [-Ꞌseː-]ннк(, ha?).3.intens tá ein vendir sær til o-n, verður ikki umsett/не переводитсяНи́на, а Ни́на! ≈ Nina, Nina!@а ну тебе́!hav tú ein lort!вульг.; gakk avstað [aꞋstεa] við tær [vɪʰtaɹ]!
а3	IIIinter(выражение понимания,удивления и др.) á [ɔː], á ja [ɔjεa] (vísir, at ein skilur o-t,bilsni o.a.); á [ɔː], á so [ɔꞋsoː]; hygga síggj; ikki eiti á; nei, álvara…! а, так э́то она́ была́! á, var tað hon!; а, попа́лся! nú fingu vit teg!
АА	[а-а́]plur stytt. fyriАнони́мные алкого́лики AA [a: ˈaː]с несклAnonymir [a:noˈnyː-] alkoholikarar [-ˈhoː-]мгл-ariмн
автосе́рвис	[eis, [-сэ́]]mбтлservicestøðir [-sœːɹvɪs-]ж0-irмн
Ааро́н	mbíbl.Áronм0{0<>i}
АБ	[а-бэ́]m indecl síАкционе́рныйбанк
Абада́н	mAbadan [aːpaꞋtaːn]м0{дат.0}
абажу́р	m(lampu)skermurмсогл-ar; (lampu)kupulм0осн-s,-ar(из стекла)
абази́нец	Gen, Accабази́нца;plurабази́н|цы, ~цев, ~цамmabasinari [aːpaꞋsiː-]мгл-ari, abasini [aːpaꞋsiː-]мгл-i
абази́нка	plurабази́н|ки, ~ок, ~камfabasinari [aːpaꞋsiː-]мгл-ari, abasini [aːpaꞋsiː-]мгл-i(konufólk)
абази́нский	adjabasinskur [aːpaꞋsiː-]соглnsk; абази́нский язы́к abasinsktприлskt
аба́к1	Im søg. (счетнся доска)abakus [aːpa-]жo-ar, roknirammaжгл-a(í forna Rom o.a.)
аба́к2	IIm arkit. síаба́ка
абака́	f1.(растение)planta úr slektini Musa(Musa textiis) (en.abacá; da.tekstilbanan,abacá)2.(волокно)tægrir avMusa textilis
аба́ка	f arkit.abakus [aːpa-]ж0-ar(pláta oman á kapiteli)
Абака́н	mAbakan [aːpaꞋkʰaːn]м0{дат.0}
абба́т	m1.(настоятель монастыря) abbatiмгл-i(í katólskum kleystri)2.(священнослужитель) katólskur [-Ꞌtʰɔu-] presturмсогл-ar
аббати́са	fabbadissa [-Ꞌtɪ-]жгл-a(í katólskum kleystri)
абба́тство	nkatólskt [-Ꞌtʰɔu-] klosturс0осн, katólskt [-Ꞌtʰɔu-] kleysturс0оснкн.
аббревиату́ра	fstyttingж0-ar
а́бвер	(eis. [-вэр])m týsk fregnartænasta 1919-1944(týskt Abwehr)
Аберди́н	mAberdeen [aːpεɹꞋtiːn]м0{дат.0}
аберрацио́нный	adj1.fys.aberrratión- (síаберра́ция1)2.fl.,bókl.(искажёенный) avlagaðurглaður, avbronglaðurглaður
аберра́ция	f1.fys.(искажение изображения) frábregði [-pɹeːjɪ]лпсгл-i, aberratión [-Ꞌʃɔun]ж0-irспец.2.fl., кн.(отклонение,заблуждение) avlaganж0-ir, avbronglanж0-ir; аберра́ция иде́й avlagan av hugsjónunum
абза́ц	m1.(красная строчка) nýggj reglaжгл-a; reglubrotс0о2.(часть текста) stykkiсгл-i, brotс0о, avsnittннкс0о@по́лный абза́цskemt.,jarg.ikki eiti á!; tað skal eg halda við!; hvussu í allari [atl-] víðu verð, hvar í allari [atl-] víðu verð (возмущение)
Абиджа́н	mAbidjan [aːpiꞋtʃaːn]м0{дат.0}
абисса́ль	fdjúphavс0о{a/ø}(niðan fyri 2 km dýpd)
абисса́льный	djúphavs- (síабисса́ль)
