б	part síбы
ба	intertlm.(удивление) nei, tað veit Gud!; hygga síggj (при появлении кого-л.,чего-л.); ба, да э́то мой однока́шник! mín sann er tað ikki mín gamli klassakammeratur [-raː-]ннкмсогл-ar
ба́ба1	If1.gml.(крестьянка) bóndakonaжгл-a2.óvkm., dial.(жена) konaжгл-a(hjúnafelagi)3.óvkm., skemt.(женщина) konufólkс0o; kelling [-tl-]ж0-arпренебр.4.fl.(о мужчине) kventilм0осн-s,-arпрезр., kventlut mannfólkс0o5.barn., dial.síба́бушка1, 26.(покрышка) hettaжгл-a(á tekannu o.tíl.)@сне́жная ба́баkavamaðurмнепр, snjókelling [-tl-]ж0-ar;лепи́ть (сне́жную) ба́буgeraнепрkavamann;ка́менная ба́баsteinkelling [-tl-]ж0-ar(forn steinmynd av konufólki) =>база́рный@,воз@,конь@,яйцо́@
ба́ба2	IIf(копра) kubbiмгл-i(á rambukki); plátuvibrator [-aː-]м0-tor; jomfrúжнепрспец., broleggarajomfrúжнепрспец.(amboð til stenseting) (ручная)
ба́ба3	IIIfmatg.: ро́мовая ба́ба rommbaba [-paː-]жгл-a, rommkakaжгл-a
баба́х	ljóðhermandi orðbumm, bang [paŋk] (от выстрела, взрыва); bums, tjums, dums (от падения чего-л.)
баба́хать	ipf síбаба́хнуть
баба́хнуть	баба́хн|у, ~ешь, ~утpf(ipfбаба́хать)tlm.síба́хнуть
баба́хнуться	баба́хн|усь, ~ешься, ~утсяpftlm.ба́хнуться
Ба́ба-Яга́	f-f1.munn.gandakelling, sum flýgur í einum mortara; ræður á skógunum o.a., býr í einum húsum á høsnabeinum(í russ. ævintýrum)2.tlm.(злая,сварливая женщина) britaжгл-aпренебр., groyggjс0о{+}{0<>i}пренебр., gívurж0оснпренебр.
бабби́т	mhvítmetallс0о
бабёнка	plurбабён|ки, ~ок, ~камfóvkm.gívurж0осннеодобр., groyggjс0о{+}{0<>i}неодобр.(um unga konu)
ба́бий	adjtlm.konufólka-, kellinga- [-tl-]пренебр.; kventluturсогл(женственный)@ба́бьи ска́зкиtlm.møsnс0о;ба́бье ле́тоheystlýkkaжгл-a
ба́бища	n óvkm.,niðr.prúdlig konaжгл-a; oyggjж0-ar{+}пренебр., snekkjaжгл-aпренебр.(prúð kona)
ба́бка1	Iplurба́б|ки, ~ок, ~камf1.síба́бушка12.tlm.(старуха) kelling [-tl-]ж0-arпренебр., gomul konaжгл-а3.gml.(повивальная бабка) nærkona [nεɹ̥k-]жгл-ауст.
ба́бка2	IIplurба́б|ки, ~ок, ~камf1.(надкопытный сустав) fótliður [fœʰt-]мсогл-s,-ir(á rossi)2.(кость) kongurмсогл-ar(bein)3.plur(игра) kongaspælс0о{æ/ø}; игра́ть в ба́бки kastaaðikongar4.tekn.(станка) spinnilм0осн-s,-ar(á dreyibeinki)5.pluróvkm.síба́бки
ба́бки	ба́б|ок, ~камf pluróvkm.pengarмгл-iмн=>подби́ть5
ба́бкин	adj óvkm.ommusaнескл,неформ., hjá [tʃʰ-]ommu
бабло́	njarg.pengarмгл-iмн; руби́ть бабло́ tjenaar(t)pengar
ба́бник	mtlm.konufólkarevurмсогл-ar
ба́бонька	plurба́боньки, ба́бонек, ба́бонькамfkel.avба́ба I
ба́бочка	f1.plurба́боч|ки, ~ек, ~камdjór.(насекомое) summarfuglurмсогл-ar, firvaldurнпмсогл-ar2.tlm.(галстук) butterfly [pɔʰtːεɹflai]ннкж0-ir, sloyfa [slœifa] (ред.[slɔifa])жгл-a(um hálsin)3.tlm., fag.: ночна́я ба́бочка (проститутка) horaжгл-aпренебр.@ стальна́я ба́бочкаbutterfly-knívur [pɔʰtːεɹflai-]мсогл-ar=>филе́1
ба́бский	adjóvkm.síба́бий
бабуи́н	m(Papio) bavianur [paːviꞋaː-]мсогл-ar
бабу́лин	adjtlm. ommusaенформ, hjá [tʃʰɔa] ommu
бабу́ля	f1.barn., kel.síба́бушка2.(старуха)tlm., kel.gomul konaжгл-a(eis. tá børn venda sær til fremmanda,eldri konu)
бабу́ся	f síбабу́ля
бабу́ши	бабу́ш, ~амf plur(mjúkir) inniskógvarмсогл-ar{+}мн
ба́бушка	plurба́буш|ки, ~ек, ~камf1.(мать отца или матери) ommaжгл-a2.tlm.(о старой женщине) gomul konaжгл-a, eldri konaжгл-a; ommaжгл-a(eldri kona)@ба́бушке (свое́й) расска́зывай! hatta kanst tú fortelja [-Ꞌtʰε-] ommu tíni!пог.=>на́двое@,Ю́рьев
ба́бушкин	adjommu-, hjá [tʃʰ-] ommu, ommusaнеформ.
бабьё	n kollóvkm.,vanv.konufólk(ið)с0о(опр.)
бава́рец	Gen, Accбава́рц|а;plur ~ы, ~ев, ~амmbayari [paij-]мгл-ari
Бава́рия	fBayern [paij-]с0{дат.0}
бава́рка	plurбава́р|ки, ~ок, ~камfbayari [paij-]мгл-ari(konufólk)
бава́рский	adjbayerskur [paij-]соглsk
баг	mteld., jarg.bug [pɔkː]м0-arопр, lúsжнепрред., комп.(brek í telduforriti)
