в	I (framman fyri summum samansetingum av hjáljóðumво)prepA+Acc1.(внутрь чего-л.) (inn, oman, út, upp, niður) í +Вин; (inn) á +Вин(о некоторых местностях и др.); (о странах, городах и т.п.) til +Gen, +Acc см стр&; в карма́н (niður) í lumman; в чемода́н (niður) í kuffertið; войти́ в дом fara inn í húsið; въе́хать в село́ fara inn í bygdina, koyra inn í bygdina; пое́хать в село́ fara avstað [-Ꞌstεa] til bygdina; он вошёл в сад hann fór inn í havan [haː-]; он пошёл в лес hann fór út í skógina; пойти́ в кино́ fara í biograf [piːoꞋkɹaːf]; зайти́ в кафе́ fara á kafé {kafe} [-Ꞌfeː]; пое́хать в Гренла́ндию fara til Grønlands [-lan̊s]; полете́ть в Москву́ flúgva til Moskva; (о фарерских городах-портах тжáв значении порта,о судах) в Фуглефьо́рд til Fuglafjarðar; á Fuglafjørð (о судне,идущем в порт); мышь упа́ла в бо́чку músin datt niður í tunnuna; мяч скати́лся в руче́й bólturin rullaði [-tl-] út í ánna, bólturin rullaði [-tl-] oman í ánna; она́ поста́вила всё в шкаф hon setti alt inn í skápið2.(при указании на время) í, á, umили не переводится; в семь часо́в klokkan sjey; два ра́за в день tvær ferðir um dagin; спать во́семь часо́в в су́тки sova átta tímar um samdøgrið; в сре́ду mikudagin; в про́шлую сре́ду seinasta mikudag; в э́тот день henda dagin; в день сва́дьбы brúdleypsdagin [pɹɪtlʊʰp-], á brúdleypsdegnum [prɪtlʊʰpsteːn-]; в ту ночь ta náttina; в таку́ю пого́ду í sovorðnum veðri [vεkɹɪ]; после́днее вре́мя í seinastuni, ta seinastu tíðina; в го́ды пе́рвой пятиле́тки undir fyrstu [fɪstʊ] fimmáraætlanini, в на́шу эпо́ху í okkara tíð; в да́нный пери́од nevnda tíðarskeið, í nevnda tíðarskeiði; в ту же мину́ту í somu løtu; в оди́н миг upp á eitt eygablikkннк; в войну́ undir krígnum [kʰɹʊinʊn]; в по́лночь á midnátt; в тридца́тые го́ды í tretivunumннк, í tríatiárunumнп3.(за;в течение чего-л.) upp á; я сде́лаю э́то в два дня eg geri hetta upp á tveir dagar, eg geri hetta eftir [εʰtː-] tveimum døgum4.(при обозначении величины,цены и т.п.)переводитсяupp áи др. или не переводится: моро́з в три гра́дуса tríggjar gradir [kɹaː-]ннкfrost; кварти́ра в четы́ре ко́мнаты ein fýra verilsisннкleiligheitннк; глубино́й в пять ме́тров fimm metrar djúpur; су́мма в миллио́н рубле́й eitt beløp [-løː-]ннкupp á eina millión [mɪʎꞋjɔun] rublar, ein upphædd upp á eina millión [mɪʎꞋjɔun] rublar5.(в качестве) sum; til+ Gen; взятького-л.в свиде́тели takao-ntil vitnis, takao-nsum vitni; привести́что-л.в доказа́тельство førao-tfram sum prógv6.(через) gjøgnum [-nʊn] +Вин; (út) (í)gjøgnum [-nʊn] +Вин; (inn) (í)gjøgnum [-nʊn] +Вин; смотре́ть в бино́кль kikaaði, hyggja í kikara; он посмотре́л {вы́глянул} в окно́ hann hugdi út gjøgnum [-nʊn] vindeygað [vɪntaijɪ] (реже[vɪntεija]); он загляну́л в окно́ hann hugdi (út) gjøgnum [-nʊn] vindeygað [vɪntaijɪ] (реже[vɪntεija]) (на улицу); hann hugdi (inn) gjøgnum [-nʊn] vindeygað [vɪntaijɪ] (реже[vɪntεija]) (внутрь)7.(при указании на семейное сходство): он в отца́: hann bregður [pɹeːv-] til pápan, hann líkist pápanum; он (лицо́м) в мать hann líkist mammu síni (í andliti [anl-]); она́ хара́ктером в отца́ hon líkist pápa sínum av lyndi8.: повторя́тьчто-л.сло́во в сло́во takao-torðarætt uppaftur [-tː-], takao-tuppaftur [-tː-] orð fyri orð; он отвеча́л уро́к сло́во в сло́во hann segði [sεijɪ] tað orðarætt, sum stóð í leksiuni [lεʰkʃʊnɪ]B+Prp1.(внутри,в сфере чего-л.) (inni, innan; niðri [nɪɹːɪ]; úti; uppi) í +Дат; á +Дат; в до́ме í húsinum, inni í húsinum; во всём до́ме í øllum [œtl-] húsinum; где́ А́нна? - она́ в до́ме hvar er Anna? hon er inni í húsinum; в чемода́не (niðri [nɪɹːɪɪ]) í kuffertinum; в шкафу́ (inni) í skápinum; ключ у меня́ в карма́не eg havi lykilin (niðri [nɪɹːi]) í lummanum; в лесу́ (inni) í skógini; оте́ц в лесу́ pápi er úti í skógini; ма́ма в гараже́ mamma er inni í garasjuni [-Ꞌraː-] (внутри); mamma er úti í garasjuni [-Ꞌraː-] (говорят,напр.,когда находятся в доме); ма́ма в магази́не mamma er til handils, mamma er farin at keypa; в во́здухе (uppi) í luftini; в Москве́ í Moskva; в Да́нии í Danmark, niðri [nɪɹːɪ]неформ.; в Росси́и í Russlandi; в Крыму́ á Krim [kʰɹɪmː];(о фарерских городах-портах) í (в значении города), á (о судах,в значениие порта);в Фуглефьо́рде í Fuglafirði; á Fuglafirði (напр. о стоящем в порту судне); в а́рмии í herinum, í hertænastu [hεɹ̥t-]; они́ в кино́ tey eru í biograf [piːoꞋkɹaːf]; лежа́ть в больни́це liggja á sjúkrahúsinum [ʃʉukh-]; учи́тьсья в университе́те lesa á universitetinum [uːnivεʂiꞋtʰeː-]; э́то име́ет большо́е значе́ние в те́хнике hetta hevur stóran týdning í teknikki [-Ꞌnɪ-], hetta hevur stóran tekniskan týdning; в изве́стных грани́цах innan fyri ávíst mark, innan fyri ávís mørk2.(при указании на время) íили переводится винительным падежом времени): в како́м году́? hvat ár?; в 1999-ом году́ í 1999; в сентябре́ 1999-го го́да í september [sεʰpꞋtʰεmpɪɹ] 1999; в сле́дующем ме́сяце í næsta mánaði [mɔana] (реже[mɔanajɪ]); í komandi mánaði [mɔana] (реже[mɔanajɪ]); в тридца́тых года́хsíв тридца́тые го́дыsíA 2; в ХХ-ом ве́ке í tjúgundu [tʃʰʉuwɪ-] øld; в мо́лодости í ungdóminum, á ungdómsárum ; в ста́рости á gamalsaldri, á elliárum [εtl-], í aldurdóminum, tá mannннкer gamal3. (при перечислении): в-тре́тьих fyri tað triðja, í triðja lagi; в-пя́тых fyri tað fimta, í fimta lagi4.(при обозначении количества чего-л.) í +Дат.; в пяти́ экземпля́рах í fimm eintøkum; пье́са в трёх де́йствиях sjónleikur í trimum pørtum5.(при указании формы, вида и т.п.) дра́ма в стиха́х drama [-aːma] í bundnum máli; в све́тлых тона́х í ljósum litum; в фо́рме ша́ра av skapi sum ein kúla, kúluskapaðurглaður, kúluvaksinсоглосн6.(при указании на наличие у чего-л. составляющих элементов): в году́ 365 дней eitt ár hevur 365 dagar, í einum ári eru 365 dagar; в рома́не три ча́сти skald [skal̥s-]нпer í trimum pørtum7.(при указании на расстояние)переводится вин. падежом без предлога: в трёх киломе́трах от го́рода tríggjar kilometrar [kʰiː-] frá býnum; в пятидесяти́ двух киломе́трах на юг от Москвы́ tvey og hálvtrýss [tʰvεihɔltʰɹʊʃː] kilometrar [kʰiː-] sunnan fyri Moskva8.(при указании на предмет, находящийся на ком-л., чём-л.) ío-m,тж переводится др. оборотами; он в шу́бе hann er í skinnfrakka; в пыли́ støvuturсогл; весь в пыли́ fullur [-tl-] í støvi allur [atl-] sum hann er, tað bera støv; я весь в са́же eg eri fullur [-tl-] í sóti, eg eri fullur [-tl-] í sóti allur [atl-] sum eg eri, eg eri tað bera sót (allur [atl-] sum eg eri); па́льцы у тебя́ в черни́лах fingrarnir á tær eru tað bera blekk; стена́ в тре́щинах veggurin er fullur [-tl-] í rivum, tað er fult av rivum í vegginum
в.	síвекI
В.1	I Вели́кий (в топонимических названиях) Velikij [veꞋliːk̊i], Stórur, Stóri (í staðarnøvnum); В. Лу́ки (Вели́кие Лу́ки) Velikie Luki
В2	II вольт volt
В.2	II Ве́рхний (в топонимических названиях) Verkhnij, Ovari (í staðarnøvnum); В. Теберда́ (Ве́рхняя Теберда́) Verkhnjaja Teberda
В3	III восто́к E, eystur
Ваа́л	mmyt.Baal [paːl]м0{дат.0}
ва-ба́нк	advva banque [vaꞋpaŋ̊k]; игра́ть {идти́, ста́вить} ва-ба́нк spæla va banque, seta alt inn
ва́ва	fbarn.staðс0o{0<>i}{a/ø}haro-rhevur ilt@сде́лать ва́вукому-л.jarg.pínair(d)o-n
Вавило́н	msøg.Bábylon [pɔapilɔn]м0{дат.0}(býur);bíbl.Bábel [pɔapɪl]м0{дат.0}
