г.	1.год2.го́род3.грамм g4.гора́5.господи́н hr.6.госпожа́
ГА1	I [гэ-а́]f indeclГенера́льная Ассамбле́яsíассамбле́я@
га2	IIm indeclгекта́р hektar
Гаа́га	fHaag [haːk]м0{дат.0}
гаа́гский	adjhaag- [haːk-], (sum er) í Haag [haːk]
габарди́н	mgabardin [-Ꞌtiːn]с0o
габарди́новый	adjgabardin- [-Ꞌtiːn-], úr gabardin [-Ꞌtiːn]
габари́т	m plurdimensiónir [tiːmεn̊Ꞌʃɔun-]ннкж0-irмнпроф., málс0oмн(uttan), mátс0oмн(uttan), útvendigннкmálс0oмнпроф., útvendigннкmátс0oмнпроф.
Габо́н	mGabon [kaꞋpɔnː]с0{дат.0}
габо́нец	Gen, Accгабо́н|ца;plur~цы, ~цев, ~цамmgabonbúgvi [kaꞋpɔn-]мгл-i
габо́нский	adjgabonskur [kaꞋpɔn-]соглsk
Габоро́не	[-нэ]m indeclGaborone [kaːpoꞋroːnε]м нескл.
гав	intervóv, voff
гав.	га́вань
гава́ец	Gen, Accгава́й|ца;plur~цы, ~цев, ~цамmhawaianari [havaꞋjaːn-]мгл-ari, hawaiibúgvi [haꞋvaiji-]нпмгл-i
Гава́йи	1.m indecl(штат США) Hawaii [haꞋvaiji]м нескл.(statur í USA)2.m indecl(остров) Hawaii [haꞋvaiji]ж нескл.(oyggj)3.m plur(группа островов) Hawaii [haꞋvaiji]ж нескл. мн(oyggjaflokkur)
Гава́йские острова́	Hawaii [haˈvaiji]ж нескл. мн, Hawaiioyggjar [haꞋvaiji-]ж0-ar{+}мн
Гава́на	fHavanna [-Ꞌvanːa]м нескл.
гава́нский	adjhavanna- [-Ꞌvanːa-]; гава́нская сига́ра havannasigar [-Ꞌvanːa-], havannesari [-Ꞌneː-]мгл-ari(sigar)
га́вань	fhavnж0-ir; заходи́ть в га́вань anleypaмор., проф.eina havn; leggjaнепрinn í eina havn (на пути); есте́ственная га́вань natúrhavn [-Ꞌtʰʉuɹ-]; иску́сственная га́вань kunstig havn; свобо́дная {во́льная} га́вань fríhavn; ти́хая га́ваньfl.,beinl.kyrr havn =>вну́тренний1
га́вкать	ipf(momentга́вкнутьга́вкн|у, ~ешь, ~ут,pfпрога́вкать)1.(о собаке) glefsaaði(um hund)2.fl.(говорить грубо) glefsaaði, hvessair(t)(í Вин)
га́вкаться	ipf tlm.vera harðmæltur [haɹ-]согл(разговаривать на повышенных тонах); skeldastaði(ругаться)
га́вкнуть	moment síга́вкать
