д.	1.день2.дере́вня3.долгота́4.домsíдом; ул. Панфёрова, д. 11 Panfjorovs [-Ꞌfjoː-] gøta 11
да1	IApart1.affirmja; jú (положительный ответ на отрицательный вопрос); nei (при отрицателюном вопросе,sbr.нет II 1); ájú [ɔꞋjʉu] (именно, так и есть); он уе́хал? - Да; er hann farin? - Ja; ты пойдёшь с ни́ми? Да, пойду́ fert tú við teimum? Ja, (eg fari); ты не пойдёшь с ни́ми? Да, не пойду́ fert tú ikki við teimum? Nei, (eg fari ikki); ты не пойдёшь с ни́ми? Да, пойду́ Jú(, eg fari); она́ не молода́. - Да hon er ikki ung - Nei; я там никогда́ не́ был.- Да, я э́то зна́ю ег havi ongantíð verið har. - Nei, tað veit eg; да, ещё одна́ вещь (ja,) og so eitt afturat [aꞋtʰɹεat]; сказа́ть да siga ja, játtaaði; сказа́ть да или нет siga ja ella [εtla] nei2.interrog.ha [haː]; ты придёшь, да? tú kemur, ha?; tú kemur, gert tú ikki?; kemur tú ikki?; всё обошло́сь благополу́чно, да? alt gekst væl, ha?; gekst alt ikki væl (ella [εtla] hvussu)?3.interrog.(разве, неужели) so; álvara; он уе́хал. - Да? Hann er farin avstað [aꞋstεa].- so?; (nei,) álvara?; (nei,) hvat sigur tú?; да ведь он ничего́ не понима́ет hann forstendur [-Ꞌstε-]ннкjú einki4. (при воспоминании о чём-л., при перемене темы разговора) ája [ɔːjεa] Да! Вы ви́дели его́? Ája, sóu tit hann?; да, чу́ть было не забы́л ája, (tað er sannheit, eg mundi gloymt tað5.intens: да замолчи́ (же)! tig (so við tær [vɪʰtːaɹ])!; да ты его́ зна́ешь! tú kennir hann jú!; Да иди́ же! far nú avstað [aꞋstεa] við tær [vɪʰtːaɹ]!; да сади́сь, сади́сь! set teg nú!; Да не мо́жет быть! Nei, tað ber ikki til!6.(при выражении условия): да будь я на твоём ме́сте, я бы не беспоко́ился hevði eg verið í tínum stað, so hevði [hεijɪ] eg einki lagt í tað7.spott.jú, jú; я найду́ тебе́ тебе́ то, что на́дo. - Да найдёшь ja, eg kann ikki ætla, tú finnur taðBn indecljaс нескл.@да нет(как же) jú, ájú [ɔꞋjʉu]; ты́ не придёшь? - Да нет, приду́ kemur tú ikki? - Jú, eg komi; он ещё не пришёл? - Да нет, пришёл er hann ikki komin enn? - Jú, hann er komin;вот э́то да!(вот как надо) hetta er nakað av tí [autʊi]! tað skal eg halda við! =>ай@,иI 4,нуII 2,@
да2	IIparthátið.(пусть)передается б.ч. глаголом желательного наклонения или со словамиgæviилиgævi satt +глагол: да здра́вствуетNom! leingi liviИм!; да бу́дет у тебя́ всё хорошо́! gævi (satt) tær gongst væl!; да поги́бнетNom! niður viðДат!; да бу́дет свет! verði ljós! =>во́ля@
да3	IIIconj1.copog; мы да вы vit og tit; снег да снег kavi og aftur [aʰtː-] kavi; ты всё чита́ешь да чита́ешь tú bara lesur2.conjun(og) harafturat [-atʰɹεat]; он перевёл текст бы́стро, да ещё без словаря́ hann umsetti tekstin skjótt og harafturat uttan orðabók3.adversmen; он обеща́л прийти́, да не пришёл hann lovaði at koma, men kom ikki@да иog so; я ждал-ждал да и ушёл eg bíðaði, og bíðaði og so fór eg; то́лько оди́н костюм, да и то(т) ста́рый bara ein klædningur, og hann er gamal; да и како́е нам де́ло (до э́того) hvat kemur hetta (í grundini) okkum við;да и то́лькоребёнок пла́чет да и то́лько barnið [-tnɪ] bara grætur, barnið [-tnɪ] ger ikki annað enn at gráta; лень, да и то́лько tað bera leti (og einki annað)
да…	даю́o.s.fr. pres avдава́ть
даб	mdub [tʊpː]м0-ar
дабл ю́	f indecl síдабл-ю́
дабл-ю́	fdupult vс0o(w); три ра́за дабл-ю́ tríggjar ferðir dupult v (www)
даб-му́зыка	fdubtónleikur [tʊpː-]мсогл-s,-ir, dubmusikkur [tʊpː-]мсогл-ar
дабы́	conjgml.fyri at
да́бы	conjgml.síдабы́
дава́лка	plurдава́л|ки, ~ок, ~камf óvkm., vanv.teysж0-arпренебр. ,tyttaжгл-aпренебр., geilatíkжo-irпренебр.
дава́ть	да|ю́, ~ёшь, ~ю́т;imperдава́й;gerдава́яAsíдать; э́то де́рево даёт бога́тый урожа́й hetta træið ber nógvan ávøkst; э́то тебе́ что-нибу́дь даёт? fært tú nakað burtur úr hesumBimper1.дава́й(те) +inflat okkum +инф.; дава́й(те) петь! (kom [kʰɔmː],) lat okkum syngja!; дава́й(те) не ду́мать об э́том lat okkum ikki hugsa um hetta2.дава́й(те) (ладно,согласен) ok [ɔuꞋkʰεi]ннк, fínt, tað er í lagi3.: дава́й(те)! a)tlm.(начинай) byrja; начина́ть? - Дава́й skal eg byrja? - Ja, byrja nú; b) дава́й, дава́й ... kom [kʰɔmː] so! koyr á! drív á!4.дава́й(те) +imper.tlm.дава́й, уходи́! kom [kʰɔmː] so avstað [aꞋs̥tεa] við tær! дава́йте, продолжа́йте kom [kʰɔmː] so víðari; дава́й, ешь! et nú!; fá tær nú!5. дава́й +inf.tlm.: а она́ дава́й крича́ть hon at rópa; а они́ дава́й бежа́ть og teir til beinsC(кому-л)óv.,euf.(соглашаться на половий акт) lovaaði(o-m)неформ.(loyva samlegu,um konufólk)@во(т) {ну́} даёт!óvkm.hygga síggj!; tað skal eg halda við!;даёшь!:tlm.даёшь хле́ба! breyð!; vit mugu hava breyð!; даёшь выполне́ние пла́на в срок! lat okkum uppfylla [-tla] planin [-aː-] í ásettu tíðini!
