Ж	(знак на туалете) «для же́нщин»K, kvinnur (á hurð til toilett)
ж	síжеI, II (viðhvørt brúkt aftan á orði,ið endar við sjálvljóði)
ж.	1.же́нский род kvennkyn2.жи́тели íbúgvar, íbúgvatal
ж…	síжо́па
жа́ба1	If(Bufo) skrubbtussaннкжгл-a, froskpaddaлпжгл-a, rúðurpaddaлпжгл-a
жа́ба2	IIfgml.1.(ангина) hálsbetendilsiннксгл-i, ilt í hálsinum, hálsbruniнпмгл-i,hálstakс0о{a/ø}кн.,ред.2.: грудна́я жа́баgml.hjartakrampi [ja-]мгл-i, angina pectoris [aŋꞋkiːna pʰεʰkꞋtʰoːɹɪs]ж нескл.мед., bringutakс0о{a/ø}кн.,ред.
жа́берный1	Iadj(кжа́бры) tákna-, táknu-; жа́берная дуга́ táknabogiмгл-i; жа́берная кость táknabeinс0о; жа́берная кры́шка kápaжгл-a; жа́берная решётка táknatindarмсогл-arмн; жа́берная щель táknurivaжгл-a=>амёбный,лепесто́к@,тычи́нка2
жа́берный2	IIadj: жа́берная сеть gørn [-tn]с0oмн
жа́бий	adjskrubbtussu-ннк, froskpaddu-лп, rúðurpaddu-лп
жабо́	n indeclpípukragiмгл-i, rúðurkragiмгл-iкн.
жа́бра	f síжа́бры
жа́бры	(singжа́бра)f plurtáknirж0-irмн, táknurжгл-aмн@взятького-л.за жа́брыsetaur(t);ir(t)o-mknívin á barkanидиом.
жа́воронок	Gen, Accжа́воронк|а;plur ~и, ~ов, ~амm1.: полево́й жа́воронок (Alauda arvensis) lerkurмсогл-ar; лесно́й жа́воронок (Lullula arborea) trælerkurмсогл-ar2.fl.(о человеке) A-menniska [aː-]сгл-a,sbr.сова́ 2
жад	mjada [jaːta]жгл-a
жа́дина	f, mtlm., vanv.kargapisaжгл-aпренебр., kargavættiсгл-iпренебр.
жа́дничать	ipf(pfпожа́дничать)1.(скупиться) vera gírigurглigur, vera natinсоглосн, vera pírinсоглосн; vera kargurсогл{a/ø}(скупой)}2.(быть алчным) vera grammurсогл{a/o}, vera grískur [кɹʊʃк-]соглsk(grammur), óðurглeftir [εʰtː-] (Дат)}
жа́дно	advgrammliga; жа́дно есть eta grammliga
жа́дность	f1.(алчность) (к чему-л.,до чего-л. -eftir [εʰtː-]o-m) grammheitннкж0-ir, grammleikiнпмгл-i; havisjúkaжгл-aкн.; ágirndж0-irвыс.,библ.; жа́дность к деньга́м tað at vera grammur eftir [εʰtː-] pengum, tað at vera óður eftir [εʰtː-] pengum, tað at vera pengagrammur; жа́дность к еде́ matligheitннкж0-ir; есть с жа́дностью eta grammliga2.(скупость) gírigheitннкж0-ir, pírniсгл-i, natniсгл-i3.: с жа́дностью alspentur [al-], [ɔl-], grammliga
