З	за́пад V, vestur
з.	за́пад vestur; за́падный vestur
зaволо́чь	заволоку́, заволочёт, заволоку́т;pretзаволо́к, заволокл|а́, ~о́, ~и́pf(ipfзавола́кивать)1.bert 3. pers brúktur что-л.hyljaur(d){y/u}o-t; не́бо заволокло́ ту́чамиóphann skýggjaðiaðiluftina, hann settiur(t);ir(t)skýggj á luftina, hann bøklaðiaðiluftina; tað er samdrigið (пасмурно); ту́ча заволокла́ со́лнце skýggj dróслнó-ó-ifyri sólina; глаза́ заволокло́ слеза́миópeyguni fyltustir(t)við tárum2.что-л.óvkm.(затащить) dragaслнó-ó-io-t, sleipaaðio-t, dragsa [tɹasːa]aðio-t, toga [tʰuːwa] (редко[tʰoːa])aðio-t
з.а.	заслу́женный (sí) арти́ст
за	IprepA+Acc1.(позади) aftan [aʰtː-] fyriВин, aftur [aʰtː-] umВин; yvir (um)Вин, tvørtur umВин(на другую сторону); niðan umВин(выше); oman umВин(ниже); inn umВин, inn (ígjøgnum [-Ꞌtʃœ-])Вин(внутрь); út umВин, út (ígjøgnum [-Ꞌtʃœ-])Вин(наружу); заверну́ть за́ угол snaraaðium hjørnið [jœ-]ннк; уе́хать за́ реку faraслнó-ó-a(avstað [aꞋstεa]) tvørtur um ánna, faraслнó-ó-ayvir um ánna; поста́витьАccза шкаф setaur(t);ir(t)Винaftur [aʰtː-] um skápið; стать за коло́нну stilla [-tla]aðiseg aftan [aʰtː-] fyri súluna; де́ти побежа́ли за дом børnini runnuслнa-u-uaftur [aʰtː-] um húsið; ступи́ть за поро́г stígaслнei-i-iinn um gáttina, faraслнó-ó-ainn um gáttina; спусти́ться за плоти́ну faraслнó-ó-aoman um byrgingina; вы́йти за воро́та faraслнó-ó-aút um portrið; он уе́хал за Ура́л (из европейской части России) hann er farinслнó-ó-aeystur um Ural [uꞋraːl]2.(возле - при обозначении действия, занятия, sí eis.сесть3, стол 1) viðВин; стать за стано́к stilla [-tla]aðiseg við dreyibeinkin3.(при указании предмета, лица, к которым прикасаются) íВин; держа́ться за пери́ла haldaслнe-i-i(sær) í gelendaran [keꞋlε-]; взятького-л.за́ руку takaслнó-ó-ií hondinaá o-m; держа́тького-л.за рука́в haldaслнe-i-ií ermuna á o-m; взятького-л.за подборо́док takaслнó-ó-iundir høkunaá o-m; дёргатького-л.за́ волосы roytair(t)o-n, rykkjair(t)í háriðá o-m; он схвати́л меня́ за плечо́ hann treivслнei-i-ií økslina á mær,sí eis.тяну́тьA4.(в течение) upp áAcc(um tíð); э́то мо́жно сде́лать за два дня hetta kann gerast upp á tveir dagar, hetta kann gerast eftir [εʰtː-] tveimum døgum; мы дое́дем до о́зера за час vit eru frammi við vatnið upp á ein tíma, tað tekur okkum ein tíma at koma til vatnið; за после́дние де́сять лет tey seinastu tíggju árini; за вре́мя войны́ undir krígnum [kʰɹʊin-]; он написа́л кни́гу за ме́сяц hann skrivaði bókina upp á ein mánað; за́работок за́ год ársfortænasta; за вре́мя боле́зни {за боле́знь} я потеря́л в ве́се eg fór aftur [aʰtː-], meðan eg var sjúkur; за всю жизнь alt lívið5.(раньше) за +что-л.+ дочего-л.{пе́ред+ чем-л.} framman undano-m, innano-t, áðrenno-t; за неде́лю до конфере́нции eina viku framman undan ráðstevnuni, eina viku áðrenn ráðstevnuna; за два дня до свое́го отъе́зда tveir dagar innan hann fór, tveir dagar áðrenn hann fór; за полмину́ты до нача́ла представле́ния ein hálvan minutt [-Ꞌnʊʰtː] áðrenn sýningin byrjaði; за ме́сяц до э́того ein mánað frammanundan; за день до сро́ка dagin fyri freistin rann út6.(на расстоянии) burtur; го́лос его́ слы́шно за три киломе́тра hann hoyrist tríggjar kilometrar [kʰiː-] burtur; я уви́дел тебя́ за киломе́тр eg sá teg ein kilometur frá; за +что-л.+ от +чего-л.fráo-m; за четы́ре киломе́тра от села́ fýra kilometrar [kʰiː-] frá bygdini; за полкиломе́тра отсю́да ein hálvan kilometur [kʰiː-] hiðani;7.ради, во имя, в пользу) fyri+ Вин; боро́ться за+ Accberjastir(d){e/a}{+}fyriДат (Вин); отда́ть жизнь за свои́ идеа́лы láta lívi fyri sínar hugsjónir [hʊk-], [huː-]; движе́ние за равнопра́вие rørsla fyri javnrættindi,sí eis.вы́ступить2, голосова́ть8.(по причине) fyri+ Вин, av tí at; за э́то tí, tessvegna; за то, что tí (at); не́ за что (благодари́ть) einki at takkaaðifyri; за э́то меня́ не похва́лят eg fái ikki rós fyri hetta, eg verði ikki róstur fyri hetta; ненави́детького-л. за что-л.hataaðio-n fyri o-t9.(при обозначении платы; в обмен) fyri +Вин; купи́тьчто-л.заAcckeypair(t)o-tfyriВин; э́та ва́за продаётся за 3000 рубле́й hesin vasin [vaː-] kostar trý túsund rublar; награди́тького-л.за хоро́шую рабо́ту heiðraaðio-nfyri gott arbeiði; уплати́тьза Accbetala [-Ꞌtʰεa-]ннкfyriВин; благодари́ть за по́мощь takkaaðifyri hjálpina [j-]; наказа́тького-л.за неповинове́ние revsaaðio-nfyri ólýdni10.(вместо) fyriВин, í staðin Ꞌ fyriВин; (при сравнении) fyriВин(eins og); (от имени) vegnaВин; (в качестве) sumИм; я пойду́ за тебя́ eg fari fyri teg; рабо́тать за двои́х arbeiðair(d)fyri tveir; за Фаре́рские [-рэ́-] острова́ догово́р был подпи́санкем-л.fyri Føroyar [fœɹjaɹ] skrivaðio-rundir sáttmálan, fyri Føroyar [fœɹjaɹ] varð sáttmálin skrivaður undir avo-m; ты остаёшься за сто́рожа tú verður eftir [εʰtː-] sum vakt11.(при указании на объект внимания): беспоко́иться закого-л. vera banginсоглоснumo-n; она́ споко́йна за него́ hon ber ongan ótta fyri honum12.(сверх, больше) yvir +Вин; ему́ уже́ за со́рок hann er longu farin um fjøruti, hann er yvir fjøruti; уже́ за по́лночь tað er farið um midnátt13.: взя́ться зачто-л.faraслнó-ó-aundir o-t, fara í holtvið o-t; взя́ться за рабо́ту fara til verka; приня́ться за еду́ setast at eta; за де́ло! til verka14.:быть заAcc(поддерживать) takaслнó-ó-iundir viðДат, vera fyriДатннк; (хотеть, предпочитать); я за Ви́ктора eg stuðliaðiViktor; мы за но́вые пра́вила vit taka undir við teimum nýggju reglunumB+Ins1.(позади) aftan [aʰtː-] fyri +Вин; (по ту сторону) hinumeginВин, handanВин; (с внутренней стороны) innan fyri +Вин; (вне) uttan fyri +Вин; (выше) oman fyri +Вин; (ниже) niðan fyri +Вин; за шка́фом aftan [aʰtː-] fyri skápið; стоя́ть за поро́гом standa uttan fyri gáttina; за реко́й hinumegin ánna, handan ánna; со́лнце исче́зло за горо́й sólin setti aftan fyri fjallið [-tlɪ]; за мосто́м oman fyri brúnna (верхнее), niðan fyri brúnna (нижнее); hinumegin brúnna; дверь закры́лась за ним hurðin fór aftur [aʰtː-] aftan [aʰtː-] fyri hann; за Ура́лом hinumegin Uralfjøllini [-Ꞌraːlfjœtl-], eystan fyri Uralfjøllini [-Ꞌraːlfjœtl-]; за гости́ной ?innan fyri stovuna; что (кро́ется) за э́тим? hvat liggur aftan [aʰtː-] fyri hetta?; за ним стоя́т его́ друзья́ (его поддерживают) vinmenninir stuðla hann, vinmenninir standa aftan [aʰtː-] fyri hann, vinmenninir bakkaннкhann upp,sí. eis.спина́, стоя́ть @, у́гол2.(около) við +Вин; сиде́ть за столо́м sita við borðið (за едой); стоя́ть за станко́м standa við dreyibonkin; за рулём {бара́нкой} við róðrið,sí eis.стол13.(вслед) aftan [aʰtː-] á +Дат; оди́н за други́м hvør aftan [aʰtː-] á annan; друг за гру́гом hvør aftan [aʰtː-] á annan; он шёл за мной hann gekk aftan [aʰtː-] á mær;sí eis.дверь; иди́те за мной kom við mær, kom aftan á mær4.(после) aftan [aʰtː-] á +Вин; за дождя́ми наступи́ла жара́ aftan á regnið kom hiti; день за днём dag um dag; год за го́дом ár eftir [εʰtː-] ár; чита́ть кни́гу за кни́гой lesa eina bók fyri og aðra eftir [-tː-]5.(указывает на цель) eftir [εʰtː-] +Дат; посла́ть за врачо́м sendair(d)boð eftir [εʰtː-] lækna; пойти́ заInsfaraслнó-ó-aeftirДат; он пошёл за водо́й hann fór eftir vatni; я уже́ ходи́л за водо́й eg havi verið eftir vatni; сбе́гай за са́харом far eftir sukri; охо́титься заInssóknastaðieftirДат, jagstraaðiВин(гнаться за); в пого́не за сча́стьем í sóknan eftir eydnu6.(при указании занятия): сиде́ть за ни́гами sitaслнa-ó-iyvir bókunum; за ша́хматами í talvi7.(указывает за объект наблюдения и т.п.): следи́ть закем-л.ansaaðieftir [etː-]o-m; уха́живать закем-л.passaaðio-n, pleygaннкaðio-n,sí eis.наблюда́ть8.(во время) við +Вин, undir +Дат(переводится тж причастием соответствующего глагола или временным придаточным предложением); за обе́дом við døgurðan, undir døgurðanum; за чте́ниемeis.lesandi; я заста́л его́ за чте́нием tá eg kom, las hann; tá eg kom, sat hann og las; за едо́й я расска́зывал... meðan vit ótu, fortaldi [-Ꞌtʰa-]ннкeg...; за рабо́той он забыва́ет всё tá, ið hann arbeiðir, gloymir hann alt9.(указывает на носителя свойства): за ним я э́того не замеча́л eg havi ikki lagt hetta til merkis hjá honum; за ним во́дятся грешки́ hann hevur hetta brekið, hann hevur henda veikleikan; за ним сохраня́ется пра́во... hann hevur rættin til at ...; побе́да за на́ми vit hava vunnið10.(из-за) orsakað av+ Дат, vegna+ Вин; за мо́лодостью лет vegna sín ungdóm,sí eis.недоста́ток1, отсу́тствие @11.(um skuld o.tíl.):за ним 20000 рубле́й hann skyldaraði20000 rublar; э́то за мной eg skyldi tær tað; пи́во за мной eg betali [-Ꞌtʰεa-]ннкfyri ølið, eg gevi (ølið)12.: отве́т за по́дписью председа́теля svar við undirskriftini hjá formanninum; svar, sum er undirskrivað av formanninum; прика́з за но́мером fyriskipan nummar 37IIкто за? hvør er fyri? (um uppskot o.tíl.)IIIn indeclstemmaннкжгл-afyriДат, atkvøðaнпжгл-afyriДат; подсчита́ть все за и про́тив telja allar atkvøður fyri og ímóti@тепе́рь о́чередь за мнойnú eigi eg tørn =>взве́сить2,го́род,грани́ца@,де́ло@,за́муж,за́мужем,предел1,спина́тж@,счётB @
заeд...2	II (заеди́мo.s.fr.)fut avзае́сть
заакти́ровать	заакти́ру|ю, ~ешь, ~ютpf что-л.alm.váttaaðihjáveru [tʃʰ-] ella [εtla] fráveruav o-m
заале́ть	pf bert 3. pers brúktur1.(показаться) lýsair(t)reyður, beraслнa-ó-oá reytt; в траве́ заале́ли я́годы í grasinum sóust berini so reyð2.(начать алеть; стать алым) roðaaði; rodnaaði; заале́л восто́к tað roðaði í eystri, tað tók at roða í eystri
зааплоди́ровать	зааплоди́ру|ю, ~ешь, ~ютipffaraслнó-ó-aat klappa, begynnaннкir(t)at klappa, byrjaaðiat klappa
заарендова́ть	зааренду́|ю, ~ешь, ~ютpf(ipfзаарендо́вывать)что-л.leigaaðio-t,sbr.арендова́ть
заарендо́вывать	ipf síзаарендова́ть
