и	Iconj1.copog; оте́ц и сын pápi og sonur; вы́ше и вы́ше hægri og hægri2.enum(bæði ...) og; и большо́й и си́льный bæði stórur og sterkur; и днём и но́чью (bæði) dag og nátt, nátt sum dag; и дед и ба́бушка bæði abbi og omma; и кни́ги сгоре́ли, и пи́сьма, и сни́мки bæði bøkurnar, brøvini og myndirnar brunnu; и сам никуда́ не е́здил, и у себя́ никого́ не принима́л hann fór ongastaðni sjálvur og tók heldur ikki ímóti nøkrum3.conjun: он бо́лен, и о́чень бо́лен hann er sjúkur, ógviliga sjúkur; hann er sjúkur, og hartil ógviliga sjúkur; он бога́т, и о́чень бога́т hann er steinríkur; он хоте́л встать и не мог hann ætlaði sær á føtur, men slapp ikki upp; мужчи́на и пла́чет! (tú skalt eitast at vera) mannfólk - og so grætur tú!4.concesи пое́хал бы, да де́нег нет eg vildi gjarna farið, men eg havi ongar pengar; и рад бы тебе́ помо́чь, да не могу́ eg vildi fegin hjálpt [j-] tær, men eg fái ikki5.conces(хотя) sjálvt [ʃɔl̥t] um, tó atчасто не переводится/verður ofta ikki umsett; и янва́рь, а тепло́ tað er heitt, sjálvt um tað er januar [janvaɹ]; и дай он мне ты́сячу рубле́й, я всё равно́ ... um hann so gav mær túsund [tʰʉusɪn] rublar, so hevði [hεijɪ] eg kortini ikki ...IIpart intens1.(именно)часто не переводится/verður ofta ikki umsett; так он и сде́лал tað var (jú) nettupp tað, hann gjørdi; soleiðis gjørdi hann eisini; э́того челове́ка они́ и жда́ли tað var nettupp hesin maðurin, tey bíðaðu eftir [εʰtː-]; здесь он и жил tað var (nettupp) her hann búði; вот об э́том-то я и ду́маю tað er nettupp tað, eg hugsi um2.(также) eisini; heldur (с отрицанием); и я хочу́ пройти́сь eg ætli mær eisini ein túr; и в э́том слу́чае eisini í hesum føri; и не там heldur ikki har; э́то и для него́ нелегко́ tað er heldur ikki lætt hjá [tʃʰ-] honum3.(даже) enntá; sjálvt [ʃɔl̥t] (с отрицанием)или не переводится; я и не ду́маю э́то де́лать tað kemur mær slett ikki til hugs at gera tað; и он э́того не зна́ет sjálvt [ʃɔl̥t] hann veit tað ikki; он и спаси́бо на сказа́л hann ikki so frægt [fɹaʰtː] sum segði [sεijɪ] takk, hann takkaði ikki eingang [-Ꞌkεŋk]ннк4.(неужели) og, virkuligaннк; и вы согла́сны? og eru tit samdir?5.(же): и како́й ты стал лени́вый sum tú ert blivin dovin; и что за чепуха́! hvat er hetta fyri tvætl!@и вотog nú (а теперь); sum sagt (итак)
и	пр.и про́чие {про́чее} o.o. (сокр.og onnur), о.а. (сокр.og aðrir, og aðrar, og annað)
и	т.д.и так да́лее o.s.fr. (сокр. og so framvegis)
и	т.п.и тому́ подо́бное o.tíl. (сокр.og tílíkt), o.a. (сокр. og annað)
и	тэ дэ́, и́ тэ пэ́skemt.síи т.д. и т.п.
Иа́ков	mbíbl.Jákupм0{0<>i}
ИАЛ	[и-а-э́л]f indeclинфекцио́нная анеми́я лосо́ся ILA [iː εlː ˈaː]с нескл.;с0о{0<>i}síанеми́я
Иафе́т	mbíbl.Jafet[jaː-]м0{дат.0}
ибери́йский	adjiberiskur [-Ꞌpeː-]соглsk
ибери́йско-кавка́зский	adj: ибери́йско-кавка́зские языки́ iberisku-kaukasisku [-ꞋpeɹɪskʊkʰauꞋkʰaːs-] málini
