Йе́мен	mJemenс0{дат.0}, Yemen [jeː-]с0{дат.0}@Наро́дная Демократи́ческая Респу́блика Йе́мен (НДРЙ)søg.Fólkademokratiska [-kʰɹaː-] lýðveldið Jemen; Suðurjemenнеофиц.
йе́менец	Gen, Accйе́менц|а; plur~ы, ~ев, ~амmjemenariмгл-ari, jemeniнпмгл-i
йе́менка	plurйе́мен|ки, ~ок, ~камfjemenariмгл-ari, jemeniнпмгл-i(konufólk); она́ йе́менкаeis.hon er úr Jemen
Йе́менская Ара́бская Респу́блика	søg.Arabiska [-Ꞌraː-] lýðveldið Jemen; Norðurjemenнеофиц.
йе́менский	adjjemenskurсоглnsk
йо́га-це́нтр	myogacentur {jogacentur} [joːkasε-]ннкс0осн, yogsentur {jogasentur} [joːka-]ннкс0осн
йог	myogi {jogi} [joːki]м0-ar{дат.0}
йо́га	fyoga {joga}[joːka]с0гл-a
йо́га-терапи́я	fyogaterapi {jogaterapi} [joːka-]ж0-ir,
йо́гурт	fyoghurt {jogurt} [joːkʊ-]}с0({0<>i})
йод	mjod [joːt]с0о({0<>i})(химический элемент и раствор)
йо́дистый	adjjod- [joːt-]
йо́дный	adjjod- [joːt-]
йодофо́рм	mjodoform [joːtoꞋfɔ-]с0о({0<>i})
йон...	síион...
йот	mjoddс0о({0<>i})(ljóð, bókstavur)
йо́та	fjota {тжiota [joː-]}с0гл-a@ни на йо́туikki eitt vet, ikki eitt petti; он ни на йо́ту´не лу́чше меня́ hann er ikki smittin frægari enn eg; не уступа́ть ни на йо́ту ikki víkja av fetinum
Йоха́ннесбург	mJohannesburg [-Ꞌhanː-]м0{дат.0}
Йошка́р-Ола́	fJosjkar-Ola [jɔʃkaɹoꞋlaː]м нескл.(til 1919Царёвококша́йск;1919-1927Краснококша́йск)
