к1	I коньtalvriddari
к2	II (framman fyri samansetingum av hjáljóðumко)prep + Dat1.(указывает на движение, направление) til +Вин, yvir til +Вин, niðan til +Вин, oman til +Вин(Род с личн. мест. и нек. геогр. назв.,иначе кн.,уст.); идти́ к реке́ fara oman til ánna, fara yvir til ánna, fara niðan til ánna; по направле́нию к mótiДат, tilВин; ко мне подошёл челове́к и спроси́л .... ein maður kom til mín og spurdi ... ; подойти́ к до́му fara yvir til húsið, fara yvir móti húsinum; зима́ подхо́дит к концу́ veturin nærkast endanum, veturin líður móti endanum, veturin gongur móti endanum;тжveturin er farin at halla [-tla]; он пришёл ко мне вчера́ в го́сти hann kom at vitja meg á gjár; письмо́ к дру́гу eitt bræv til ein vinmann [vɪn-]; ко всем избира́телям til allar veljarar; к То́рсхавну móti Havnini; к мо́рю móti sjónum; доро́га к о́зеру vegurin til vatnið, vegurin oman á vatnið (в сторону вниз), vegurin niðan á vatnið (в сторону вверх); к восто́ку от го́рода a) (о месте) eystan fyri býin; b) (о направлении) eystur um býin; е́хать к ю́гу fara suðureftir [-εʰtː-]; идти́ к две́ри fara (yvir) móti hurðini; ходи́ть от до́ма к до́му ganga hús úr húsi; тебя́ к телефо́ну! tað er telefon [-Ꞌfoːn] til tín!; вперёд, к побе́де! framá móti sigrinum!; к чему́ идёт де́ло? hvønn veg gongur málið?; подъезжа́ть {подходи́ть} кDatnærkastДат,sí eis.подойти́, подплы́ть, подъе́хать2.(указывает на соприкосновение,соединение) upp at +Дат, móti +Дат; прислони́ться к стене́ styðja seg upp at vegginum; наклони́ться кDatboyggja seg niður mótiДат; тра́улер приста́л к прича́лу trolarin legði [lεijɪ] at kaiini [kʰaijɪnɪ]; плечо́м к плечу́ øksl móti øksl; к семи́ приба́вить три sjey pluss trý, leggja trý aftur at [aꞋtʰɹεat] sjey; к э́тому сле́дует приба́вить hartil er at siga; приби́тьчто-л.кчему-л.neglao-t(fast)í o-t, síeis. прикле́ить, привяза́ть, прикрепи́ть; варе́нье к ча́ю súltutoy [-tʰœi] aftur við [aʰtːʊɹꞋviː] te; лицо́м к лицу́ andlit [anl-] til andlit [anl-], andlit [anl-] til andlits [anl-]3.(указывает на время) móti +Дат; um +Вин(около); к ве́черу móti kvøldi; к утру́ непого́да ути́хнет illveðrið [-vεkɹɪ] hæsar av móti morgni [mɔtnɪ]; к о́сени móti heysti; статья́ должна́ быть гото́ва к шесто́му ма́я greinin má vera klár innan sætta mai [mai], greinin má vera klár í seinasta lagi sætta mai [mai], greinin má vera klár ikki seinni [saitnɪ] enn sætta mai [mai]; мне кни́га нужна́ к пя́тнице eg má hava bókina fríggjadagin; он придёт к трём a) (около трёх часов) hann kemur um trítíðina; hann kemur innan klokkan trý, hann kemur áðrenn klokkan trý (до трёх часов); b) (в три часа) hann kemur klokkan trý; я опозда́л к обе́ду eg var for [fɔɹː]ннкseinur til døgurða4.(указывает на цель,назначение, мотив) til +Вин(til Род с личн. мест.,иначе кн.,уст.); mótiДат; um +Вин(í heitum á greinum o.ø.) (в заглавиях); иллюстра́ция к рома́ну mynd til skaldsøguna [skals-]; пода́рок ко дню рожде́ния føðingardagsgáva [-taʰks-]; к его́ 50-ле́тию til 50 ára dagin hjá [tʃʰ-] honum; любо́вьк Датkærleikitil Вин; не́навистьк Датhaturtil Вин; он до́бр к ней hann er fittur móti henni; быть стро́гим по отноше́нию ккому-л. vera strangurmóti o-m; го́дный к egnaður til, hóskandi til; к вопро́суо PrpviðvíkjandiДат, hvatДатviðvíkur;sí eis.гото́виться, дове́рие, предисло́вие, приучи́ть, тре́бование5.: к моему́ удивле́нию til mína undran; к сча́стью tíbetur [-Ꞌpeː-]6.: э́то к дождю́ hetta boðar frá regni; э́то не к добру́ hetta boðar ikki frá góðum@к тому́ жеharafturat [-atʰɹεat], hartil;э́то ни к чему́tað nyttar einki;к лу́чшемуtað frægasta, sum er =>дове́рие,сло́во3,сожале́ние@
-ка	parttlm.1.+ imper(ger umbøn,boð mildari): спо́й-ка syng nú; ну-ка, покажи́ lat meg sleppa at síggja; ну-ка, поезжа́й-ка far nú; иди́-ка сюда́ kom (so) her; смотри́-ка! (nei,) hygga síggj!2.+ fut(vísir ætlan,avgerð): напишу́-ка я ему́ письмо́ eg haldi, eg fari at skriva honum eitt bræv; vissннкeg nú skrivi honum eitt bræv; попыта́юсь-ка я! eg skal royna!; lat meg sleppa at royna!
каба́к	Genкабак|а́; plur~и́, ~о́в, ~а́мm1.gml.(питейное заведение) krógvж0-ir{+}, vertshús [vεʂh-]с0о2.fl.,tlm.,atf.(плохое питейное заведение) bulaжгл-aнеодобр., ølbøliсгл-iнеодобр.3.tlm.,atf.(кавардак,беспорядок) svínabøliсгл-iнеодобр., skarvabøliсгл-iнеодобр.
кабала́	f1.søg.(личная зависиомость) trældómur [tʰɹal-]мсогл-ar(oftast vegna skuld); skuldarbrævс0o{æ/ø}(документ)2.fl.:быть в кабале́у кого-л.vera trælurhjá[tʃʰ-]o-m
кабали́стика	fkabbalisma [kʰapːaꞋlɪ-]жгл-a
кабалисти́ческий	adjkabbalistiskur [kʰapːaꞋlɪ-]соглsk
каба́льный	f1.søg.(ккабала́ 1) træla-,síкабала́12.(заключаемый на невыгодных условиях): каба́льный догово́р avtala, ið ger mismun; avtala, har annar parturin er fyri vanbýti; каба́льная зави́симость tað at vera púra bundinat o-m; fullkomin avhengigheit [-Ꞌhε-]ннк; каба́льная сде́лка ein handil, har annar parturin er fyri vanbýti
каба́н	Gen, Accкабан|а́; plur~ы́, ~о́в, ~а́мm1.(Sus scrofa) villsvínс0о; galturмсогл-ar{a/ø}(hjá villsvíni) (самец)2.(самец домашней свиньи) galturмсогл-ar{a/ø}(hjá tamsvíni)3.fl., óvkm.(толстый, сильный человек) bulurмсогл-ar, kempumaðurмнепр
каба́ний	adj1.(ккаба́н 1) villsvína-2.(ккаба́н 2) galtar-
кабарга́	plurкабарги́, кабаро́г, кабарга́мf(Moschus moschiferus) moskusdýrс0o, moskushjortur [-jɔ-]ннкмсогл-ar, moskushjørtur [-jœ-]лпмсогл-ir{ø/a}
