Л	talvладья́ R, rókur
лаба́з	mgml.kornhandil [-tn-]м0осн-s,-ar, mjølhandilм0осн-s,-ar
лаба́зник	m1.gml.(торговец) kornhandlari [kʰɔtnhanl-]мгл-ari, mjølhandlari [-hanl-]мгл-ari2.plant.síта́волга
ла́бать	ipf(ipfсла́бать)что-л. на чём-л.óvkm.,atf.(на струнном инструменте и т.п.) klimpraaðio-t á o-mнеформ.,пренебр.(á streingjainstrumenti o.tíl.), spælair(d)o-t á o-m
лаба́ть	síла́бать
лабиализа́ция	fmál.labialisering [laːpiaːliꞋseː-]ж0-arспец., rundingж0-ar
лабиализо́ванный	adjmál.labialiseraður [laːpiaːliꞋseː-]глaðurспец., rundaðurглaður
лабиализова́ть	лабиализу́|ю, ~ешь, ~ютipf/pf что-л.mál.labialisera [laːpiaːliꞋseː-]aðio-tспец., rundaaðio-t
лабиа́льный	adjmál.labialur [laːpiꞋaːl-]соглспец., varra-
лаби́льный	stfлаби́лен, лаби́льн|а, ~о, ~ыadjbókl.óstøðugurглugur; vingluturсогл(о неустойчивом характере); labilur [-Ꞌpiː-]интсогл
лабиодента́льный	adjmál.labiodentalur [laːpiotεn̊Ꞌtʰaː-]соглспец., varratanna-
лабири́нт	mlabyrint [laːpyꞋrɪ-]ннкж0-ir
лабора́нт	mlaborantur [laːpoꞋra-]мсогл-ar
лабора́нтка	plurлабора́нт|ки, ~о́к, ~камflaborantur [laːpoꞋra-]мсогл-ar(konufólk)
лаборато́рия	f1.(учреждение,отдел) starvsstovaнпжгл-a, kanningarstovaнпжгл-a, laboratorium [laːpoɹaꞋtʰoː-]ннкс0-um2.fl.(о писателях и др.) verkstaður (тж[vεʂtεa-])мсогл-ir{a/ø}{0<>i}(um høvundar o.a.) =>спра́вочный
лаборато́рный	adjstarvsstovu-нп, kanningarstovu-нп, laboratorii- [lapoɹaꞋtʰoː-]ннк
Лабрадо́р1	ImLabrador [laːpɹaꞋtoːɹ]с0{дат.0}
лабрадо́р2	II (порода собак) labradorur [laːpɹaˈtoːɹ-]мсогл-ar, labrador [laːpɹaˈtoːɹ]м0-ar(опр-ur)
лабрадо́р-ретри́вер	mlabrador-retrievari [laːpraˈtoːɹretɹiːv-]мгл-ari
ла́ва1	Ifgrótbræðingлпж0-arгеол., lava [laː-]жгл-a(;0-ir); пото́к ла́вы lavafloymur
ла́ва2	IIfnám.minaжгл-a(nám, gongdж0-ir(í námi)
ла́ва3	IIIfsøg.(казачья атака) reiðliðsálopс0о(serl hjá kosakkaherliðum)
лава́нда	f(Lavandula) lavendil [-Ꞌvε-]с0осн
лава́ш	slag av ósúrgaðum flatbreyði úr hveiti
лави́на	f1.(массы снега) skalvalopс0о(снежная)2.fl.(движущая масса) streymurмсогл-ar(av o-m), floymurмсогл-ar(av o-m)
лави́ровать	лави́ру|ю, ~ешь, ~ютipf(pfслави́роватьслави́ру|ю, ~ешь, ~ют)1.skip.(о судах) krússaaði, skáksiglair(d){+},bógvaaði2.fl.(действовать не прямо) krússaaði,manerera [maːnɪꞋreː-]aði
ла́вка1	Iplurла́в|ки, ~ок, ~камf(скамейка) bonkurмсогл-ir{+}
ла́вка2	IIplurла́в|ки, ~ок, ~камf(торговая) handilм0осн-s,-ar, forrætning [-Ꞌra-]ннкж0-ar
ла́вовый	adjgrótbræðingar-лпгеол., lava- [laː-]
ла́вочка1	Iplurла́воч|ки, ~ек, ~камf síла́вкаI
ла́вочка2	IIplurла́воч|ки, ~ек, ~камf1.dim avла́вка II2.tlm.,fl.(жульё) svindilм0осн-s,-arнеодобр.; pakkс0о(клика)@закры́ть ла́вочкуgevastслнa-ó-iá hondum, leggjaнепрkongin;э́то одна́ ла́вочка!alt ein fjósin!идиом.=>пья́ный@
ла́вочник	(eis.[-шн-])m1.gml.(купец) handilsmaðurмнепр, keypmaðurмнепр2.fl.,atf.(торговцы) handilsfólkс0о
ла́вочный	adjhandils-
лавр	m1.(Laurus nobilis) laurber [lauɹ-] {lavrber}с0о{+}, laurbertræ [lauɹ-] {lavrberjatræ}с0о{æ/ø}{0<>i}2.plur(венок) laurberkransur [lauɹ-]мсогл-ar, lavrberjakransurмсогл-ar@пожина́ть {стяжа́ть} ла́врыheysta laurber [lauɹ-] {lavrber};почи́ть на ла́врахhvíla á sínum laurberum [lauɹ-] {lavrberum};уве́нчанный ла́врамиlaurberkransaður, lavrberjakransur =>Геростра́т
ла́вра	fkirk.klosturннкс0осн, kleysturнпс0осн(av serliga týðandi slag)
Лавре́нтий	síСвято́гоЛавре́нтия
лавро́вый	adjlaurber-ннк, lavrberja-нп; лавро́вый лист laurberblaðннк, lavrberjablaðнп
ла́вровый	adj síлавро́вый
лавса́н	mterylen [tʰεɹːileːn]с0о
