М1	I1.(skelti) метро́ metro2.«для мужчи́н» (á toiletthurð) M menn (надпись на туалете)
М.1	I1.Ма́лый Lítli (í staðarnøvnum); Ма́лая Нева́ Lítla Neva [-Ꞌvaː]2.Москва́ Moskva (í bókaskráum o.a.)
м2	II1.метр metur2.милли... milli... (forskoyti til málieindir)
м.2	II1.мо́ре hav, sjógvur2.мину́та minuttur3.мост brúgv4.мужско́й род kallkyn5.мыс nes, tangi
мавзоле́й	mmausoleum [mausoꞋleːum]с0-um; мавзоле́й Ле́нина Leninmausoleið [-leːjɪ]
мавр	mmaurari [mau-]мгл-ari; móriмгл-iкн., ред.@мавр сде́лал своё дело, мавр мо́жет уйти́bókl.nekarin hevur gjørt skyldu sína, nekarin kann fara
маврики́ец	Gen, Accмаврики́йц|а; plur~ы, ~ев, ~амmmauritiari [mauꞋriː-]мгл-ari
Маври́кий	m1.(остров) Mauritius [mauꞋriː-]ж нескл.(oyggj)2.(государство) Mauritius [mauꞋriː-]с нескл.(land)
маврики́йский	adjmauritiskur [mauꞋriː-]соглsk
маврита́нец	Gen, Accмаврита́нц|а; plur~ы, ~ев, ~амmmauritanari [mauɹiꞋtʰaː-]мгл-ari, mauritani [mauɹiꞋtʰaː-]мгл-i
Маврита́ния	fMauritanien [mauɹiꞋtʰaː-]ннкс0{дат.0}, Mauritania [mauɹiꞋtʰaː-]нпс нескл.
маврита́нка	plurмаврита́н|ки, ~ок, ~камmmauritanari [mauɹiꞋtʰaː-]мгл-ari, mauritani [mauɹiꞋtʰaː-]мгл-i(konufólk)
маврита́нский	adjmauritanskur [mauɹiꞋtʰaː-]соглnsk
мавро́лик	m(Maurolicus muelleri) lakssildж0-ir
маг	mtrøllmaðurмнепр, gandakallur [-tl-]мсогл-ar{+}@маг и волше́бникskemt.allahandamaður [alːanta-]мнепр, snillingur [-tl-]мсогл-ar
маг.	магази́н handil
Магада́н	mMagadan [maːkaꞋtaːn]м0{дат.0}
магази́н	m1.(торговое предприятие) handilм0осн-s,-ar, forrætning [-Ꞌra-]ннкж0-ar; сходи́ть в магази́н fara til handils, fara (út) at keypa; кни́жный магази́н bókhandil2.gml.(склад) goymslaжгл-a, lagur [laːk-]ннкс0опроф.3.(коробка в аппарате) magasin [maːkaꞋsiːn]с0о(;0-ir)(í byrsu o.a.)
магази́нный	adj1.(кмагази́н 1) handils-2.(кмагази́н 2) magasin- [maːkaꞋsiːn-]; магази́нная винто́вка magasinrifla [maːkaꞋsiːn-]
магази́нчик	mhandilsmaðurмнепр(maður, ið hevur handil)
магара́джа	plurмагара́дж|и, ~ей, ~амmmaharaja [mahaꞋratʃːa]м0-ar{дат.0}
магары́ч	Genмагарыч|а́; plur~и́, ~е́й, ~а́мmtlm.≈ gildiсгл-i(eftir at handil er gjørdur o.a.); поста́вить магары́ч halda gildi; с вас магары́ч! ≈ tú skyldar okkum ein lítlan!
МАГАТЭ	[магатэ́]n indeclМеждунаро́дное аге́нтство по а́томной эне́ргии IAEA [iː aː eː Ꞌaː] (англ.the International Atomic Energy Agency), Altjóða kjarnorkufelagsskapurin [-tn-]
Магдали́на	fbíbl.(Maria) Magdalena [-ꞋriːjamaktaꞋleː-]жгл-a-жгл-a; ка́ющаяся Магдали́наoftaspott.tann angrandi Maria Magdalena
Магелла́нов проли́в	Magellanstretið [-Ꞌkεlː-]ннксгл-iопр.проф., Magellansund [-Ꞌkεlː-]лпс0о
маги́стерский	adjmagistara- [-Ꞌkɪ-]
маги́стр	m1.(учёная степень) magistari [-Ꞌkɪ-]мгл-ari2.søg.(глава ордена) meistariмгл-ari(á odda fyri riddaralagi o.tíl.); вели́кий маги́стр stórmeistari
магистра́ль	f1.(дорожная) høvuðsvegurмсогл-ir{+}{0<>i}, høvuðsfarleiðж0-ir; автомоби́льная магистра́ль motorovegur [-Ꞌtʰoː-]мсогл-ir; autostrada [autoꞋstɹata]ннкжгл-a(;0-ir)(автострада); высокоскоростна́я [-сн-] магистра́ль motorvegu [-Ꞌtʰoː-], har nógvferð er loyvd2.(главная линия в коммуникации и др.) høvuðsleidningurмсогл-ar, høvuðleiðingж0-ar; во́дная магистра́ль høvuðsskipsrutaжгл-a; водопрово́дная магистра́ль (høvuðs)vatnleidningur [-vanl-], (høvuðs)vatnleiðing [-vanl-]; нефтяна́я магистра́ль oljuleidningurмсогл-ar, oljuleiðingж0-ar3.teld.(шина) bussurмсогл-arэвм=>грузово́й
магистра́льный	adjhøvuðs- (о проводах и т.п.); megin-; магистра́льный ка́бель høvuðskápil; магистра́льное направле́ниеeis.fl.meginlinjaжгл-a, høvuðslinjaжгл-a
магистра́т	m(городское управление) magistrat [-Ꞌstɹaːt]с0о
