Н	нью́тонmnewton [ɲjʉutʰɔn]ж0-ir
на...	forskeytiIger sagnorð við týdninginuma)gerðin er vend móti onkrum,á okkurt,t.d.наки́нуть, накати́ть, налете́ть, набро́сить; b)at gerðin verður gjørd til fulnar og at ávirkið er í stórum tali,t.d.наговори́ть, накупи́ть; c)gerðin kemur fram í veikum líki,t.d.напева́ть, наи́грывать; d)við eftirskoytinum -ся at gerðin er heilt fullførd og nøktandi,t.d.нае́сться; е)gerðin er vandaliga ella intenstivt útint,t.d.начи́стить, нагла́дить; f)at onkur venist við gerðina,t.d.натренирова́ть, нае́здить; g) at gerðin hevur sítt egna mark,t.d.написа́ть, намочи́тьIIger lýsingarorð og navnorð við týdninginum"sum er (uppi) á o-m",t.d.насте́нный, наколе́нникIIIger hjáorð,t.d.на́бок, назло́
на1	IprepA+ Acc1.(указывает на поверхность и др.,на которую направляются и т.п.) á +Вин; сесть на стул seta seg á stólin; ста́вить стaка́ны на стол seta gløsini á borðið; подня́ться на верши́ну fara upp á tindin; подня́ться на́ гору fara niðan á fjallið [-tlɪ]; подня́ться на тре́тий эта́ж fara upp á triðju hædd; влезть на де́рево fara upp í eitt træ, klíva upp í eitt træ; влезть на кры́шу fara upp á takið; лечь на дива́н leggja seg á divanina [-Ꞌvaː-]; бро́ситься накого-л.leggjaнепрá o-n2.(при обозначении места,пространства и т.п.) til+ Вин(+Род с личн. мест. и нек. геогр. назв. и нек. оборотами,иначе кн.,уст.); на се́вер norðureftir [-εʰtː-]; на Фаре́рские [-рэ́-] острова́ til Føroyar [fœɹjaɹ]; на Кавка́з til Kaukasus [kʰauka-]; на Ура́л til Ural [-Ꞌraːl]; на Се́верный по́люс til Norðurpólin; на Украи́ну til Ukraina [-Ꞌiː-]; на рабо́ту til arbeiðis; на собра́ние á fund, til ein fund; на конце́рт til konsert [-Ꞌsε-], á konsert [-Ꞌsε-]; на футбо́л til fótbólt; идти́ на рабо́ту fara til arbeiðis; опусти́ться на дно søkka niður á botn; му́хи летя́т на свет flugurnar flúgva móti ljósinum; идти́ на звук ganga móti ljóðinum3.(указывает на длительность срока) í+ Вин; но́мер на одну́ ночь (hotell)verilsi ([-Ꞌtʰεl-]) í eina nátt, (hotell)verilsi ([-Ꞌtʰεl-]) fyri eina nátt; запа́с на́ зиму vetrargoymsla; он прие́хал на неде́лю hann (er komin og) skal vera her í eina viku; он е́дет в Гермна́ию на неде́лю hann fer til Týsklands [-lan̊s] í eina viku; он уе́хал на два ме́сяца hann (er farin og) verður burtur í tveir mánaðir; на весь деньтжfyri Ꞌ dagin; на бу́дущее fyri framtíðina4.(при указании срока,времени) til+ Вин или переводится другими конструкциями; в ночь на сре́ду mikunáttina; (в) ночь на пя́тое ма́я náttina til fimta mai [mai]; на Па́сху á páskum; на Но́вый год á nýggjárum; на Рождество́ á jólum; на э́тот раз fyri hesa ferð; на сле́дующий день næsta dag, dagin Ꞌ eftir [εʰtː-]; на тре́тий день triðja dagin; уро́к на за́втра skúlatingini til í morgin; план на э́тот год ætlanin fyri hetta árið; назна́чить собра́ние на пя́тое ию́ля seta fundin at vera fimta mai [mai; отложи́тьчто-л.на сре́ду útsetao-ttil mikudagin; биле́т на сего́дняшний ве́чер billett [piꞋlεʰtː]ннкtil í kvøld; положе́ние на пе́рвое ма́рта støðan (, sum hon er) fyrsta [fɪsta] mars; на пе́рвое ма́рта произво́дство филе́ соста́вило 500 тонн pr. [pʰεɹː]проф.fyrsta [fɪsta] mars var framleiðslan av flaki 500 tons5.+comp(обозначает разницу)переводится б.ч. Вин без предлога: на три дня ра́ньше tríggjar dagar fyrr; на́ год ста́рше тебя́ eitt ár eldri enn tú; на три́дцать проце́нтов бо́льше, чем в про́шлом году́ tretivu prosent [-Ꞌsε-] meira enn í fjør6.(указывает на объём количественных изменений) við+ Дат или переводится Вин без предлога; уме́ньшиться на де́сять проце́нтов minka tíggju prosent [-Ꞌsε-], minka við tíggju prosentum [-Ꞌsε-]; расхо́ды возросли́ на два́дцать миллио́нов рубле́й útreiðslurnar vuksu tjúgu milliónir [mɪʎꞋjɔun-] rublar, útreiðslurnar vuksu við tjúgu milliónum [mɪʎꞋjɔun-] rublum; часы́ отста́ют на три мину́ты klokkan saktar tríggjar minuttir [-Ꞌnʊ-]7.(указывает на разные количественные отношения): оди́н на ты́сячу ein av túsund [tʰʉusɪn]; то́лько два жи́теля на квадра́тный киломе́тр bara tveir íbúgvar fyri hvønn kvadratkilometur [-Ꞌraː-]; раздели́тьчто-л.на две ча́сти býtao-tsundur í tveir partar; разби́ть ученико́в на три́ гру́ппы býta næmingarnar sundur í tríggjar bólkar; купи́тьчто-л.на вес keypao-teftir [εʰtː-] vekt; купи́тьчто-л.на ме́тры keypao-tí metrum, keypa í meturmáli; населе́ние состои́т на три че́тверти из кита́йцев tríggir fjórðingar av íbúgvunum eru kinesarar [kʰiꞋneː-]; и́мпорт на две тре́ти состои́тиз чего-л.tveir triðingar av innflutninginum eruo-t; раздели́ть шесть на три dividera [-Ꞌteː-]ннкseks við trý, býta seks við trý; умно́жить четы́ре на два ganga [kaŋka]ннкfýra og tvey, falda fýra við tveimum; пять ме́тров на три fimm ferðir tríggjar metrar, fimma ganga [kaŋka]ннкtrý, fimm ganga [kaŋka]ннкtríggjar metrar (longd og breidd); четы́ре ме́тра в длину́ на три в ширину́ tríggjar metrar langur og fýra breiður; tríggjar ganga [kaŋka]ннкfýra metrar8.(указывает на цель) til +Вин(+Род с нек. геогр. назв.,иначе кн.,уст.;как правило о фарерских городах и др., о странах, окачнивающихся на-land); по́езд на Москву́ tokið til Moskva; доро́га на Москву́ vegurin til Moskva; биле́т на Москву́ billett [piꞋlεʰtː-] til Moskva; пассажи́ры на Москву́ ferðafólk til Moskva ,sbr.в А 1; ассигнова́ния на жили́щное строи́тельство játtan til húsabygging; пра́во на труд rætturin til arbeiði; тра́тить мно́го на оде́жду brúka nógv upp á klæðir; подня́ться на борьбу́ rísa upp til bardaga; учи́ться на врача́ lesa til lækna; что на ужи́н? hvat fáa vit til nátturða?; на что э́то тебе́? hvat skalt tú brúka hetta til?9.(указывает на образ,характер, обстановку или условие действия) til +Вин; перевести́ на фаре́рский язы́к umseta til føroyskt [føːɹɪst]10.(для,ради) til +Вин; стол на трои́х eitt borð til trý; обе́д на 5 челове́к døgurði[tøːvɹɪ] til fimm fólk11.(в обмен за): ма́рок на 150 рубле́й frímerkir fyri 150 rublar, 150 rublar í frímerkjum; купи́тьчто-л.на 1500 рубле́й keypao-tfyri 1500 rublar; прода́тьчто-л. на 1500 рубле́й seljao-tfyri 1500 rublar; на свои́ де́ньги fyri sínar egnu pengar12.: игра́ть на слух spæla eftir [εʰtː-] gehør [-Ꞌhøːɹ]; учи́ться на «отли́чно» fáaслнe-i-i«fimm» (hægsti karakterur í russ. skúlum)B+ Prp1.(указывает на поверность на которой что располагается и др.) á +Дат(исключением являются конструкции сskrivaи др.); писа́ть на доске́ skriva (upp) á talvuna; сиде́ть на сту́ле sita á stólinum; на столе́ стоя́т стака́ны á borðinum standa gløs; на шесто́м этаже́ á sættu hædd; на горе́ (uppi) á fjallinum [-tl-]; лежа́ть на дива́не liggja á divanini [-Ꞌvaː-]; на нём но́вый костю́м hann er í einum nýggjum klædningi; на доро́ге лу́жа ein hylur er á vegnum [veːn-]; пла́вать на Чёрном мо́ре sigla á Svartahavinum; игра́ть на у́лице spæla (úti) á vegnum [veːn-]; spæla uttanfyri2.(в каком-л. месте) á+ Дат, í+ Дат(об отдельных географических названиях), við+ Вин(о местоположении на реке,море и т.п.); на о́зере (niðri [nɪɹːɪ]) við vatnið; на реке́ (niðri [nɪɹːɪ]) við ánna; на мо́ре við sjógvin; жить на Во́лге búgva við Volga; жить на Чёрном мо́ре búgva við Svartahavið; жить на у́лице Ле́нина búgva á Leningøtuni; на Фаре́рских [-рэ́-] острова́х í Føroyum [fœɹjʊn]; на Кавка́зе í Kaukasus [kʰauka-]; на Украи́не í Ukraina [-Ꞌiːna]; на Ура́ле [-Ꞌraːl] í Ural [-Ꞌraː]; на Се́верном по́люсе á Norðurpólinum; на се́вере norðanfyri; он на рабо́те hann er til arbeiðis; на собра́нии á fundi; сиде́ть на собра́нии vera á fundi; vera til ein fund3.(в определённое время) í+ Дат или переводится Вин без предлога; на деся́том году́ жи́зни á tíggjunda árinum av lívinum, níggju ára gamal; на про́шлой неде́ле í síðstu viku, í farnu viku; на э́той неде́ле hesa vikuna; на войне́ í krígnum [kʰɹʊin-]; на днях um dagarnar; ein dagin (неопределённо когда); onkran dagin (в будущем)4.(указывает на средство) við+ Дат; е́хать на авто́бусе fara við bussi, koyra við bussi; е́хать на парохо́де fara við skipi, siglair(d){+}(sum ferðafólk); лете́ть на самолёте fara við flúgvara, flúgvaслнey-u-o(sum ferðafólk); жа́рить на ма́сле steikja í smøri; развести́ на воде́ upploysa í vatni; варе́нье на са́харе súltutoy gjørt við sukri; игра́тьна чём-л. spælao-t; spælaupp á[-Ꞌpʰɔa]o-t; заво́д рабо́тает на не́фти fabrikkin [-Ꞌpɹɪ-]ннкkoyrir upp á olju5.(указывает на образ действия): на слова́х í orðum; на цы́почках á tá6.: дыра́ на дыре́ hol við hol; запла́та на запла́те bót við bót; ко́чка на ко́чке túgva við túgvu; оши́бка на оши́бке ≈ yðjandi fult í feilum7.: быть на лече́нии vera undir læknahond; быть на хране́нии vera goymdurсогл; vera á goymslu8. (указывает на образ,характер): на фаре́рском [-рэ́-] языке́ á føroyskum [føɹɪsk-]
на2	IIparttlm.hygg, tak tað; на́ книгу tak bókina@вот тебе (и) на! {вот те (и) на́!}so for hundarnar!;на́ тебе!so for hundarnar!,sbr.на́те
наб.	síна́бережная
наба́вить	наба́влю, наба́в|ишь, ~ятpf(ipfнабавля́ть)1.что-л., чего-л.(сделать прибавку) leggjaнепрo-tafturat [aꞋtʰɹεat]; leggjaнепрo-tomaná [oːmanꞋɔa] (ос. о цене); наба́вить зарпла́ту leggja aftur at lønini, hækka lønina; наба́вить це́нуна что-л.hækkaaðiprísiná o-m, setaur(t);ir(t)prísiná o-mupp; наба́вить де́сять рубле́й начто-л.leggja tíggju rublar aftur at prísinumá o-m, leggja tíggju rublar aftur at prísinum, leggja tíggju rublar oman á prísin2.что-л., чего-л.(увеличить скорость) setaur(t);ir(t)o-tupp; наба́вить ско́рость seta ferðina upp
наба́вка	plurнаба́в|ки, ~ок, ~камfískoytiсгл-i; viðbótж0-ur{ó/ø}; hækkingж0-ar(повышение)
набавля́ть	ipf síнаба́вить
наба́вочный	stfнаба́воч|ен, ~на, ~но, ~ныadj tlm.ískoytis; eyka-, sum er lagdur afturat [aꞋtʰɹεat]
набаламу́тить	pf síбаламу́тить
набалда́шник	mknappurмсогл-ar(ovast á stavi)
