о.	Iо́бластьIIо́стров
о...	(об..., обо..., объ...)sagnorðaforskeyti, ið merkir, at gerðin1.fer um, fevnir um ávirkið á øllum síðumогороди́ть, осмотре́ть2.er beind forbí ávirkiðобежа́тьчто-л.стороно́й3.umfatar fleiri ávirkirодари́ть, обе́гать4.verður framd betri, gjølligari, skjótari o.s.fr. av grundliðinum enn av øðrumобыгра́ть, обскака́ть5.verður gjørd í ov stóran munопои́ть, опи́ться6.hevur við sær, at ávirkið fær skaða, situr við skerdan lutобве́сить, обсчита́ть7.(við eftirskeytinum-ся) verður skeivt gjørd оговори́ться, обсчита́ться8.hevur við sær, at ávirkið verður útgjørt við onkrum, fær okkurtозелени́ть, оснасти́ть9.verður fullførd og ávirkið fær nýggjan eginleikaогло́хнуть, окамене́ть
о1	I (обframman fyri sjálvlóðumog saman við оframman fyri ё, я, ю, og í summum førum í talumáli framman fyri hjáljóði; обоí sambondunumобо мне́, обо что́, обо всё,og saman viðоí sambondunumобо всём, обо всей, обо все́х)prepA+Acc1.(указывает на столкновение,соприкосновение) móti+ Дат, á +Дат; опира́ться обочто-л.styðja seg mótio-m, styðja seg tilo-t, styðja seg upp ato-m; уда́риться о дверь meiða seg á hurðini; споткну́ться о поро́г snáva um gáttina; ло́дка тёрлась о прича́л báturin lá og gnaddaði móti brúnni2.(рядом,вплотную) (við uppafturtøku av navnorði) síð um síð, lið um liðB+Prp1.(указывает на объект мысли,чувства и т.п.) um +Вин; кни́га о живо́тных ein bók um djór; мечта́ть об э́той пое́здке droyma um hesa ferðina; говори́ть о пого́де tosa um veðrið [vεkɹɪ]; ду́мать о де́тях hugsa um børnini [-tn-]; забо́титься о сёстрах syrgja fyri systrunum2.gml.,dial.(указывает на наличие чего-л. у предмета) við +Дат(vísir til talið av o-m); избу́шка о двух око́шках ein smátta við trimum vindeygum [vɪntøːvʊn] (редко[vɪntεijʊn]); стул о трёх но́жках ein tríbeintur stólur, ein stólur við trimum beinum; шху́на о двух ма́чтах ein tveymastrað skonnart, ein skonnart við tveimum mastrum =>бок@,бортI 1,па́лец@,па́лка@,рука́@
о2	IIinter1.(усиление высказывания) á [ɔ:] ([ɔa]кн.), oкн.,выс.; о, как краси́во! á [ɔ:] , sum tað er pentннк!; á, sum tað er vakurt!; О Ро́дина-мать! O, móðurland!2.(усиливает утверждение или отрицание) о да! ja; ja, tað er heilt sikkurtннк; ja, tað er heilt vist; о нет! nei; nei, heilt sikkurtннкikki3.(удивление, восхищение, негодование и т.п.) á [ɔ:]; о, это ты? á, er tað tú?; о, Бо́же! Á, Jesus!; о, е́сли бы ты знал! á, hevði [hεijɪ] tú vitað!4.(боль) oy (pína)
оа́зис	f1.(в пустыне) oasa [oꞋaːsa]жгл-a, gróðrarbletturмсогл-s,-ir, grønaжгл-a(í oyðimørk)2.чего-л.(о чём-л. отрадном и т.п.) oasa [oꞋaːsa]жгл-afyri o-t
ОАО́	[о-а-о́]n indecl stytt. fyri откры́тое акционе́рное о́бщество  partafelag, opið fyri almenninginum
ОАЭ	[оаэ́]plur indeclОбъединённые Ара́бские Эмира́ты Sameindu arabisku [-Ꞌraː-] emirríkini [-Ꞌmiːɹ-]мн опр.офиц., Sameindu arabisku [-Ꞌraː-] emiratini [-Ꞌraː-]мн опр.
об	síо I
об.	оборо́т
об...	sagnorðaforskoyti, ið verður brúkt1.framman fyri sjálvljóðumобыгра́ть, обучи́ть;í onkrum førum framman fyri hjáljóðiобваля́ть, обруби́ть2.í nøkrum førum saman viðо...framman fyri hjáljóðum; oftast eru sagnorð viðоб...meira talumálskend og hava meira konkretan týdning enn sagnorð viðо... обкле́ить (sbr.окле́ить),síannarsо...
о́ба	Gen(ogAccfyri livandi)обо́их, Dat обо́им, Ins обо́ими, Prp обо́их m/n,о́беGen обе́их(ogAccfyri livandi), Dat обе́им, Ins обе́ими, Prp обе́их f num kollbáðirм, báðarж, bæðiс(и м и ж вместе); о́ба сы́на báðir synirnir; о́бе сестры́ báðar systrarnar; о́ба ребёнка bæði børnini [-tn-]; я хочу́ ви́деть их обо́их eg vil gjarna síggja báðar (две особы мужского пола), eg vil gjarna síggja bæði (две особы мужского и женского полов); обо́ими глаза́ми við báðum eygum; обе́ими рука́ми við báðum hondum,ср.@; по о́бе сто́роны {на обе́их сторона́х} реки́ báðumegin ánna@смотре́ть в о́баtlm.ansaaðivæl eftir [εʰtː-];обе́ими рука́миtlm.við báðum hondum (fegin), feginсоглоснg
