п.1	I паде́ж
п.2	II пара́граф
п.3	III переу́лок
п.4	IVtalv.пе́шка
п.5	V посёлок
п.6	VI пуд
п.7	VII пункт
па1	In indecl(в танце) stigс0о{0<>i}(í dansi)
па2	IIm indecltlm.(обращение к отцу) babbaм нескл.(в детском языке,однако,встречается и в мн) (í tiltalu)
паб	mpubburмсогл-ar(реже[pʰɔpː-])
па́блик	msíðaжгл-a(serl. í tí sosiala miðlinum вКонтакте)
па́блик-риле́йшнз	[-лэ́-]m indeclpublic relations [pʰɔplɪʰkreˈlεiʃɔn̊s]с нескл., спец., проф., virkissamskiftiлпсгл-i
пабли́сити	n indeclbókl.umtalaжгл-a, víðagitniсгл-i, publicity [pʰɔꞋplɪsːɪtʰi]энкс нескл.проф.
па́ва	f1.(самка павлина) páfuglahønaжгл-a2.tlm.(о женщине) andbráð [amp-] og svinn konaжгл-a@па́вою {как па́ва}tignarliga og mjúkliga [mjʏkl-];кто-л.ни па́ва ни воро́на≈o-rer hvørki fuglur ella [εtla] fiskurпог.
Па́вел	Gen, AccПа́влаm eis.bíbl.Paulus [pʰaulʊs]м0-ar{0<>}библ.
павиа́н	m(Papio) bavianur [pa:viꞋaːn-]мсогл-ar, baviánur [pa:viꞋɔan-]лпмсогл-ar
павильо́н	m1.(здание разного рода) pavillon {pavillong} [pʰaːvɪꞋʎjɔŋk]ж0-ir; вы́ставочный павильо́нтжframsýningarskáliнпмгл-i2.film.(для съёмок) studioс0гл
павли́н	m(Pavo) páfuglurмсогл-ar
павли́ний	adjpáfugla-; павли́ний хвост páfuglavel@павли́ний глаз(сем. Attacidae,Saturniidae) páfuglaeygaсгл-a(firvaldur); онворо́на в павли́ньих пе́рьях≈ hann pyntar seg við læntum fjaðrumпог.
па́водок	Genпа́водкаmáarføriсгл-i(áarvøkstur av regni o.ø.), áarvøksturм0осн-ar{ø/a},-ir;согл-ir{ø/a}
па́вший	Ipartic pret avпастьIIm plur: па́вшие в бою́hátíð.teir falnu
паге́ль	m: краснопёрый паге́ль(Pagellus bogaraveo)øgnkarpiмгл-i
паге́люс	m: ро́зовый паге́люс (Pagellus bogaraveo)øgnkarpiмгл-i
пагина́ция	ftalmerkingж0-arav síðum, paginering [pʰaːkiꞋneː-]ж0-arпроф.
па́года	fpagoda [-Ꞌkoː-]жгл-a
па́губа	f gml.undirgangurмсогл-ir(гибель); stórur skaðiмгл.i, meinс0o(вред)
па́губный	stfпа́губ|ен, ~на, ~но, ~ныadjspillandi [-tl-]глandi, oyðileggjandi [-Ꞌlε-]глandi; skaðiligurглigur(вредный); vanlukkuligur [-Ꞌlʊʰkː-]глigur(роковой); па́губное влия́ние spillandi ávirkan; па́губная поли́тика vanlukkuligur politikkur [-Ꞌtʰɪʰkː-]
пад...	паду́o.s.fr. fut avпасть
па́далица	f koll1.(семена) niðurdottin fræс0о{0<>i}мн(av træi)2.síпа́данцы
па́даль	f bert sing eis. koll1.(труп) ræс0о{0<>i}, rovс0омн(остатки)2.illb.(презираемый человек) ≈ lúshundurмсогл-arбран., пренебр.
па́данец	Genпа́днац|а;plur~ы, ~ев, ~амfniðurdottin fruktж0-ir(av træ) (тж собир.)
