Р	рентге́н röntgen {røntgen} [rœŋ̊kɪn]
р.	1.река́ á2.родmáll.kynграм.3.роди́лся f., føddur4.рубль rubil
рeга́лия	f1.oftast plurgml.(символ монархической власти) kongstignarmerkiсгл-iмнкн.,выс., regaliur [-Ꞌkaː-]ннкжгл-aмн2.oftast plurgml., tlm.(орден и т.п.) heiðursmerkiсгл-i, ordanirм0-irмн; яви́ться при всех рега́лиях koma í øllum [-tl-] stásinum
Ра	mmyt.Ra [raː]м нескл.
раб	Gen, Accраб|а́;plur~ы́, ~о́в, ~а́мm1.søg.(человек,лишённый прав) trælurмсогл-s,-ir;согл-ar, slava [slaːva]ннкжгл-a(в нескандинавских странах)2.søg. (крепостной) líveginмприл, lívognarbóndiмгл-ur(brúkt í Russlandi í 18.- 19. øld um ivegnan bónda)3.fl.(тот,кто полностью подчиняется кому-л., чему-л.) trælurмсогл-s,-ir;согл-ar, slava [slaːva]ннкжгл-a; раб свои́х привы́чек ein slavaннкav sínum vanum
раба́	f bert sing(í plur verður brúktрабы́ниo.s.fr.)1.søg.(при рабовладельческом строе) trælkvinna [tʰral̥k-]жгл-a, slavinda [slaːvꞋɪ-]ннкжгл-a(в нескандинавских странах)2.fl.(полностью подчиняющаяся обстоятельствам и др.) trælkvinna [tʰral̥k-]жгл-aкн., slavinda [slaːvꞋɪ-]ннкжгл-a
Раба́т	mRabat [-Ꞌpaʰtː]м0{дат0}
раба́тка	plurраба́т|ки, ~ок, ~камf(blómu)beðс0о{0<>i}кн., (blómu)teigurмсогл-arкн.,офиц.(fram við veggi,gøtu)
рабко́р	msovjet.рабо́чий корреспонде́нт (arbeiðsfólk,ið skrivar regluliga í blað)
рабовладе́лец	Gen, Accрабовладе́льц|а;plur~ы, ев, ~амmtrælahaldariмгл-ari, trælaánariнпмгл-ari
рабовладе́льческий	adjtrælaeigara-
рабовладе́ние	ntrælahaldс0о
раболе́пие	ntað at krúpa (fyri o-m), sleiskheitж0-ir, sleiskniсгл-i, servilitetur [-Ꞌtʰeː-]интмсогл-ar
раболе́пный	stfраболе́п|ен, ~на, ~но, ~ныadjkrúpandiглandi, sleiskurсоглsk, servilur [-Ꞌvɪː-]интсогл
раболе́пство	n síраболе́пие
раболе́пствовать	раболе́пству|ю, ~ешь, ~ютipf перед Inskrúpaслнey-u-o(fyri Дат)
рабо́та	f1.(над чем-л. - við o-m, upp á o-t) (занятие,труд) arbeiðiсгл-i; рабо́та над кни́гой arbeiðið upp á bókina; вре́мя рабо́ты arbeiðstíð; вре́менная рабо́та fyribils arbeiði; за рабо́той við arbeiðið; у неё мно́го рабо́тытжhon hevur nógv at gera2. (служба) arbeiðiсгл-i; starvс0о{a/ø}; jobb [tʃɔpː]энкс0онеформ.(должность); у него́ есть рабо́та hann hevur arbeiði; у него́ постоя́нная рабо́та hann hevur fast arbeiði; она́ без рабо́ты hon hevur einki arbeiði; перейти́ на другу́ю рабо́ту skifta arbeiði; взятького-л.на рабо́ту setaur(t);ir(t)o-ní starvофиц.; gevaслнa-ó-io-marbeiði; идти́ на рабо́ту fara til arbeiðis; он на рабо́те hann er til arbeiðis3.(функционирование) arbeiðiсгл-i; рабо́та се́рдца arbeiðið hjá [tʃʰ-] hjartanum [ja-]; рабо́та дви́гателя arbeiðið hjá [tʃʰ-] motorinum [-Ꞌtʰoː-]4.plur(по созданию,обработке чего-л.) arbeiðiсгл-i; строи́тельные рабо́ты byggiarbeiði5. (продукт труда) verkс0о, arbeiðiсгл-i; вы́ставка рабо́т N. ein framsýning av verkum eftir [εʰtː-] N.6.(качество,способ исполнения) arbeiðiсгл-i; то́нкая рабо́та fínt arbeiði, nettligt arbeiði; э́то ручна́я рабо́та hetta er hondarbeiði; э́то хоро́шая рабо́та hetta er væl úr hondum greitt arbeiði7.(школьная) uppgávaжгл-a(skúlaarbeiði); дома́шняя рабо́та heimauppgáva, heimaarbeiðiсгл-i; пи́сьменная рабо́та skrivligt arbeiðiсгл-i, skrivlig uppgáva8.fys.(единица) arbeiðiсгл-i(sum eind í fysikk); джо́уль - едини́ца рабо́ты joule [tʃuːl] er ein eind fyri arbeiði@взятького-л.в рабо́туtlm.≈ gevaслнa-ó-io-mtoyggið;чья рабо́та?tlm.hvør hevur gjørt hetta?;моя́ {твоя́o.s.fr.} рабо́таtlm.eg havi gjørt hettaи т.д.=>вести́B 5,волк@,вы́полнить1,горе́ть@,двойно́й2,доро́жный1,полево́й1,поступи́ть3,удалённыйii,чёрный6,чи́стый6
