-с	partgml.(brúkt tá o-r vildi vísa seg fólkaligan, sleiska ella viðhvørt vera speiskur); чего́ изво́лите-с? hvat vilja tygum hava?
с.	1.село́2.страни́ца
с...	forskoyti, iðImyndar sagnorð við merkinginia)rørsla ymstastaðni frá til eitt punkt, sameining í einum punkti,t.d.сгрести́, скле́ить; b)rørsla ú erva niðureftir, t.d.спры́гнуть; c)burturtøka av onkrum onkustaðni frá, av onkrari yvirflatu o.a., t.d.скоси́ть, сбрить; d)saman við eftirskoytinum -ся sínamillum gerð ella sameining, t.d.срабо́таться; e)gerð eftir onkrari ávísari fyrimynd o.tíl., t.d.срисова́ть, скопи́ровать; f)at ávíst eyðkenni verður givið, t.d.сни́зить; g)saman við innskoytinum-ну-:momentansagnorð, t.d. сболтну́ть; h)perfektivt sagnorð, t.d.сде́лать, спетьIImyndar hjáorð,t.d.сбо́ку, сполна́
с1	I слонtalvB bispur
с2	II (со)prepA+ Ins1.(совместность;характер или орудие действия) við+ Дат; прийти́ с бра́том koma (saman) við beiggja sínum; взять с собо́йчто-л.takao-tvið sær; занима́ться матема́тикойс кем-л.lesa matematikk [maːtɪmaꞋtʰɪʰkː] viðo-m; вы́рватьчто-л.с ко́рнем skræðao-tupp við rót; лете́ть со ско́ростью зву́ка flúgva við ljóðferð; уе́хать с пе́рвым по́ездом fara avstað [-Ꞌstεa] við fyrsta [fɪsta] toki; слу́шать с улы́бкой lurta við einum smíli; кто с тобо́й е́хал? hvør fór við tær?; мо́жно с тобо́й пойти́? kann eg sleppa við tær?; её уже́ нет с на́ми hon er ikki longur okkara millum [-tl-]; вы с ма́мой a) (ты и мама) mamma og tú; b) (вы и мама) mamma og tit; мы с бра́том beiggi mín og eg; мы с тобо́й eg og tú (я и ты); vit báðir (двое мужчин); vit báðar (две женщины); vit bæði (мужчина и женщина); мы с ним hann og eg; vit báðir (двое мужчин); vit bæði (мужчина и женщина)2.(наличие чего-л.) við+ Дат; дом с кра́сной кры́шей eitt hús við reyðum taki; с одни́м усло́вием við einari treyt; ко́мната с ни́зким потолко́м eitt verilsi við lágum lofti; ко́фе с молоко́м kaffi við mjólk útí [-Ꞌtʰʊi]; мя́со с карто́шкой kjøt og eplir; kjøt við eplum afturvið [aʰtː-]; бутербро́д с сы́ром breyð við ost uppá [ʊꞋpʰɔa]неформ.; три мешка́ с карто́шкой tríggir sekkir við eplum; бифште́кс с лу́ком búff við leyki; с улы́бкой við einum smíli; спать с откrы́тым ртом sova við opnum munni; просну́ться с головно́й бо́лью vakna við høvuðpínu3.(цель действия): обрати́ться с про́сьбой venda sær (tilo-n) við einari áheitan; прийти́ с визи́том koma at vitja; вы́ступи́ть с ре́чью flytaur(t){y/u}fram røðu, haldaслнe-i-irøðu; поздра́вить счем-л.ynskja til lukku viðo-m; поздра́вить с пра́здником ynskja til lukku við høgtíðini [hœʰkt-]; С Но́вым го́дом! Gott nýggjár!4.(принадлежность,состояние) við+ Дат; с коро́ткими волоса́ми við stuttum hári; де́вочка с голубы́ми глаза́ми ein genta við bláum eygum; стол со сло́манной но́жкой eitt borð við einum brotnum beini; лежа́ть со сло́манной ного́й liggja við brotnum beini; с кни́гой в руке́ við einari bók í hondini5.(время действия) sum frá líður; с ка́ждым днём положе́ние ухудша́ется fyri hvønn dag gerst støðan verri; э́то пройдёт со вре́менем hetta fer, sum frá líður; hetta hvørvur, sum frá líður; э́то пройдёт с во́зрастом hann veksur frá tí; с наступле́нием темноты́ tá dagsett [taks-] var; tá tað fer at myrkja; с прие́здом отца́ жизнь измени́лась tá pápi(n) kom, varð lívið øðrvísi6.(объект действия,свойства) við+ Вин; говори́ть с гостя́ми tosa við gestirnar; игра́ть с други́ми детьми́ spæla við hini børnini [-tn-]; боро́ться с врага́ми berjast móti fíggindunum, berjast við fíggindan; боро́ться с тру́дностями berjast móti trupulleikunum, berjast við trupulleikarnar; приве́тливый со все́ми blíður við øll [œtl], blíður móti øllum [œtl-]7.(связь,отношение) við+ Вин; соедини́тьчто-л.счем-л.forbinda [-Ꞌpɪ-]ннкo-tviðo-t; прекрати́ть дру́жбу скем-л. slíta vinalagið viðo-n8.(определённое состояние): с ним случи́лось несча́стье hann var fyri einum óhappi; с ним о́бморок hann er svímaður; с рабо́той обстои́т хорошо́ tað gongst væl við arbeiðinum; tað stendur væl til við arbeiðinum; у него́ пло́хо с желу́дком hann er ringur í maganum; что с ней? hvat bagir henni?; hvat feilar henni?9.(смежность): грани́ца с Финля́ндией markið til Finnland; сесть ря́дом скем-л.seta seg hjáo-m; seta seg við síðuna avo-mB+ Gen1.(удаление,взятие,получение откуда-л.) av+ Дат; снять ска́терть со стола́ taka dúkin av borðinum; убра́ть со стола́ taka av borðinum; кни́га упа́ла с по́лки bókin datt niður av hillini [-tl-]; упасть с ло́шади detta av hestinum; стере́ть пыль с ва́зы turka støvið av vasanum [vaː-], støva vasan [vaː-] Ꞌ av; сверну́ть с доро́ги snara av vegnum [veːn-]; собира́ть нало́г ского-л.krevja skatt avo-m; тре́бовать де́ньги ского-л.krevja pengar fráo-m; отда́ть долг с полу́чки gjalda skuldina, tá ein fær løn; ско́лько с меня́? hvussu nógv skyldi eg?; hvussu nógv blívur tað?; с вас ты́сяча рубле́й! tygum skulu betala [-Ꞌtʰεa-]ннкtúsund rublar!; tygum mugu betala [-Ꞌtʰεa-]ннкtúsund rublar!; tygum eiga at betala [-Ꞌtʰεa-]ннкtúsund rublar!; с ка́ждого по 200 рубле́й tvey hundrað rublar fyri hvønn; tvey hundrað rublar frá hvørjum; (э́то бу́дет) 1500 рубле́й с челове́ка (tað verður) 1500 rublar fyri hvønn; нало́г с оборо́та søluskattur, sølugjald; по 50 це́нтнеров с гекта́ра 5 tons fyri hvønn hektara2.(направление откуда-л.) frá+ Дат; úr+ Дат; с се́вера на юг frá norður til suður; с головы́ до ног frá høvur til fóts; прие́хать с Фаре́рских [-рэ́-] острово́в koma úr Føroyum [fœɹjʊn]; прие́хать с Кавка́за koma úr Kaukasus [kʰau-]; прие́хать с Украи́ны koma úr Ukraina [-aꞋiː-]; прие́хать с Ко́льского полуо́строва koma av Kolahálvoynni [-tnɪ]; прие́хать с Во́лги koma frá Volga; шум с у́лицы gangur frá vegnum [veːn-]; вход с у́лицы inngongd frá vegnum [veːn-]; встать со сту́ла reisa seg upp frá stólinum; говори́ть с трибу́ны tosa av røðarapallinum [-tl-]; встать с ме́ста reisa seg; fara á føtur; не тро́гаться с ме́ста ikki fara av staðnum;тжikki fara av fetinum, ikki fara um tvøran fót; верну́ться с рабо́ты koma heim frá arbeiðinum; ве́тер с мо́ря vindur av sjónum; vindur uttan av havi3.(начальный момент) frá+ Дат; с того дня frá hesum degi; с ра́нних лет frá ungum árum; с утра́ до ве́чера frá morgni [mɔtnɪ] til myrkurs; с пе́рвого ма́рта frá fyrsta [fɪsta] mars; с октября́ по дека́брь frá oktober [-Ꞌtʰoːpʊɹ] til desember [-Ꞌsεmpʊɹ]; с двух до семи́ frá tvey til sjey; с сего́дняшнего дня́ frá í dag; с са́мого нача́ла av fyrstan [fɪst-] tíð; с о́сени síðani í heyst; с про́шлой о́сени síðani í fjør heyst; с про́шлого го́да síðani í fjør; ночь с суббо́ты на воскресе́нье sunnunáttin4.с... на ... : с мину́ты на мину́ту nær tað skal vera; hvørja løtu; со дня на́ день nær tað skal vera; он мо́жет прийти́ с мину́ты на мину́ту hann kann koma hvørja løtu; мы ждём его́ со дня на́ день vit vænta hann hvønn dag5.(источник,образец) av+ Дат; úr+ Дат; перево́д с ру́сского на фаре́рский ein týðing úr russiskum til føroyskt [føːɹɪst]; ко́пия с письма́ kopi [-Ꞌpʰiː] av einum brævi; писа́ть порте́т ского-л.mála eina mynd avo-m; репроду́кция с карти́ны Ре́пина reproduktión [-tʊʰkꞋʃɔun] av einum málningi eftir [εʰtː-] Repin; брать приме́р ского-л.takao-nsum fyridømi, havao-nsum fyridømi; перча́тка с пра́вой руки́ handski [haɲ̊ʃtʃɪ] av høgru hond6.(причина) av+ Дат; с го́ря av sorg; с непривы́чки tío-rer óvanur viðo-t; умира́ть со́ смеху vera um at doyggja í látri; vera um at kódna í látri; опьяне́ть с двух стака́нов kenna Ꞌ til av tveimum gløsum; уста́ть с доро́ги verða móður av ferðini7. (основание для чего-л.) við+ Дат; с согла́сия председа́теля við formansins góðkenning; с ва́шего разреше́ния við tygara loyvi; við loyvi frá tygum8.(способ, условие) við+ Дат; взятьчто-л.с бо́я {бо́ю} taka í einum stormálopi; писа́ть с большо́й бу́квы skriva við stórum bókstavi [pœʰks-]; корми́ть ребёнка с ло́жечки geva einum barni [-tnɪ] við skeið; с одного́ вы́стрела við einum skoti; с аукцио́на á auktión [aʰkꞋʃɔun], á uppboðssøluC+ Accumleið [-Ꞌlai] (+ Вин);он про́жил там с ме́сяц hann búði har í umleið ein mánað; с киломе́тр отсю́да umleið ein kilometur [kʰiː-] hiðani; величино́й с дом á stødd við eitt hús; ро́стом с тебя́ til hæddar (umleið) sum tú; umleið á tínari stødd; næstan líka stórur sum tú =>годA 1,де́тство,дово́льноII,ли́шний@,молото́к@,нача́ть3,полови́на1,поступи́ть2,расста́ться,сей@,си́ла1,сторона́2,труд2,удово́льствие1,хвати́тьI 3,шаг1
саа́м	msámiмгл-i, sami [saː-]мгл-i
саа́ми	m/f indeclsámiмгл-i, sami [saː-]мгл-i(eis. um konufólk)
саа́мка	plurсаа́м|ки, ~ок, ~камfsámiмгл-i, sami [saː-]мгл-i(konufólk)
саа́мский	adjsámiskurсоглsk, samiskur [saː-]соглsk; саа́мский язы́к sámisktсприлskt, samisktсприлskt
Са́аремаа	f indeclSaaremaa [saːreːma]ж нескл., Ösel [øːsεl]ж нескл.
