т.	1.това́рищ2.том3.то́нна4.телефо́н5.тира́ж6.то́чка7.ты́сяча
та	f síтот
таба́к	Genтабака́, табаку́m1.(Nicotiana) tubbaksplantaжгл-a2.(листья,курево) tubbakс0о@де́ло таба́к!óvkm.nú eru vit komnir í kløtur!; nú eru vit sperdir!; nú stendur illa [ɪtla] til!;совсе́м друго́й таба́кóvkm.tað er nakað (heilt) annað; tað er annað mál =>жева́тельный2,кури́тельный,ню́хательный,сла́бый5
табака́	: цыплёнок табака́høsnarungi skorin upp eftir bringuni og stoktur við ym. kryddaríum
табаке́рка	plurтабаке́р|ки, ~ок, ~камfsnúsdósж0-ir
табаково́д	mtubbaksdyrkariмгл-ari
табаково́дство	ntubbaksdyrkingж0-ar
табакокуре́ние	ntubbaksroykingж0-ar, roykingж0-ar
таба́нить	таба́н|ю, ~ишь, ~ятipfskjótaслнey-u-oꞋ á (bát)
табасара́н	m síтабасара́нец
табасара́нец	Gen, Accтабасара́нц|а; plur~ы, ~ев, ~амmtabasarani [tʰaːpasaꞋraː-]мгл-i, tabasaranari [tʰaːpasaꞋraː-]мгл-ari
табасара́нка	plurтабасара́н|ки, ~ок, ~камftabasarani [tʰaːpasaꞋraː-]мгл-i, tabasaranari [tʰaːpasaꞋraː-]мгл-ari(konufólk)
табасара́нский	adjtabasaranskur [tʰaːpasaꞋraː-]соглsk; табасара́нский язы́к tabasaransktсприлskt
таба́чник	m1.(работник табачной промышленности) tubbaksarbeiðariмгл-ari2.gml.,óvkm.(курящий) roykjariмгл-ari;o-r, sum snúsar (нюхающий табак)
таба́чница	f1. (работница табачной промышленности) tubbaksarbeiðariмгл-ari(konufólk)2.gml.,óvkm.(курящая) roykjariмгл-ari;o-r, ið snúsar (нюхающая табак) (konufólk)
таба́чный	adj1.(ктаба́к) tubbaks-; таба́чный дым tubbaksroykur2.(о цвете) grønbrúnurсогл
та́бель1	Im1.(список) listiмгл-i; yvirlitс0о(перечень); tímatalvaжгл-a, tímaætlanж0-ir(расписание)2.(листок успеваемости) (slag av) karakterbók [kʰaːɹaʰkꞋꞋtʰeːːɹ-]ж0-ur{ó/ø}3.plurtlm.табел|я́, ~е́й, ~я́мm(явки на работу) uppmøtingartalvaжгл-a(á arbeiðsplássi)4.plurtlm.табел|я́, ~е́й, ~я́мm(номерок) nummarснепр., nummarskeltiсгл-i(at heingja upp áтабель 3og taka av aftur)@та́бель о ра́нгах(fgml.)søg.tignatalvaжгл-a, tignastigiмгл-i
та́бель2	IIfgml.síта́бельI
та́бельный	adj: та́бельная доска́ tímatalva,síта́бель3; та́бельный деньsøg.heiligdagur; та́бельное ору́жие tænastuvápn (hjá politisti o.ø.)
та́бельщик	m o-r,ið hevur umsjón við tímatalvu,síта́бель3
та́блет	m teld.teldilмосн-s,-ar, tablet [tʰaplεʰt]м0-ar{дат0}{+}
табле́тка	plurтабле́т|ки, ~ок, ~камftablett [-Ꞌplεʰtː]ж0-ir
табли́ца	ftalvaжгл-a; tabell [-Ꞌpεlː]ж0-irтжвчт.; электро́нная табли́ца rokniarkс0о{a/ø}=>свести́4,умноже́ние2
табли́чка	plurтабли́ч|ки, ~ек, ~камf1.dim avтабли́ца2.(пластинка с надписью) (navna)skeltiсгл-i
табли́чный	adjtalvu-, tabell- [-Ꞌpεlː-]
табло́	n indeclljóstalvaжгл-a
