у-	sagnorðaforfesti við merkingini:1.gerðin vend burtur frá onkrumувести́2.ávirkið verður minni, tikið verður burtur av tíуре́зать, уши́ть3.gerðin umfatar alt ávirkiðусы́пать4.gerðin verður fullførd, so úrslit fæstуговори́тького-л.; устоя́ть5.grundliðið ella ávirkið fær nýggjan eginleikaуспоко́ить(ся)6.sagnorðið er perfektivtукра́сть
у1	Iprep + Gen1.(нахождение возле,около чего-л.) við +Вин; сиде́ть у окна́ sita við vindeygað [vɪntεajɪ] (реже[vɪntεija]); поста́вить ведро́ у две́ри seta spannina við hurðina; у са́мого до́ма beint við húsið; жить у мо́ря búgva við sjógvin; сиде́ть у руля́ sita við róðrið; рабо́тать у тока́рного станка́ arbeiða við dreyibeinkin2. (лицо,у которого что-л. имеется или происходит) hjá [tʃʰ-] +Дат.; у нас до́ма heima hjá okkum; он у себя́ hann er inni hjá sær sjálvum; у себя́ до́ма heima við hús, inni; жить у роди́телей búgva hjá foreldrunum; у Ивано́вых hjá teimum hjá [tʃʰ-] Ivanov [-Ꞌnɔfː]; у нас (дома у нас;у нас в стране) hjá okkum (heima hjá okkum;her á landi); у нас в стране́ her á landi; он был у врача́ hann var hjá læknanum3.(принадлежность,часть) á+ Дат или переводится другими предлогами; но́жка у сту́ла beinið á stólinum, stólabeinið; я́щик у стола́ skuffan í borðinum, borðskuffan; но́ги у него́ мо́крые hann er vátur um føturnar; у него́ гря́зные ру́ки hann er skitin um hendurnar4.(обладателя,владельца:у кого-л.) (есть) +Nomeigur (владеет), hevur (имеет),sí eis.бытьB; у него́ мно́го де́нег hann eigur nógvar pengar, hann hevur nógvar pengar; у тебя́ есть спи́чки? hevur tú nakrar svávulspinnar?; спи́чки у тебя́? hevur tú svávulspinnarnar?; тогда́ у него́ не бы́ло маши́ны hann átti ongan bil tá; у меня́ с тобо́й hjá [tʃʰ-] okkum báðum; у меня́ нет вре́мени eg havi ikki tíð; у меня́ к вам де́ло eg havi eini ørindi til tygara; у неё боля́т зу́бы hon hevur ilt í tonnunum, hon hevur tannapínu; у него грипп hann hevur influensa [-Ꞌε-]; у него́ ры́жие во́лосы hann hevur reytt hár, hann er reyðhærdur; у него́ сло́ман нос hann hevur brotna nøs5.tlm.(о больных частях тела и т.п.): не могу́ тебе́ помочь с ящиком: у меня́ рука́ eg fái ikki hjálpt [j-] tær við kassanum: eg havi ilt í hondini; у него́ се́рдце hann hevur ringt hjarta [j-]; у неё желу́док hon hevur ringan maga6.(источник приобретения) frá+ Дат; получи́тьчто-л. у кого-л.fáao-t frá o-m; узна́тьчто-л. у кого-л.frættao-t frá o-m, fáao-tat vitafrá o-m; купи́ть кни́гуу кого-л.keypa eina bókfrá o-m; он о́тнял у ребёнка молото́к hann tók hamaran frá barninum [-tn-]; он за́нял у нас де́нег hann hevur lænt pengar frá okkum; вы́рвать укого-л.зуб trekkja eina tonn úthjá[tʃʰ-]o-m, trekkja eina tonn útá o-m, taka eina tonnhjá[tʃʰ-]o-m; проси́тьчто-л. у кого-л.biðjao-n um o-t; спроси́тьчто-л. у кого-л.spyrjao-n um o-t7.+pers pron(umsetist við ognarfornavni ella посс.); у нас в кла́ссе í okkara flokki, í flokkinum hjá [tʃʰ-] okkum; у меня́ в ко́мнате inni í kamarinum hjá [tʃʰ-] mær; дед у тебя́ хоро́ший расска́зчик abbi tín er góður søgumaður; мать у неё больна́ mamma hennara er sjúk; смотри́ ты у меня́!tlm.ansa tú eftir [εʰtː-] tær, hin gamli! (hóttan)8.: како́й ты у нас хоро́ший ма́льчик! sum tú ert ein fittur drongur! =>власть2,де́ло1
у2	IIinter1.(негодование) uff!2.(испуг) oy!3.(востогр) nei!
Уагаду́гу	m indeclOuаgadougоu [vaːkaꞋtuːku]м нескл.
уайт-спи́рит	mmineralskt [-Ꞌraː-] terpentin [-Ꞌtʰiːn]с0о({0<>i})
уба́вить	уба́влю, уба́в|ишь, ~ятpf(ipfубавля́ть)что-л.,чего-л.minkaaðio-t; lækkaaðio-t(снизить); leggjaнепрo-tupp (укоротить); takaслнó-ó-iavo-m, leggjaнепрo-tinn (сузить); уба́вить ско́рость minka ferðina, slakkaaðiꞋ av; уба́вить паруса́ minka segl; уба́вить себе́ го́ды geraнепрseg yngri enn ein er; уба́вить це́ну lækka prísin, setaur(t);ir(t)prísin niður; уба́вить корм скоту́ minka um fóðrið til kríatúrini; уба́вить пла́тье в спине́ taka frakkan inn í rygginum, taka frakkan inn aftan [aʰtː-] =>весI 1,шаг1
уба́виться	уба́в|ится, ~ятсяipf(pfубавля́ться) minkaaði, verða minniсравн.; fækkaaði, verða færriсравн.(oб исчисляемых сущ.); lækkaaði; styttastir(t)(о днях)
убавле́ние	nminkingж0-ar; lækkingж0-ar; styttingж0-ar,sbr.уба́вить(ся)
убавля́ть	ipf síуба́вить
убавля́ться	ipf síуба́виться
