ф	1.ферзь frúgv, drotning (í talvi)2.фара́да F farad [faː-]
ф.	1.фунт pund2.фут fótur (mál)
фа	n indeclmus.f {F} [εfː-]с0о; фа мино́р f-moll [εfmɔlː]
фаб...	фабри́чный
фабзавко́м	mфабри́чно-заводско́й комите́тsovjet.fakfelagsstjórn [faːkfeːlaʰkstjœtn] (á fyritøku)
фабко́м	mфабри́чный комите́тsovjet.síфабзавко́м
фа́брика	f(завод) fabrikk [-Ꞌpɹɪʰkː]ннкж0-ir, verksmiðjaнпжгл-a(einamest í løttum ídnaði); fabrikk [-Ꞌpɹɪʰkː]ж0-irпроф., verksmiðjaнпжгл-a(á skipi) (на рыболовном судне); пряди́льная фа́брика spinnarí [-Ꞌrʊi]ннкс0о, spunavirkiнпсгл-i=>тка́цкий,шве́йный
фабрика́нт	mfabrikantur [-Ꞌkʰa-]ннкмсогл-ar, verksmiðjueigariнпмгл-ari
фабрика́т	mídnaðarvøraжгл-a
фабрика́ция	f1.(производство) framleiðslaжгл-a2.fl.(что-л. ложное) uppspuniмгл-i
фабрикова́ть	фабрику́|ю, ~ешь, ~ютipf что-л.1.gml.(изготовлять) framleiðair(d)o-t(á verksmiðju), fabrikera [-Ꞌkʰeː-]ннкaðio-t2.pfсфабрикова́тьсфабрику́|ю, ~ешь, ~ютspott.(создавать что-л. ложное) spinnaслнa-u-uo-tupp, finnaслнa-u-uupp áo-t; фабрикова́ть слу́хиeis.loypair(t)o-tút í Ꞌ orðидиом.
фа́брить	фа́бр|ю, ~ишь, ~ятipf(pfнафабритьнафа́бр|ю, ~ишь, ~ят)что-л.gml.(красить) litaaðio-t, farvaннкaðio-t(skegg,yvirskegg); (мазать воском) voksaaðio-t, smyrjaнепрo-tvið voksi (yvirskegg)
фабри́чно-заводско́й	adjvirkis-; verksmiðju-; фабри́чно-заводско́е предприя́тие ídnaðarfyritøka =>учени́чество@,ФЗО
фабри́чный	adjverksmiðju-нп, fabriks- [-Ꞌpɹɪ-]ннктжпроф.; ковры́ фабри́чного произво́дства teppir framleidd á verksmiðjuнп; фабри́чная цена́ prísur av verksmiðjuнп; фабри́чная ма́рка vørumerki
фа́була	fbókm.handling [hanl-]ннкж0-ar, plot [pʰlɔʰtː]с0опроф.,спец.
фавн	mmyt.faunur [faun-]мсогл-ar
Фаво́р1	Im bíbl.Tabor [tʰaːpoɹ]с нескл
фаво́р2	IImbókl.: быть в фаво́реу кого-л.standaслнó-ó-aí mætihjá[tʃʰ-]o-mкн.; vera væl umtókturсоглav o-m, vera væl dámdurсоглav o-m; быть не в фаво́реу кого-л.vera illa [ɪtla] dámdurсоглav o-m
фавори́т	m1.(любимец) elskulingurмсогл-ar; favorittur [faːvoꞋrɪ-]ннкмсогл-ar2.gml.(любовник) elskariмгл-ari3.ítr.(в скачках и т.п.) favorittur [faːvoꞋrɪ-]мсогл-arспорт.(í kappríðing o.tíl.)
фавори́тка	plurфавори́т|ки, ~ок, ~камf1.(любимица) elskulingurмсогл-ar(konufólk); favorittur [faːvoꞋrɪ-]ннкмсогл-arспорт.(í kappríðing o.a. - konufólk)2.gml.(любовница) elskarinda [-Ꞌi-]жгл-a3.ítr.(в скачках и т.) favorittur [faːvoꞋrɪ-]мсогл-arспорт.(konufólk)
фаго́т	mfagott [-Ꞌkɔʰtː]ж0-ir
фаготи́ст	mfagottistur [faːkoꞋtʰɪ-]мсогл-ar, fagottspælari [-Ꞌkɔ-]мгл-ari, fagottleikari [-Ꞌkɔ-]нпмгл-ari
фагоци́т	mfagocyttur [faːkoꞋsʏʰtː-]мсогл-arпроф., átukyknaлпжгл-a
фагоцито́з	mfagocytosa [faːkosyꞋtʰoː-]жгл-aпроф., kyknuátлпс0о
фа́за	f1.(период) (tíðar)skeiðс0о; stigс0о{0<>i}, fasa [faː-]ннкжгл-a(стадия); фа́за луны́ (kvartal)skiftiсгл-i, mánafasa [-faː-]ннкжгл-a; во всех фа́зах разви́тия á øllum [œtl-] menningarstigumнп, í øllum [œtl-] fasumннкav útvikklingiннк; в после́дней фа́зечего-л.á síðsta stigiav o-m, seinastí o-m2.el.(электрическая) fasa [faː-]жгл-a
фаза́н	m(Phasianus) fasanur [-Ꞌsaː-]мсогл-ar, fasánur [-Ꞌsɔa-]лпмсогл-ar
фаза́новый	adjfasan- [-Ꞌsaːn-]
фазе́нда	[-зэ́-]f1.(имение) fazenda [-Ꞌsε-]жгл-a(;0-ir)(stórur garður,góðs,í Brasilia og Portugal)2.tlm.,skemt.(дача) summarhúsс0о, frítíðarhúsс0оá bygd
фа́зис	mbókl.síфа́за
фа́зный	adjfasu- [faː-]; фа́зное напряже́ние fasuspenningur
...фа́зный	í samans-fasaður [faː-]; трёхфа́зный trífasaður
фа́зовый	adjfasu- [faː-]
фа́йер	m teld., jarg.firewall [faijεɹvɔˑl]м нескл комп.
файл	mteld.fílaжгл-a, fílurмсогл-ar, fílж0-ir
фа́йловый	adjfílu-, fíl-, file- [fail-],síфайл
файл-се́рвер	(eis.[-сэ́-])m teld.fíluservariмгл-atiкомп., проф.
...фак	í samansфакульте́т fakultet [-Ꞌtʰeːt], megindeildлп; юрфа́к juridiskt [-Ꞌriːt-] fakultetпроф., løgfrøðilig megindeildлп
фак.	факульте́т
фа́кел	m1.(светильник) kyndilм0осн-s,-ar, fakkulннкм0осн-s,-ar2.(пламя) flammaжгл-a(í ketli,oljufýri o.tíl.)3.astr.(на солнце) sólarkyndilм0осн-s,-ar
фа́кельный	adjkyndla-[tʃʰɪnla-];фа́кельное ше́ствие kyndlagonga
фа́кельщик	m1.(факелоносец) kyndlaberari [tʃʰɪnla-]мгл-ari2.(поджигатель)o-r, ið setur eld á við kyndli [tʃʰɪnlɪ]
факи́р	mfakirur [-Ꞌkʰiː-]мсогл-ar
факс	m síтелефа́кс
факс-аппара́т	mtelefax [-faʰks] {telefaks}с0о, fax [faʰks] {faks}с0о(apparat)
факсаппара́т	m síфакс-аппара́т
