ха1	In indecl navn á bókstavinumх
ха2	IIinter(vísir vanvirðing) há!
хаб	m(транспортный, нефтяной, комьютерный и др.) hubburмсогл-arспец.
хабане́ра	[-нэ́-]fhabanera [haːpaꞋneː-]мгл-гл
хаба́р	m jarg.muturс0осн
Хаба́ровск	mKhabarovsk [kʰaꞋpaːɹɔfsk]м нескл.
Хаба́ровский край	Khabarovsklandsparturin [kʰaꞋpaːɹɔfsklan̊s-]мсогл-ar{a/ø}опр.;sí eis.крайB
хабэ́	[-бэ́]n/m indecl síхэбэ́
ха́вать	ipf síсха́вать
хавро́нья	plurхавро́ньи, хавро́ний, хавро́ньямfóvkm.,skemt.svínс0о, grísurмсогл-ar
хаджи́	m indeclhadji [hatʃːi]мгл-гл(muslimur, sum hevur verið pílagrímsferð í Mekka)
ха́живать	frekvtlm.vera vanurсогл{a/o}at ganga, plagaar(d)at ganga,sbr.ходи́ть; он ча́сто ха́живал к нам hann plagdi [pʰlatːɪ] ofta at koma og vitja okkum
ха́за	fargottjóvabøliсгл-i
хаза́рин	plurхаза́р|ы, ~, ~амmkhazarur [kʰaꞋsaː-]мсогл-ar
хай1	Imóf.,óvkm.levindс0о, garterilsi [-Ꞌtʰeː-]сгл-i; подня́ть хайeis.har var eitt ramaskríggj [raː-]
хай2	IIpart óvkm.lat +inf, latið +inf
Хайдараба́д	mHyderabad [haiteːɹaꞋpatː]м0{дат.0}
ха́йкинг	mhiking [haik-]ж0oспорт., проф.
ха́йкинги	m plur síха́кинги
ха́йку	Genха́йк/а, ~е, ~ом; plurха́йк|и, ~ов, ~амm; eis. n indeclhaiku [haiku]с нескл
хайло́	nóvkm., illb.kjafturмсогл-arгрубо, holс0овульг., gákurмсогл-arгрубо; заткни́ хайло́! halt tú skarpan kjaft!грубо
Хайна́нь	m1.(остров) Hainan [haiꞋnanː]ж нескл.(oyggj)2.(пролив) Hainan [haiꞋnanː]с0{дат.0}(sund)
хайп	m slangháviмгл-i, hóvastákс0о, rokс0о; hype [haip]с0ожарг.
хайпану́ть	хайпан|у́, ~ёшь, ~у́тpf(ipfха́йпитьха́йплю, ха́йп|ишь, ~ят)slanggeraнепр(ov nógv [ɔnεkv]) ˈav, geraнепрháva; hypa [haipa]aðiжарг.
ха́йпить	ipf síхайпану́ть
ха́йповый	adj slangsum hóvasták stendst av, rok-; hype- [haip-]жарг.
хайте́к	[-тэ́к]m síхай-тек
хай-те́к	[-тэ́к]m1.(технология) hátøkniжгл-i2.(стиль) hightech-stílur [haitʰεʰk-]мсогл-ar, high-techsnið [haitʰεʰk-]с0о{0<>i}
Ха́йфа	fHaifa [haifa]м нескл.
хай-э́нд	mhi-end {high-end} [haiεnt] útgerðж0-irтехн., проф.(til ljóðupptøkur o.tíl.)
хай-э́ндовский	adjhi-end- {high-end-} [haiεnt-]техн., проф.
хака́с	mkhakasur [kʰaꞋkʰaː-]мсогл-ar, sbr. хака́сский
Хака́сия	fKhakasia [kʰaꞋkʰaː-]с нескл.; Респу́блика Хака́сия Lýðveldið Khakasia
хака́ска	plurхака́с|ки, ~ок, ~камfkhakasur [kʰaꞋkʰaː-]мсогл-ar(konufólk)
Хака́сская	автоно́мная о́бластьsovjet.Khakasiska [kʰaꞋkʰaː-] sjálvstýrandi [ʃɔl̥st-] økið
хака́сский	adjkhakasiskur [kʰaꞋkʰaː-]соглsk; хака́сский язы́к khakasisktсприлskt
ха́кер	mhackari [haʰkː-]мгл-ari, hakkariмгл-ari, teldusníkurнпмсогл-ar
ха́керский	adjhackara- [haʰkː-] {hakkara-}, teldusníka-нп
ха́керство	n1.(хакинг) hacking [haʰtʃː-] {hakking}ж0-ar2.koll(хакеры) hackarar {hakkarar}мгл-ariмн, teldusníkarмсогл-arмн
ха́керша	fhackari [haʰkː-]мгл-ari, hakkariмгл-ari, teldusníkurнпмсогл-ar(konufólk)
ха́ки	In indecl(ткань) kaki {khaki} [kʰaːki]с0гл-iIIadjkakifarvaður {khaki-}[kʰaːki-]ннкглaður, kakilittur {khaki-}[kʰaːkʰi-]согл
ха́кинг	mhacking [haʰtʃː-] {hakking}ж0-ar
ха́кинги	m plurfjallaskógvar [fjatl-]мсогл-ar{+}мн
ха́кнутый	partic jarg.hackaður [haʰkː-]{hakkaður}глaður
ха́ла	fflættað breyðс0о
хала́т	m1.(домашний) slábrokkur [slɔp-]мсогл-ar(мужской,женский); morgunkápaжгл-a(женский утренний); kimono [kʰiːmono]ж0-ir(женский утренний); housecoat [hauskʰɔut]м0-ar({0<>i})(длинный,женский)2.(специального назначения) kittil [kʰɪ-]м0осн-s,-ar; до́кторский хала́т læknakittil3.(восточный) kimono [kʰiːmono]ж0-ir(av eysturlendskum slag)
хала́тность	fóansniсгл-i, gáloysniсгл-i(невнимательность); ósketniсгл-i, vansketniсгл-i(неосмотрительность); tankaloysi [tʰaŋ̊k-]сгл-i(необдуманность)
хала́тный	stfхала́т|ен, ~на, ~но, ~ныadjóansinсоглосн, gáloysinсоглосн(невнимательный); óskettinсоглосн, vanskettinсоглосн(неосмотрительный); tankaleysur [tʰaŋ̊k-]согл(необдуманный); órøkinсоглосн, vanrøkinсоглосн(небрежный)
халва́	fhalvaсгл-a(slag av søtmeti úr nøtum,sukri o.ø.)
халда́	f síха́лда
ха́лда	f óf., illb.gívurж0оснпренебр., groyggjс0о{+}{0<>i}пренебр.
Ха́леб	mHaleb [haːlεp]м0{дат.0}, síАле́ппо
хали́ф	mkaliffur [-Ꞌlɪfː-]мсогл-ar@хали́ф на часbókl.kongurмсогл-arí ein tíma
халифа́т	mkalifat [kʰaːliꞋfaːt]с0о
халту́ра	f1.tlm., atf.(побочная работа) framíhjáarbeiði [-Ꞌtʃʰɔa-]сгл-i2.tlm.(плохая работа) fuskэнкс0о; ófantaligt [-Ꞌfa-] arbeiðiсгл-i(illgjørt arbeiði), óvandaligt [-Ꞌva-] arbeiðiсгл-i; makkverkэнкс0о
халту́рить	халту́р|ю, ~ишь, ~ятipf(схалту́ритьсхалту́р|ю, ~ишь, ~ят)tlm.1.(иметь побочный заработок) havaнепрframíhjáarbeiði [-Ꞌtʃʰɔa-]2.(плохо работать) vera illgjørdurсогл, vandaaðisær illa [ɪtla] um, fuskaэнкaði
халту́рный	stfхалту́р|ен, ~на, ~но, ~ныadjófantaligur [-Ꞌfa-]глigur(illgjørdur), illgjørdurсогл, óvandaligur [-Ꞌva-]глigur, fuskuturэнксогл; халту́рная рабо́таsíхалту́ра2
халту́рщик	mtlm., atf.fuskariэнкмгл-ari, fesjс0о
халу́па	ftlm.kroysaжгл-a, veggjakroysaжгл-a
халцедо́н	mkalcedon [kʰal̥sɪꞋtoːn]с0о; eldtinna [-tʰɪtna]жгл-a, grátinna [-tʰɪtna]жгл-a
Хальм Тангч	f indecl síКалмы́кия
халя́ва	f slang:на халя́вуa) (задаром) gratis [-aː-]ннк, fyri einki; fyri lítið og lætt (очень дёшево); b) (кое-как) so ella [εtla] so, onkursvegna
халя́вный	adjslangsum er fingin fyri einki (задаром), sum er fingin upp á nakkaná o-m(за чужой счёт)
халя́ль	mhalal [haˈlalː]с0о{дат.0}; мя́со халя́ль halalkjøt
халя́льный	adjhalal- [haˈlal-]; халя́льное мя́со halalkjøt
Хам	mbíbl.Kam [kʰamː]м0{дат.0}
хам	mvanv., illb.illavorðið [ɪtl-], óvandað fólkс0о; ótýggiсгл-i; óveningurмсогл-ar(грубый, невоспитанный человек)
хамелео́н	m(Chamaeleon) kameleón [kʰameːlɪꞋɔun]ж0-ir
хаме́ть	ipf(pfохаме́ть)óvkm.gerast grovurсогл, gerast ófólkaligur [-Ꞌfœ-]глigur
