ц	це́нтнер 100 kg
цап	inter predóvkm.:я её цап eg treiv í hana
ца́пать	ipf(momentца́пнутьца́пн|у, ~ешь, ~ут)Acc1.(хватать) trívaслнei-i-ií Вин, takaслнó-ó-ií Вин; høggaur(d)tenninarí Вин(зубами), setaur(t);ir(t)tenninarí Вин(зубамиr); høggaur(d)klørnar [kʰlœtn-]í Вин(когтями), setaur(t);ir(t)klørnar [kʰlœtn-])í Вин(когтями)2.(оцарапать) rívaслнei-i-iВин, skræða [skɹeːa]ir(d)Вин(við tonnunum) (зубами); klóraaðiВин(лапами,когтями)
ца́паться	ipf(pfпоца́паться)1.(хвататься когтями) klórastaði2.(цепляться) krøkjair(t)seg íВин3.fl.(ссориться) klandrastaði
ца́пка	plurца́п|ки, ~ок, ~камftlm.hakiмгл-i(at velta við)
ца́пля	plurца́п|ли, ~ель(sjálds.ца́плей), ~лямf(Ardea cinerea) hegriмгл-i; ма́лая бе́лая ца́пля (Egretta garzetta) silkihegriмгл-i; ночна́я ца́пляsíква́ква
ца́пнуть	moment síца́пать
ца́пфа	ftappurмсогл-ar(pinnur,stelling o.tíl.)
ЦАР	[цар]f indecl síЦентрально-африка́нскаяРеспу́блика
цара́пать	ipf(pfоцара́пать, поцара́пать;momentцара́пнутьцара́пн|у, ~ешь, ~ут)Acc1.(делать царапины) klóraaðiВин(ногтями,когтями); skøvaaðiВин(оставлять,наносить тонкий след), skeinaaði, rispaaði; skavaaðiВин(скрести)2.pfнацара́пать (плохо писать) klóraaðio-t, krutlaaðio-t
цара́паться	ipf1.(о коте и т.п.,иметь привычку царапать) klóraaði; ко́шка цара́пается kettan klórar2.(царапать друг друга) klórastaði3.(скрестись) skavaaði; соба́ка цара́палась в дверь hundurin skavaði upp á hurðina4.(ссориться) klandrastaði5.tlm.(карабкаться) klóraaðiseg upp (ígjøgnum [-Ꞌtʃœ-]o-t)
цара́пина	fskøvaжгл-a, skeinaжгл-a
цара́пнуть	moment síцара́пать
царе́вич	m(в России) tsarevitj [saꞋreːvɪʰtʃ] (реже[tʰsaꞋreːvɪʰtʃ])мсогл-ar(sonur tsar,í Russlandi); kongasonurмсогл-ir{o/y}{+}, kongssonurмсогл-ir{o/y}{+}(í søgnum o.a.) (в сказках и др.); prinsurмсогл-ar(принц)
царе́вна	f(в России) tsarevna [saꞋrεvna] (реже[tʰsaꞋrεvna])жгл-a(dóttir tsar,í Russlandi); kongadóttirжрод, kongsdóttirжрод(í søgnum o.a.) (в сказках и др.); prinsessa [-Ꞌsε-]жгл-a(принцесса)
Царёвококша́йск	msøg.Tsarjovokoksjajsk [saɹjoːvokʰɔʰkꞋʃai̯sk]м0{дат.0},síЙошка́р-Ола́
Царегра́д	m søg. síЦарьгра́д
царедво́рец	Gen, Accцаредво́р|ца;plur~ца, ~цев, ~цамmbókl.hoffmaðurннкмнепр; hovmaðurмнепруст., hirðmaðurмнепруст.
царёк	Gen, Accцарьк|а́;plur~и́, ~о́в, ~а́мm1.spott.(мелкий царь) smákongurмсогл-ar2.atf.(тот,кто главенствует) herskireyvж0-arнеодобр.
цареуби́йство	nkongamorðс0о, kongsmorðс0о
цареуби́йца	m/fkongamordariмгл-ari, kongsmordariмгл-ari; drápsmaðurмнепрkong
цари́зм	mtsarisma [saꞋrɪ-] (реже[tʰsaꞋrɪ-])жгл-a(ос. о России), keisaraveldiсгл-i
цари́ть	цар|ю́, ~и́шь, ~я́тipf1.gml.(быть царём) ráðaur(d){á/æ}(sum tsarur)2.fl.(первенствовать) ráðaur(d){á/æ}, havaнепрræði3.bert 3. pers brúktur(господствовать) valdaaði, везде́ цари́т тишина́ allastaðni [-tl-] valdar kvirran
