ч.	1.час tími; в 17 ч. 25 мин. kl. 17.252.часть partur3.síчел.4.число́ tal; dato [taːto]
чaсти́к	Genчастика́m1.(сеть,невод) smámeskað gørn [-tn]с мн, smámeskað nótж0-ir2.koll(рыба)fiskur, fingin í smámeskaðum gørnum(um annan fisk enn styrjufisk, laksafisk, sild og onkran annan)
чaстико́вый	adj: частико́вая ры́баfiskur, fingin í smámeskaðum gørnum(um annan fisk enn styrjufisk, laksafisk, sild og onkran annan)
чаба́н	Gen, Accчабан|а́;plur~ы́, ~о́в, ~а́мmseyðamaðurмнепр; hirðiмгл-iбибл.(и о нефареских условиях)
чабёр	Gen чабра́; plurчабр|ы́, ~о́в, ~а́мm síча́бер
ча́бер	Genча́бераogча́бра; plurча́берыogча́бры;ча́беровog ча́бров,ча́берамogча́брамm(род Satureja)planta av slektini Satureja(en.satureja; da:sar)
чабре́ц	Genчабрец||а́;plur~ы́,~о́в, ~а́мm(Thymus) timianс0о({0<>i})
Чава́ш респу́блики	f indecl síЧува́шскаяреспу́блика
ча́вканье	n1.(звуки губ и языка) smaskс0о2.(чмоканье) esjanж0-ir, slupsandi ljóð
ча́вкать	ipf1.(производить звуки губ и языка) smaskaaði2.(издавать чмокающие звуки) slupsaaði, esjaaði; грязь ча́вкала под нога́ми evjan esjaði undir fótunum
чаво́	dial., óvkm. síчего́
чавы́ча	f(Oncorhyncus tshawytscha {tschawytscha})fiskur av laksaættini(en.spring salmon,king salmon,chinook salmon,quinnat salmon,chinook; da.kongelaks)
чавыча́	plurчавыч|и́, ~е́й, ~а́мf síчавы́ча
Чад1	Im1.(государство) Kjad {Tchad} [tʃʰatː]с0{дат.0}2.(озеро) Kjadvatnið {Tchadvatnið} [tʃʰat-]с0оопр.
чад2	Prpо ча́де, в чаду́mII1.(дым) hjararoykur [tʃʰεa-]мсогл-s,-ir, hjari [tʃʰεa-]мгл-i, osiмгл-i; slímс0о(от лампы)2.fl.(о чём-л. обдурманивающем) rúsurмсогл-ir, ørskaжгл-a; как в чаду́ sum í ørsku
чади́ть	чажу́, чад|и́шь, ~я́тipf(pfначади́тьначажу́, начад|и́шь, ~я́т) hjara [tʃʰεa-]aði, osaaði; slímaaði(о лампе)
ча́дно	IadvosandiIIpredздесь ча́дно her er fult av osi
ча́дный	stfча́д|ен, ~на, ~но, ~ныadj1.(испускающий чад) osandiглandi2.fl.(одурманенный) ørligurглigur, sum er í ørviti, ørvitugurглugur
ча́до	ngml., skemt.barn [-tn]с0о{a/ø}@с ча́дами и домоча́дцамиvið allari [atl-] familjuni [-Ꞌmɪ-]
чадра́	f slør hjá muslimskum kvinnum
ча́дский	adjkjadiskur {tchadiskur} [tʃʰatː-]согл
чаёвник	m tlm. o-r, sum dámar at dreekka te,o-r, sum dámar at fáa sær ein góðan temunn
чаёвничать	ipftlm.drekkaслнa-u-ute, fáaслнe-i-især ein góðan temunn
чаево́д	mtebóndiмгл-ur;o-r, sum dyrkar te
чаево́дство	ntedyrkingж0-ar
чаевы́е	чаев|ы́х, ~ымm plurtlm.drykkjupengarмгл-iмн; 50 рубле́й чаевы́х 50 rublar í drykkjupengum
