ш.	síшоссе́
ша	interóvkm.nú er nokk!неформ.; nú kann vera well [vεlː]энк!неформ.
шаба́ш	predóvkm.nú er nokk!неформ.; nú kann vera well [vεlː]энк!неформ.
ша́баш1	IGenша́башаogшабаша́mrel.(субботный отдых) sabbatж0-ir, sabbaturмсогл-ar(í jødiskari trúgv)
ша́баш2	IIm1.fólk.(сборище ведьм)náttarfundur hjá trøllkonum, trøllmonnum o.ø.2.tlm.(разгул) ballingж0-ar, ballarí [-Ꞌrʊi]с0о{0<>i}
шаба́шить	шаба́ш|у, ~ишь, ~атipf(pfпошаба́шитьпошаба́ш|у, ~ишь, ~ат)óvkm.(кончать работу) gevastслнa-ó-ivið arbeiðinum; haldaслнe-i-ipausu [pʰausʊ]ннк(делать перерыв)
шаба́шка	plurшаба́ш|ки, ~ек, ~камmóvkm.(левый заработок) svart arbeiðiсгл-i
шаба́шник	móvkm.,atf.o-r, sum arbeiðir svart
шаба́шничать	ipfóvkm.,atf.arbeiðair(d)svart
ша́бер	mskavariмгл-ari
шабло́н	m1.tekn.(образец,приспособление) skabelón [skaːpɪꞋlɔun]ннкж0-irпроф.,skabelónur [skaːpɪꞋlɔu-]ннкмсогл-arпроф.; kúgvжнепрспец.(деревянная форма); по шабло́ну eftir [εʰtː-] skabelóni2.fl.(трафарет,штамп) klisjé [kʰlɪꞋʃeː]энкж0-irпренебр., skabelónur [skaːpɪꞋlɔu-]ннкмсогл-ar; де́йствовать по шабло́ну gangaслнe-i-itroddar gøturидиом., geraнепрeftir [εʰtː-] somu uppskrif{tнеформ.
шабло́нность	ftað at vera banalur [-Ꞌnaː-] (банальный), tað at vera fortugdur [-Ꞌtʰʊ-] (избитый, о высказываниаях и др.), tað at vera klisjékendur [kʰlɪꞋʃeː]энкпренебр.
шабло́нный	stfшабло́н|ен, ~на, ~но, ~ныadj1.bert lftekn.(кшабло́н 1) skabelón- [skaːpɪꞋlɔu-]ннкпроф.,(gjørdur) eftir [εʰtː-] skabelóni [skaːpɪꞋlɔu-]ннкпроф.2.fl.(трафаретный) banalur [-Ꞌnaː-]ннксогл(банальный), fortugdur [-Ꞌtʰʊ-]согл(избитый,о высказываниаях и др.), klisjékendur [kʰlɪꞋʃeː-]энксоглпренебр.; шабло́нная фра́за klisjé [kʰlɪꞋʃeː]энкж0-irпренебр.
шава́рма	f síшау́рма
шаве́рма	f síшау́рма
ша́вка	plurша́в|ки, ~ок, ~камf1.tlm.(о собаке) bastardur [-Ꞌsta-]мсогл-ar(hundur av blandaðum slag)2.fl.,óvkm.,vanv.(о человеке) rópholс0онеодобр., skrólс0онеодобр., munnvargurмсогл-arпренебр.
