щaве́левый	adjsýru-; щаве́левые щи sýrusuppa, sýrusúpanж0-ir@щаве́левая кислота́oksalsyra [-Ꞌsaːlsyː-], oksalsýra [-Ꞌsaːl-]нп
щавелёк	Genщавельк|а́;plur~и́, ~о́в, ~а́мm(Rumex acetosella) hundasýraжгл-a
щаве́ль	Genщавел|я́;plur~и́, ~е́й, ~я́мm(Rumex) sýraжгл-a; обыкнове́нный {ки́слый} щаве́ль (R. acetosa) sýraжгл-a, leggsýraжгл-a, sýruleggurмсогл-ir; hømiliaжгл-a(виды R. longifolius и др.)
щади́ть	щажу́, щад|и́шь, ~я́т ipf(pfпощади́тьщажу́, щад|и́шь, ~я́т)Acc1.(давать пощаду) eirair(d)Дат, sparair(d)Вин; щади́тьчью-л.жизнь lataслнæ-ó-ao-nsleppa við lívinum, eirao-m, lataслнæ-ó-ao-ntiggja lívвыс.2.(относиться бережно) sparair(d)Вин; щади́ть себя lívar(d)sær, spara seg; не щади́ть себя ikki spara seg; щади́ть своё здоро́вьетжfaraслнó-ó-avæl við sær sjálvum; щади́тьчьи-л.чу́вства ikki (vilja) særao-n@щадя́щая дие́таlætturсогл{æ/ø}matur (ið verður givin sjúklingum o.ø.)
щебёнка	plurщебён|ки, ~ок, ~камf síще́бень
ще́бень	Genще́бн|я;plur~и, ~ей, ~ямm1.(строительный материал и т.п.) skervurмсогл-ar(áburður)2.(обломки горных пород) skurslс0о(hvast smágrót), skruvс0о(smágrót), grúsс0о
ще́бет	mpippс0о, (fugla)látс0о, fuglasangur [-aŋk-]мсогл-s,ir, fuglasongurмсогл-s,irкн.,поэт.
щебета́ние	n síще́бет
щебета́ть	щебечу́, щебе́ч|ешь, ~утipf1.(о птицах) pippaaði, látaслнæ-ó-á(um fuglar)2.fl.,tlm.(о людях) sussaaði, sjóðaaði
щебету́н	Gen, Accщебетун|а́;plur~ы́, ~о́в, ~а́мm1.fakm.(птица) steggiмгл-i, sum letur2.fl.(о ребёнке) sussс0о(barn); barn [-tn]с0о{a/ø}, ið sussar
щебету́нья	plurщебету́н|ьи, ~ий, ~ьямf1.(птица) fuglurмсогл-ar, sum letur2.(женщина) hurrikannaжгл-a(um ungt konufólk)
щеглёнок	plurщегля́т|а, ~, ~амm ungi hjá fagurígðu,síщего́л
щего́л	Gen, Accщегл|а́;plur.~ы́, ~о́в, ~а́мm(Carduelis carduelis) fagurígða [-ʊi̯ja]жгл-a
