Ю	юг S, suður
юа́нь	myuan [juꞋanː]м0-ar(pengaeind í Kina)
ЮА́Р	[юа́р]f indecl síЮжно-Африка́нскаяРеспу́блика
юбиле́й	m1.(годовщина) jubileum [juːpiꞋleː-]ннкс0-eum;с0oпубл., ársdagur [ɔʂt-]мсогл-ar{a/e/ø}(годовщина); ársveitsla [ɔʂvai̯sla]жгл-a(праздник по поводу годощины чего-л.); пра́здновать {отмеча́ть} столе́тний юбиле́й учрежде́ния halda hundrað ára stovningardag, feiraннкhundrað ára stovningardag, halda hundrað ára jubileum fyri stovningina2.(торжество) jubileum [juːpiꞋleː-]ннкс0-eum;с0oпубл., minningarhaldс0оfyri Дат(в память Gen)
юбиле́йный	adjjubileums- [juːpiꞋleː-]ннкпубл., hátíðar-; юбиле́йный сбо́рник minningarrit
юбиля́р	mjubilarur [juːpiꞋlaː-]ннкмсогл-ar;o-r, ið heldur ársdag o.a.
ю́бка	plurю́б|ки, ~ок, ~камf1.(одежда) niðurdeilurмсогл-ar(в т.ч. о нижней части женского костюма и т.п.); skjúrtс0о(в т.ч. о нижней юбке,мини и макси,юбке фарерского нац. костюма и др.); ни́жняя ю́бка undirskjúrt2.vanv.(о женщине) skjúrtс0о(um konufólk); за ка́ждой ю́бкой бе́гает hann rennur eftir [εʰtː-] hvørjum skjúrti, hann rennur eftir [εʰt-] hvørjum konufólki; hann rennur eftir [εʰt-] tí, bara tað hevur skjúrt@держа́тьсяза чью-лю́бкуtlm.,atf.vera undir skjúrtafaldinumhjá[tʃʰ-]o-mпог.
ю́бка-брю́ки	plurю́б|ки, ~ок, ~камf-брю|ки, ~, ~амm plurbuksuniðurdeilurмсогл-ar
ю́бка-обёртка	Genю́бки-обёртки; plurю́бки-обёрт|ки, ~ок, ~камfslá-um skjúrt [-ˈʊmˑ]с0о, slá-um [-ˈʊmˑ] niðurdeiurмсогл-ar; slå-om [slɔˈɔmː] skjúrtннкс0о, slå-om [slɔˈɔmː]ннкdiðurdeilur мсогл-ar
ю́бочка	plurю́боч|ки, ~ек, ~камf dim avю́бка 1
ю́бочник	móvkm.,atf.konufólkarevurмсогл-ar
ю́бочный	adjskjúrta-, (sum er) til skjúrt, (sum er) til niðurdeil
ЮВ	1.ю́го-восто́к2.ю́го-восто́чный
ю.-в.	síЮВ
ювели́р	m(мастер золотых дел) gullsmiðurмсогл-s,-ir; gimsteinasmiðurмсогл-s,-irкн.,ред.
ювели́рка	plurювели́р|ки, ~ок, к~амf1.koll, tlm.(ювеирные издеия) gullsmiðavøra жгл-a2.tlm.(изготовление., торговля ювелирными изделиями) virksemiсгл-ihjá [tʃʰɔa] gullsmiði
ювели́рный	stfювели́р|ен, ~на, ~но, ~ныadj1.bert lf(относящийся к ювелирному делу) gullsmiða-; ювели́рный магази́н gullsmiðahandil; ювели́рные изде́лия gullsmiðavøra; ювели́рная промы́шленность gimsteinavinna2.fl.(тщательно,искусно выполненный) vandaligurгл(um arbeiði), netturсогл(fínligur), kynstrigurгл; hárfínurсогл(тончайший)
ювена́льный	stfювена́лен, ювена́льн|а, ~о, ~ыadj1.bókl.(неполовозрелый) ikki kynsbúgvinсоглоснgv; ungdóms-, ungdómigurгл-igur(юношеский)2.jur.(связанный с детьми и подростками) ungdóms- (í rætttarhøpi)
ювени́льный	stfювени́лен, ювени́льн|а, ~о, ~ыadjbókl.(неполовозрелый) ikki kynsbúgvinсоглоснgv; ungdóms-, ungdómigurгл-igur(юношеский)
юг	m1.(страна света,направление) suðurс0осн; на юг {к ю́гу} suðureftir [-εʰt-]; пря́мо на юг í ein beinan sunnan; на ю́ге {на ю́ге}от чего-л.sunnanfyri o-t; sunnarumegino-t(на южной стороне чего-л.); на ю́ге sunnanfyri, sunnantil; har suðri (на юге страны и т.д.); í suðri, fyri sunnan; с ю́га sunnaneftir [-εʰtː-], sunnanífra [sʊnːanɪ-]; ве́тер (ду́ет) с ю́га hann er sunnan (í ættini)2.(местность,расположенная в этом направлении) sunnari parturмсогл-ar{a/ø};тж переводится как наречиеsunnanfyri, sunnantilи др.;í sambandi við landanøvn o.tíl. eis/в связи с названием стран и т.п. тжSuður-; перее́хать на юг го́рода flyta til sunnara partin av býnum; на ю́ге Росси́и í Suðurrusslandi, har suðri í Russlandi, sunnantil í Russlandi3.(местность,страна в жарком климате) umráðiсгл-isunnanfyri, leiðirnarж0-irмн опр.sunnanfyri; suðurlondс0о{a/o}мн(страны); отдыха́ть на ю́ге halda feriu sunnanfyri; на юга́хtlm.,skemt.sunnanfyri (serliga um summarferiu við Svartahavið)
ю́го-восто́к	mlandsynningur [lan̊sɪnɪŋk-]мсогл-ar; к ю́го-восто́куот чего-л.í ein landsynningúr o-m;тжsuðureystur [-Ꞌεs-]úr o-mмор.
ю́го-восто́чный	adjlandsynnings- [lan̊sɪnɪŋks-], úr landssynningi [lan̊sɪnɪɲtʃi]; ю́го-восто́чный ве́тер landsynningur [lan̊sɪnɪŋk-]мсогл-ar(vindur)
ю́го-за́пад	mútsynningur [ʏsːɪnɪŋk-]мсогл-ar; к ю́го-за́падуот чего-л.í ein útsynningúr o-m;тжsuðurvestur [-Ꞌvεː-]úr o-mмор.
ю́го-за́падный	adjútsynnings- [ʏsːɪnɪŋks-], úr útsynningi [ʏsːɪnɪɲtʃi]; ю́го-за́падный ве́тер útsynningur [ʏsːɪnɪŋk-]мсогл-ar(vindur)
Юго-Осети́нская автоно́мная о́бласть	sovjet.Suðurosetiska sjálvstýrandi [ʃɔl̥s-] økiðсгл-iопр.
югосла́в	mjugoslavari [juːkoꞋslaː-]мгл-ari, jugoslavi [juːkoꞋslaː-]нпмгл-ari
Югосла́вия	fsøg.Jugoslavien [juːkoꞋslaː-]ннкс0{дат.0}, Jugoslavia [juːkoꞋslaː-]нпс нескл.; Социалисти́ческая Федерати́вная Респу́блика Югосла́вияsøg.Sosialistiska [-Ꞌlɪ-] sambandslýðveldið [-pan̊s-] Jugoslaviaофиц.
югосла́вка	plurюгосла́в|ка, ~ок, ~камfjugoslavari [juːkoꞋslaː-]мгл-ari, jugoslavi [juːkoꞋslaː-]нпмгл-ari(konufólk)
югосла́вский	adjjugoslaviskur [juːkoꞋslaː-]соглsk
Юди́фь	fbíbl.síИуди́фь
юдо́ль	fgml.dalurмсогл-s,-ir{a/ø}@юдо́ль ско́рби {печа́ли; пла́ча}bókl.neyðardalurмсогл-s,-ir{a/ø}кн., táradalurмсогл-s,-ir{a/ø}кн.; jammurdalurмсогл-s,-ir{a/ø}б.ч.шутл.
юдофо́б	mjødahatariмгл-ari, antisemittur [an̊ti-]мсогл-ar, judofobur [-Ꞌfoː-]интмсогл-arред.
юдофо́бия	fjødahaturс0осн, antisemitisma [an̊tiseːmi-]жгл-a, judofobi [-biː]интж0-irред.
юдофо́бство	njødahaturс0осн, antisemitisma [an̊tiseːmi-]жгл-a, judofobi [-Ꞌpiː]интж0-irред.
юж.	ю́жный
южа́нин	plurюжа́н|е, ~, ~амmsuðurlendingurмсогл-ar; fólkс0о, sum býr í syðra [sɪkɹa] parti av landi (житель южной части страны); sunnanmaðurмнепр(житель южных частей Фар. о-вов)
южа́нка	plurюжа́н|ки, ~ок, ~камfsuðurlendingurмсогл-ar; fólkс0о, sum býr í syðra [sɪkɹa] parti av landi (житель южной части страны) (konufólk)
Ю́жная Аме́рика	Suðuramerika
Ю́жная Коре́я	Suðurkorea [-reːa]
Ю́жная Осе́тия	Suðurosetia
южне́е	adv comp.1.(ближе к югу) sunnari, longri suðri, syðri [sɪkɹɪ]; longur suður2.чего-л.(на юге от чего-л.) sunnanfyri o-t
южноамерика́нец	Gen, Accюжноамерика́нц|а; plur~ы, ~ев, ~амmsuðuramerikanari [-meːɹikʰaː-]мгл-ari
южноамерика́нский	adjsuðuramerikanskur [-ikʰaː-]соглnsk({a/o})
Южно-Африка́нская Респу́блика	Lýðveldið Suðurafrika [-aːf-]
Ю́жно-Кита́йское мо́ре	Suðurkinesiska [-kʰi-] haviðопр., Suðurkinahav [-kʰiː-]лп
ю́жный	adj1.(к ю́г 1) suður-, sunnan-; бо́лее ю́жный sunnari, syðri [sɪkɹɪ]; са́мый ю́жный syðstur [sɪʰkst-], sunnastur; ю́жный ве́тер sunnanvindur, suðurætt; ≈ lágætt (о ветре между юго-востоком и югозападом); ю́жная сторона́ suðursíða;тжsólsíða, sólarsíða; на ю́жной стороне́тжsólarmegin; на ю́жной стороне́чего-л.тжsunnarumegino-t; ю́жные моря́ suðurhøv2.(относящийся к южным странам и т.п.) suðurlendskur [-lεn̊sk-]соглnsk; ю́жная ночь ein suðurlendsk nátt; ю́жный темпера́мент eitt suðurlendskt [-lεŋ̊kst] temperament [tʰεm̊pɪɹaꞋmaŋk]ннк=>крест@,полуша́рие,по́люс1,широта́2
Ю́жный Буг	mSuðurbug [-pʊkː]ж нескл.
ЮЗ	1.ю́го-за́пад2.ю́го-за́падный
ю.-з.	síЮЗ
ю́зать	ipf что-л. teld. jarg.brúkaar(t)o-t
ю́зер	[-зэр]el.[-зер]plurю́зер|ы, ~ов, ~амogюзер|а́, ~о́в, ~а́мmjarg.,teld.brúkariмгл-ari
Ю́зовка	fsøg.Juzovka [juːsɔfka]м нескл.;síДоне́цк
ю́зом	adv: идти́ ю́зом fara glíðandi (um bil o.a.)
Юката́н	mYucatan [juːkaꞋtʰaːn]ж нескл.
ю́кка	f(Yucca) yucca [jʊʰkːa]жгл-a;ж0-ir
Юко́н	mYukon [juːk-]ж нескл.
юла́	f1.(игрушка) snurritoppurмсогл-a, spinnikonaжгл-aуст.2.tlm.(о человеке) startireyvж0-arнеформ.; eitt, sum ikki situr í frið; eitt, sum ikki hevur sessuró; eitt, sum hevur stertидиом.3.(птица)síжáворонок, лесно́й
юлиа́нский	adj: юлиа́нский календа́рь tann julianski [-Ꞌaː-] kalendarin [-Ꞌlε-]
