ba	síbarn
babb	símøsn
babba	símøsna,pápi,skyldfólk
babbaba	sískyldfólk
babbaræddur	síbangin
babl	símøsn
babla	símøsna
badmintonbóltur	síbóltur
bað	sívaskiløgur,vasking
baða	sívaska
baðibóltur	síbóltur
baðirúm	síhøli
baðistrond	sístrond
baðivatn	sívaskiløgur,vatn
baðrúm	síhøli
baðviðgerð	síviðgerð
baga	síórógva
bagal	sístavur
bagavirt	sítorførur
bagg	síhindur
bagga	síórógva
bagi	síbrek,hindur
bagsteinur	síhindur
bak	síveggur,viðgerð
baka	síhita,leggja á,steikja
bakaður	sísteikja
bakali	síband
bakarabúð	sísølubúð
bakál	síband
bakbeist	síóflýggjakroppur
bakbinda	síbinda
bakbit	síbaktal
bakbíta	síbaktala
bakbíting	síbaktal
bakbítur	síbaktalari
bakborðsljós	sílampa
bakborðsmegin	sívinstrumegin
bakborðsvakt	sívaktarhald
bakbrestur	síbrák
bakbrot	síeftirfylgjaSamheiti:bakkast,baksláttur,landbrot,landgjálvur,landhøgg,landskjøldur,landsláttur,útslátturbrot út frá landi↔aldutur,froysan,gera aldu,illveður,sjóvarilska,streymur
bakbrotin	síniðurdottin
bakbundin	sífastur
bakbyrða	síbyrði,viðføri
bakdráttur	síafturhald
bakdyr	síinngongd
bakendi	síafturpartur,oddur
bakfall	síróður
bakfettast	síbogna
bakflekkutur	sílitaður
bakfuglur	sífuglur
bakgongd	sísniðgøta
bakgráur	sílitaður
bakgrund	Samheiti:bakmynd,bakstøði,baksýni,baktjald↔hinumegin
bakhald	síband
bakhallur	síhallur
bakhús	síbygningur
bakhædd	síhædd
bakidagur	síinnløgutíð
bakiformur	síformur
baking	símatgerð
bakingareldur	síeldur
bakjørn	síhongsl
bakka	sífara
bakkaband	síband
bakkaboð	síboðan
bakkadagur	sígóðveður
bakkafylgi	síseyður
bakkaførur	sítilkomin
bakkagjólingur	síseyður
bakkagonga	Samheiti:bjargaferð,bjargalív,dráttur,fuglaveiða,fygling,líradráttur,lundadráttur,ræning(bakkagongd)bakkagonga,bjargagonga,klintring,klúgving,mjóvagongd,tvørgongd,uppfaring,uppgonga(fleyg)fleygagonga,fleyggj,fleyging,fuglafleyg,heimafleyg,lomvigafleyg,lundafleyg,lundafleyggj,nabbafleyg,omanfleyg,omanfleyggj,sjófleyg(sig)hásig,loftsig,lomvigasig,ræningarsig,síging,smásig,stórsig↔fleyga,fongur,veiða,veiðing
bakkagongd	síbakkagonga
bakkagøta	síkoyrivegur
bakkahagi	síjarðarstykki
bakkahjallur	sígoymsla
bakkakavi	síkavi
bakkaklæddur	síílatin
bakkalamb	síseyður
bakkalendi	síjarðarstykki
bakkalína	síband
bakkaljóst	síljósglæma
bakkalóari	síduk,kenning
bakkalundi	sífuglur
bakkalýsi	síljósglæma
bakkamaður	síveiðimaður
bakkarakstur	síseyðarakstur
bakkareip	síband
bakkaróður	síróður
bakkaseyður	síseyður
bakkaskegg	sígras
bakkaskipan	síveiðimaður
bakkaskrubb	sísár
bakkast	síbakbrot,eftirfylgja,minking,viðbragd
bakkastavur	sístavur
bakkastokkaferð	sítúrur
bakkastokkatúrur	sítúrur
bakkastokkur	síbátadráttur
bakkatog	síband
bakkatorva	síflag
bakkatrom	síútlinja
bakkavegur	síkoyrivegur
bakkaýti	síýti
bakkdagur	síódnardagur
bakki	síberg,tokaSamheiti:áarbakki,ábreyt,ben,brekkufótur,brekkunám,eiðisbakki,ekrubakki,eygabakki,eyrbakki,fjørubakki,frostbakki,gilbakki,gilsbakki,gjáarbakki,grunnbakki,grynnubakki,grynnutrom,hyljarbakki,jarðarmunni,kantur,keldubakki,leirbakki,leysabakki,marbakki,moldbakki,móbakki,reim,rein,tjarnarbakki,torvbakki,trepi,tvørbakki,veitarbakki↔strond
bakkiljós	sílampa
bakknappur	síknøttur
bakkur	sívernd
bakkveður	síillveður
baklás	sílás
bakleiðis	síaftureftir,óbeinleiðis
bakleiðisorðabók	síyvirlit
bakleingis	síaftureftir
bakleingja	síhúð
baklittur	sílitaður
bakljós	sílampa
bakluður	sílunnur
baklummi	sílummi
baklunnur	sílunnur
baklykt	sílampa
bakløðari	síkynvillingur
bakløstur	síbrák
bakmaður	sísjómaður
bakmorreyður	sílitaður
bakmynd	síbakgrund
bakmælismaður	síbaktalari
bakrong	sísessur
bakrógvin	síhóvsamur
bakrúm	síhøli
baks	síbaksan
baksa	síarbeiða
