dadda	sífosturmóðir,vaktari
daddast	sípassa
daddudrongur	síbarn
daddusonur	síbarn
daddusøga	sífrásøgn
daffa	síbaktala
daga	sísíggjast
dagamunur	símunur
dagaskil	síkenna mun á,klókskapur
dagast	sísíggjast
dagatal	síyvirlit
dagavillur	síørvitisligur
dagblað	sískriv
dagbók	síyvirlit
dagbót	síendurgjald,gjald,revsing
dagbretting	símorgun
dagdreymur	síveruleikaflótti
dagdvølja	síítriv
dagfallin	sígjaldkomin
dagfastur	síreglubundin
dagfesta	sítíðarfesta
dagfesting	sítíðarfesting
dagføra	sírætta,skriva
dagga	síførka,ganga
daggamal	síaldrandi,feskur
daggari	síknívur,letingi
dagglæma	síljósglæma
daggrýti	sígrót
daghol	síhol
daging	síútlinja
dagkrem	síkrem
dagliga	síreglubundin
dagligstova	síhøli
dagligur	síreglubundin
daglína	síband
dagljóst	síljósglæma
dagløn	sígjald
dagmerki	síeyðkenni
dagmerkja	sítíðarfesta
dagna	símorgna
dagpeningur	sígjald
dagrúm	síljósglæma
dagræði	síljósglæma
dagrøktarbarn	síbarn
dagrøktarmamma	sífosturmóðir
dagsarbeiði	síarbeiði
dagsaskeið	sídimmi
dagsbrúgv	símorgun
dagsbrún	símorgun
dagseta	sídimma,líða,tíðarfesta
dagseting	sítíðarfesting
dagsetur	sídimmi
dagsetursskeið	sídimmi
dagsferð	sítúrur
dagsgerð	síarbeiði
dagsglæma	síljósglæma
dagskeið	sískúlagongd
dagskúli	sískúli
dagsljós	síljósglæma
dagslýsi	síljósglæma,morgun
dagsløn	sígjald
dagsmøði	síbaksan
dagsprísur	síprísur
dagsróður	síróður
dagssetningur	síverkevni
dagsskipan	sílóg
dagsskrá	sílóg,skrá,umrøðuevni
dagssýni	síljósglæma
dagstevndur	síásettur,reglubundin
dagstíð	símorgun
dagstovnur	síbústaður
dagstútt	síreglubundin
dagstøtt	síreglubundin
dagsverk	síarbeiði
dagtilhald	síbústaður
dagtjóvur	síletingi
dagur	síljósglæma,morgun,tíðarfesting
dagvakt	sívaktarhald
dagverk	síarbeiði
dala	síseta,søkka
dalamjørki	sítoka
dalandi	síminkandi
dalbotnur	síbotnur
dalbúgvi	sííbúgvi
dalbygd	síbýur
dalda	sídanda,førka
dalfinna	síkvennskøp
dall	síkiman
dalla	síendurtaka,kima
dalsaki	sívavstur,vát klæði(r)
dalsbotnur	sídalur
dalsifals	sístakkalastás
dalsíður	sídravlorkutur,svárur
dalsmunni	síinngongd
dalur	Samheiti:avdalur,áardalur,áargil,botnur,dalsbotnur,dalverpi,deld,fjalladalur,gil,glips,glypsi,gráva,grógv,gróv,hvammur,hvilvt,kassi,kassur,keka,ker,ketil,koppur,koyta,kós,kulla,lág,lágd,lági,láglendi,lægd,lækki,megindalur,rivudalur,sandker,slakki,soyla,stórdalur,tvørdalur,vallgil,veil,veila↔halli,kullaAndheiti:fjall
dalverpi	sídalur
dama	síkvinna
dambla	sírógva
daml	síróður
damla	sírógva
damma	síkvinna
dammfiskur	sífiskur
dammskip	sísjófar
dammstilli	sígóðveður
dammur	síhylur
dampa	síkóka,rúka,stinka
dampari	sísjófar
dampmaskina	símotorur
dampskip	sísjófar
dampur	síband,luktur,toka
danastjórn	sívald
danda	Samheiti:alda,dalda,dilda,dilla,disja,glosja,hoppa,liva,ríðaflyta, røra seg (upp og niður)↔førka,óstúttur,rista,risting,rugga
dandakelda	síkelda
dandisfrú	síkvinna
dandiskur	sífólkaligur
dandist	síhóskiligur
dandisvullur	síkelda
danga	sísjófar
dangbukka	sísjófar
dangla	síførka
danguldríva	síletast
dangutur	síseinpjakutur
dani	sídanskur
danimaður	síhampafólk
dankast av	síavtoftast
dankuldrívari	síletingi
Danmark	sídanskur
Danmørk	sídanskur
