eddukvæði	sísangur
ediliga	síhábærsliga
ediligur	síhábærsligur
edilingur	síaðalsfólk,hampafólk
edilsteinur	sígrót
edrúur	síódrukkin
eðiligur	síhábærsligur
eðilingur	síaðalsfólk,hampafólk
eðilsteinur	sígrót
effinett	síjúst
eftiransan	síeftirlit
eftiransin	Samheiti:ansin,árvakin,eftirhyggin,eftirskettin,eyghavin,framsíggin,framskygdur,framskyggin,framsýndur,framsýntur,fyribirgin,fyrihyggin,fyritonktur,fyrivarin,fyrivarur,gáin,hittin,hugvarin,hyggin,lagaklókur,langskygdur,nærhugaður,ovurvarin,skettin,tilsíggin,umhugsin,umhyggin,umsorgarfullur,vakin,vandaligur,vandamikil,varigur,varin,varisligur,varligur,varsamur,varsin,varugur,varurgáin um seg(vera eftiransin)ansa,gæta,sansa,sketta,skjøtta,vara,varðaakta, ansa, gáa eftir e-m;akta, ansa sær fyri e-m;akta, passa uppá (e-t);akta um;andøva streymin;ansa sær;binda um heilan fingur;fara hóvliga, sinniliga, varliga avstað, fram;festa seg við e-t;fylgja við;gáa (um) e-t;gera sær skammfar um...;geva akt, ans, gætur;geva e-m akt, ans, fær, gætur o.fl.;geva e-t í geyma;geva (sær) far um;goymsa, goymsast eftir e-m;hava eyguni við e-m, sær;hava fyrilit;hava gætur á e-m;hava hyggi, hyggju fyri sær;hugsa um;hyggja eftir;hyggja fyri sær;hyggja rundan, uttan um seg;hyggja seg um;ikki lata seg lumpa;ikki leypa framav;leggja (sær e-t) í geyma;leggja til merkis;sansa e-m, sansa um e-t;sigla við lágum seglum;síggja til;sketta, skjøtta eftir e-m, um e-t;taka seg vara;vara um seg;vara, varða seg (fyri e-m);vera ansin, gáin, hyggin, varin o.fl.;vera gáin um seg;vera oddur eldri t.e. duga at vara seg fyri svikum;□hann er ikki hvøns mans poki;hann er ikki lættur at lumpa;hann loypur ikki framav;hann setist aftur bara tað lotar úr hanakjafti;hann tekur eingi óráð fyri seg;hann trýr ikki øllum ið sagt verður;hann verður ikki fiskaður á, við ongum agni↔ansni,eftirlit,fyribyrging,klókur,lirka,nærlagdur,passa,røkiskapur,røkt,vaktarhald,vaktari,vandaliga,vanda sær,verja,verja annan,verja segAndheiti:dølskur,líkasælur
eftiransing	síeftirlit
eftiransingarmaður	sívaktari
eftiransingarnevnd	sívaktari
eftiransingarráð	sívaktari
eftiransingarstovnur	sívaktari
eftiransni	síansni
eftiransur	síeftirlit
eftiraping	síeftirgerð
eftirbati	síbati
