fabrikk	síverkstaður
faddur	(gubbi)faddur,gudfaðir,gudpápi,halagubbi(gumma)berigumma,faddur,gudmamma,gudmóðir,halagumma,kýsagummavitni til (barna)dóp(guddóttir)dóttir gubba, gummu(gudsonur)sonur gubba, gummu↔doypa,dópur
faddurgáva	sígáva
faðir	síGud,hvíld,oddamaður,pápi,skyldfólk
faðirarvur	sígáva
faðirbróðir	sískyldfólk
faðirfólk	sískyldfólk
faðirhús	síbústaður
faðirkærleiki	síkærleiki
faðirleivd	sígáva
faðirleysur	síeinsamallur
faðirliga	síyndisliga
faðirligur	sígóðsintur
faðirsgarður	síbústaður
faðirskapur	sískyldskapur
faðirsnavn	sínavn
faðirsystir	sískyldfólk
faðirvár	síbønarhald
faðirætt	sískyldfólk
fafta	síivast
faftra	sígloyma,ivast
fagna	sílovprísa;biðja, siga góðan dag, morgun, gott kvøld, vælkomin;biðja vælkomnan vera;bjóða e-m inn, innar, innum;bjóða e-m sess, sess og sæti;bjóða e-m vælkomnan at vera;fagna e-m;gleðast um, við e-t;heilsa e-m vælkomnum;klappa fyri e-m;leypa um hálsin á e-m;rætta e-m hondina;siga væl fagnaður, vælkomin;taka blídliga, hjartaliga, væl ímóti e-m;taka e-n í favn;taka fegin, glaður ímóti e-m;taka um hálsin á e-m;vera blíður við e-n(vera væl fagnaður)fáa blíðskap,njóta blíðskap,vera vælkominfáa góða ímótitøku, móttøku;kenna seg vælkomnan;vera væl móttikin↔blídni,gleðirómur,góðsintur,lovprísa
fagnaðarár	síinnløgutíð
fagnaðarboð	síboðan
fagnaðardagur	síinnløgutíð
fagnaðarfundur	sífundur
fagnaðargestur	sígestur
fagnaðarheilsan	síheilsan
fagnaðarkvøða	síheilsan
fagnaðarmikil	símennandi
fagnaðaroffur	síoffurgáva
fagnaðarrómur	sígleðirómur
fagnaðarróp	sígleðirómur
fagnaðarrøða	sígleðirómur
fagnaðarskot	síbyrsuskot
fagnaðarsongur	sígleðirómur
fagnaðarstund	síinnløgutíð
fagnaður	sífundur,gleði,gleðirómur,mótitøka
fagnarbiti	símatur
fagnarboð	síboðan
fagnarbóndi	síavtakafólk
fagnardagur	sígóðveður,innløgutíð
fagnardýr	síhampafólk
fagnarhús	síbústaður
fagnarleysur	símótfallin
fagnarløta	sígóðveður
fagnarmaður	síavtakafólk
fagnarmáltíð	símatur
fagnartími	síinnløgutíð
fagnarveður	sígóðveður
fagur	síáleypandi,vakur
fagurbláur	sílitaður
fagurbókmentir	síbókaheimur
fagurgrønur	sílitaður
fagurgulur	sílitaður
fagurlátin	sígóðsintur
fagurlátur	sígóðsintur
fagurleiki	síyndi
fagurliga	síyndisliga
fagurligur	sívakur
fagurlitaður	síáleypandi,litaður
fagurlittur	síáleypandi,litaður
fagurlæti	síblídni
fagurorðaður	sígóðsintur
fagurreyður	sílitaður
fagurskrift	sískrift
fagurskriving	sískrift
fak	sílærdómur
fakfelag	sífelag
faks	síboðan,ull
faksa	síkuta
faksaband	síband
faksareip	síband
faksaterna	sífuglur
faksateymur	síband
faksállur	sífiskur
faksálur	sífiskur
faksi	sífiskur
faktaligur	sípyntaður
faktir	sílótir
falda	sígera brot á,randa,rokna,seyma
faldalín	síkvinna
faldari	sískriv
faldfjøll	sífjall
falding	síseyming,útrokning
faldur	sírukka
falkur	sífuglur,sjófar
