gabb	síreyp,reypari
gabba	síreypa,svika
gabbari	síreypari
gabbi	síreypari
gabbutur	síreyputur
gadda	síeta,søra
gaddajørð	síjarðarstykki,oyðistaður
gaddgrivin	síburturmataður
gaddur	síjarðarstykki,oyðistaður
gaddutur	síoyðin
gaffilsegl	sísegl
gagg	sískríggj
gagga	sífuglur,skríggja
gagn	sídygdSamheiti:almannagagn,bati,dugur,frami,fyrimuni,fyrimunur,gagnsemi,gagnsmál,góði,hjálp,íkast,ílop,landsgagn,løtuvinningur,nytta,pluss,vinningur(góði)eyðlind,landkostir,landslunnindi,lunnildi(r),lunnindi(r),ríkidømiskelda(lít)manslít(stimbur)art,hald,haldføri,haldgóðska,kraft,kreftir,mura,seiggi,seiggil,seiggj,seigil,stirðil,styrki,tæri,veiggi,veiggj(sálarbót)sálargagn↔afturbøting,bati,batnaður,dygd,dygdargóður,gagna,grøða,hjálp,hjálpa,munadyggur,ogn,styrkja,umvæla
gagna	Samheiti:bata,duga,dugna,gegna,gyggja,hjálpa,muna,nytta,tjena,tænabera, geva ávøkst;bøta um;fakta sær;gagnast, gegnast e-m;gera bata, mun;gera lít, manslít, mansverk;geva av sær;hjálpa til, uppá;hjálpa, vera virkið fyri, ímóti e-m;koma at gagni;koma (e-m) væl við;loysa seg;muna á, um;renta inn;vera hentur, hentligur, nyttuligur, nýtiligur o.fl.;vera til bata, gagns, fyrimunar, nyttu o.fl.;virka væl;□hatta er ikki til fánýtis, fellur ikki í stokk og stein↔afturbøting,bati,batnaður,gagn,grøða,hjálp,hjálpa,munadyggur,styrkja,umvælaAndheiti:gagnast illa
gagnast illa	ikki geva mettuna;standa illa í gørnunum;□hatta er (tað bera) ífyllufóður, rúgvufóður;hatta er (tann bera) búkfylla, ífylla, vambarfylla↔óát,óetandiAndheiti:gagna
gagnfiskur	sífiskur
gagnfuglur	sífuglur
gagngera	sígóðska
gagngóður	síhóskiligur
gagnleyst	sívónleyst
gagnleysur	sídygdarleysur
gagnligur	síhóskiligur
gagnlist	sílist
gagnlítil	sídygdarleysur
gagnlutur	síhúsbúni
gagnmeta	síkanna
gagnmetari	Samheiti:próvdómari,ritdómari,ummælari(vrakari)góðskumetari,metingarmaður↔kanna
gagnnýta	síforvinna,nýta
gagnnýtsla	sínýtsla
gagnplanta	síurt
gagnsamligur	sísmakkgóður
gagnsemi	sígagn
gagnsleyst	sívónleyst
gagnsleysur	sídygdarleysur,gróðrarlítil
gagnsligur	síhóskiligur,smakkgóður
gagnsmál	síáhugi,gagn
gagnstøður	síandstaddur
gagnstøtt	síandstaddur
gagnsverk	síarbeiði
gagnturrur	síturrur
gagnvegur	sísniðgøta
gagnviður	síviður
gal	síreyp,skríggj
gala	sískríggja
galarin	síkvennskøp
galda	sígalda um;fáa, hava gildi;koma, standa, vera í gildi;vera gildigur, lógligur, viðtikin, viðurkendur;vera loyvdur;vera mark;□hasum er lógarheimild fyri↔galdandi,gildi
galdandi	Samheiti:gildigur,gildur,góðkendur,loyviligur,lógásettur,lógboðin,lógbundin,lógfestur,lóggildur,lógligur,løgboðin,løgbundin,løgfestur,løggildur,løgligur,regluligur,regluskipaður,ríkisgóðkendur,ríkisløggildur,samtyktur,viðtikin,viðurkendur(samtyktur)avgjørdur,avráddur,viðtikinásettur við lóg;í gildi;í samsvari við lógirnar;við gildi;við rættargildi;○sum er loyvdur;sum hevur løggildi;sum lógarheimild er fyri↔ásettur,galda,gildi,forboð,forbjóða,lóg,reglubundin,seta í gildi,skipanarloysiAndheiti:ólógligur
galda um	Samheiti:galdagalda um hendur;ráða um;standa á;standa á hondum, um hendur;standa um neppingina(í eini knappari vending)í einum snarbragdi;í neyðbragdi, neyðbrá, neyð(ini), neyðstøðu, trongstøðu o.fl.(tá ið á stendur, um ræður)tá ið (sum) harðast leikar á;tá ið tað geldur, ræður um, stendur á;tá ið tað kemur til skarpskeringar, stykkis;□nú sansar at;nú stendur á gomlum nøglum;tað gekk hart á;tað gingu knúgvar á↔fyri neyðini,sansa at
galdra	síreypa
galdrakvendi	síóflýggjakroppur
galdran	síljóð
galdrutur	síófriðarligur
galdur	sígandur,ljóð
galeiða	sísjófar
