iðra	síangra
iðran	síangur
iðranarfullur	Samheiti:angrandi,angurbitin,angurfullur,angurmerktur,iðrandi,iðringarsamurbitin, nívdur av samvitsku↔angra,angurAndheiti:iðranarleysur
iðranargrátur	síangur,grátur
iðranarleysur	Samheiti:angurleysur↔harðhjartaður,iðranarloysiAndheiti:iðranarfullur
iðranarloysi	Samheiti:angurloysi,sorgloysi↔iðranarleysur
iðranartár	síangur,dropi
iðrandi	síiðranarfullur
iðrari	síhalgimenni
iðrast	síangra
iðri	síangur
iðring	síangur
iðringarsamur	síiðranarfullur
iðrun	síangur
iglahoyggj	síhoyggj
iglasóttarseyður	síseyður
iglavatn	sívatn
iglutur	sílitaður
ikki	Samheiti:eialdeilis ikki;als, avgjørt, reiðiiga, slættis ikki;á ongan hátt;forbrendari, minni, verri enn so;hvørki so ella so;ikki á nakran hátt;ikki fyri alt í verðini;ikki so frægt sum...;ikki upp á nakran syndigan hátt, syndigan máta;ikki við tað fyrsta;nú aldri, aldrin;slættis ikki;so aldri, aldrin;so avgjørt ikki;so eiðasørt;undir ongum umstøðum;□tað er forbrendari, minni, verri enn so;tað er langt frá at...;tað ber ikki á brá at...;tað kemur ikki til hugs;yvirhøvur ikki↔noktan,næstan,ongantíð
ikkibilar	sísama ger
ikkienn	Samheiti:aftaná,eftirsíðan,eftirsíðani,eftirsíður,einaferð,onkrantíð,onkuntíð,seinan,seinnameiri,seinni,seinri,síðari,síður,táaftan á...;einaferð, onkuntíð seinni, seinri;eina ferð;einhvønn, onkran, onkun dagin;ikki á hesum sinni;ikki beinanvegin;ikki enn á sinni;ikki enn um sinn;ikki fyrr enn...;ikki fyrr enn mosi veksur á tonnunum;ikki fyrr enn sankta nimmursdag;ikki hastiliga;ikki í bræði;ikki reiðiliga, rættiliga enn;ikki snarliga;ikki um sinnið;onkra aðra tíð;onkran annan dag;seinan dag, seinna dagin;tá ið...;um eina løtu, tíð, viku o.fl.;um ein dag, tíma o.fl;um eitt ár, bil, samdøgur o.fl.;□tað verður seinan dag, seinur dagur(í tíðini eftir...)úteftir,úteftirnifrá... og úteftir;tað úteftir↔altíð,leingi,liðin,líða,líðandi,lívstíð,løta,ongantíð,síðani,skjótt,útliðið,æviga
ikkigevast	síhalda út
ikkimegna	ikki duga, kunna, magna, orka;ikki fáa;ikki fáa ránir til;ikki hava føri, høvi, loyvi, møguleika, rænir, tíð at...;ikki (kunna) klára;ikki komast uppfyri, útfyri, útyvir at...;ikki rísa undir e-m;ikki sleppa til;ikki vera førur fyri;ikki vera maður fyri;ikki vera mentur↔kraftleysur,máttloysi,máttsúgva,náttlagdur,overving,troyttast,útmøddurAndheiti:megna
ikkivita	einki gruna, óra, vita;ikki hava andvalan, grun, gruna, hóming, varhuga av e-m;ikki hava duladreym, dul ella dreym um;ikki hava hoyrt e-t (grett) (sagt) (av mannamunni);ikki vera greiður yvir, kunnaður, kunnigur, kunnugur um;ikki vera vitandi um;ikki vita av áður, fyrr enn...;ikki vita av, um;ikki vita (nakað) petti (um eitt);møta, vera ófyrireikaður;vera óvitandi um(einki, ikki, líka veit eg)eg veit einki, ikki, líka;tað er dult, skjólt fyri mær;tað er mær ein gáta;tað havi eg aldri, ikki hoyrt;tað veit eg ikki petti↔dølskur,tápuligur
il	sísóliSamheiti:ilferð,iljarskógvurundir fótinum, ilini(stigvølur)fótbøllur,tógvi↔fótur,gongulimur,sóli,skríggja
ilferð	síil
iljarskógvur	síhúð,il
illa	sílasta,næstan,ógjarna,spell
illa dámdur	Samheiti:hataður,illgitin,vanvirdurikki kendur fyri nakað gott;illa gitin, kendur, líddur, lýddur, umhildin, umrøddur, umtóktur;kendur, tiltikin fyri ilt, fyri tað illa;komin í ringt orð;lítið avhildin, dámdur, mettur (millum manna)(vera illa dámdur)fáa ringa, vánaliga umtalu;fáa ringt skoðsmál;ganga undir ringum orði;hava einki orð á sær;hava ringa fólkaeydnu, fólkaskepnu;hava ringt orð á sær;ikki vera høgt í metum;koma undir mannatungu;liggja fyri rópinum;liggja undir mannatunguni;standa illa í fólkaeygum;vera lítil í metum;verða fyri mannarópi(num), mannarópum↔hata,hatur,mannvándur,mótvilji,ófúsur,ósemja,spottaður,verða happaður,vreiður
illaílatin	Samheiti:bótutur,dassaklæddur,fesjutur,fjøggutur,fjøsutur,flagsutur,fornklæddur,gellutur,giggutur,gimmutur,glosutur,illdusputur,illfjøsin,illfjøskutur,illtrivin,ilsligur,kloddaklæddur,kloddaligur,kloddutur,lasaligur,lasasligur,leppaligur,leputur,levsutur,lurvutur,løggutur,maggutur,møggutur,ófantaligur,ófjøsaligur,ófjøsasligur,óhampaður,óhampiligur,ónossligur,órøktur,ósnotiligur,ósnøggur,ósvivaligur,ótrivaligur,óvildrarligur,pjøggutur,pjøltrutur,pjøskutur,pjøssutur,ruffisligur,ruffutur,ruskusligur,russasligur,russutur,slafsutur,slapsutur,travsutur,trevsutur,vanskøddur,vesalligurdottin burtur úr royvum;fjøggaður til;illa bjálvaður, hosaður, ílatin, klæddur, skøddur o.fl.;í dassaklæðum, illum spjørrum;í gomlum, ófantaligum, slitnum klæðum;klæddur í kloddar;ófantaliga, óhampiliga, ótrivaliga ílatin, klæddur;rivin og skræddur;□hann gongur sum dassin, sum hundur í sama skinni;hann gongur sum ein dassi, kørgur, soppatorva, trølltoppa;hann gongur sum eitt ótrivavætti, skeljatrøll, tampalatyssi;hatta er, gongur, sær út sum ein trílittur frensur;hatta gongur smokkuleggur;hatta gongur sum ein runudassi, russur, ursi, vansjón;hatta gongur sum eitt eg veit ikki hvat;hatta selir flesk;hatta sær út sum eitt rivið rognkelsi, sum illimaður í mánalýsi↔dubba,frísutur,ílatin,kemba,klæða,klæði(r),kloddakot,ótrivavætti,vát klæði(r)Andheiti:pyntaður
illamansbøn	síillbøn
illandi	síævintýrhugtak
illanssettur	símannvándur
illanstíð	sínoktan
illavorðin	símannvándur,misháttur,ósømiligur
illbatan	síillgruni
illbati	síillgruni
